"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Gender_type","Destination","Value","Value_type","Denominator","Numerator"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Unknown - (refused, not obtained)","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education or employment","80","% of cohort","14,065","11,190"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","All","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education or employment","88","% of cohort","362,930","319,335"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","All","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education","65","% of cohort","362,930","237,220"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","All","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Employment","23","% of cohort","362,930","82,115"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","All","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","9","% of cohort","362,930","31,850"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","All","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Unknown","3","% of cohort","362,930","11,745"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other Asian background","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education","79","% of cohort","5,740","4,550"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other Asian background","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Employment","10","% of cohort","5,740","570"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other Asian background","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","7","% of cohort","5,740","385"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other Asian background","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Unknown","4","% of cohort","5,740","235"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other Black background","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education","75","% of cohort","1,965","1,470"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other Black background","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Employment","12","% of cohort","1,965","225"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other Black background","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","10","% of cohort","1,965","190"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other Black background","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Unknown","4","% of cohort","1,965","80"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other ethnic group","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education","77","% of cohort","4,975","3,830"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other ethnic group","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Employment","10","% of cohort","4,975","480"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other ethnic group","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","8","% of cohort","4,975","410"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other ethnic group","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Unknown","5","% of cohort","4,975","250"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other mixed background","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education","70","% of cohort","4,860","3,390"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other mixed background","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Employment","16","% of cohort","4,860","785"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other mixed background","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","9","% of cohort","4,860","445"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other mixed background","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Unknown","5","% of cohort","4,860","235"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other White background ","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education","68","% of cohort","12,015","8,225"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other White background ","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Employment","17","% of cohort","12,015","2,015"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other White background ","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","9","% of cohort","12,015","1,105"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other White background ","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Unknown","6","% of cohort","12,015","675"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Asian","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education","79","% of cohort","33,740","26,550"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Asian","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Employment","9","% of cohort","33,740","3,115"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Asian","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","8","% of cohort","33,740","2,700"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Asian","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Unknown","4","% of cohort","33,740","1,380"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Bangladeshi","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education","79","% of cohort","5,285","4,190"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Bangladeshi","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Employment","9","% of cohort","5,285","485"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Bangladeshi","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","9","% of cohort","5,285","460"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Bangladeshi","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Unknown","3","% of cohort","5,285","150"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education","78","% of cohort","18,845","14,775"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Employment","10","% of cohort","18,845","1,935"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","8","% of cohort","18,845","1,515"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Unknown","3","% of cohort","18,845","620"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black African","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education","83","% of cohort","11,745","9,710"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black African","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Employment","7","% of cohort","11,745","865"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black African","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","7","% of cohort","11,745","770"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black African","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Unknown","3","% of cohort","11,745","405"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black Caribbean","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education","70","% of cohort","5,130","3,590"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black Caribbean","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Employment","16","% of cohort","5,130","845"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black Caribbean","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","11","% of cohort","5,130","555"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black Caribbean","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Unknown","3","% of cohort","5,130","140"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Chinese","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education","85","% of cohort","2,120","1,815"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Chinese","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Employment","6","% of cohort","2,120","125"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Chinese","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","3","% of cohort","2,120","70"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Chinese","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Unknown","6","% of cohort","2,120","115"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Gypsy/Roma ","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education","49","% of cohort","85","40"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Gypsy/Roma ","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Employment","23","% of cohort","85","20"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Gypsy/Roma ","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","17","% of cohort","85","15"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Gypsy/Roma ","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Unknown","11","% of cohort","85","10"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Indian","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education","81","% of cohort","10,970","8,880"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Indian","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Employment","9","% of cohort","10,970","995"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Indian","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","6","% of cohort","10,970","700"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Indian","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Unknown","4","% of cohort","10,970","395"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Mixed","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education","68","% of cohort","13,275","9,055"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Mixed","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Employment","18","% of cohort","13,275","2,410"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Mixed","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","10","% of cohort","13,275","1,295"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Mixed","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Unknown","4","% of cohort","13,275","520"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Other (incl. Chinese)","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education","80","% of cohort","7,095","5,645"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Other (incl. Chinese)","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Employment","9","% of cohort","7,095","605"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Other (incl. Chinese)","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","7","% of cohort","7,095","475"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Other (incl. Chinese)","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Unknown","5","% of cohort","7,095","370"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Pakistani","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education","76","% of cohort","11,745","8,930"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Pakistani","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Employment","9","% of cohort","11,745","1,060"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Pakistani","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","10","% of cohort","11,745","1,155"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Pakistani","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Unknown","5","% of cohort","11,745","595"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Traveller of Irish heritage","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education","79","% of cohort","20","15"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Traveller of Irish heritage","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Employment","16","% of cohort","20","5"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Traveller of Irish heritage","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","!","% of cohort","20","!"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Traveller of Irish heritage","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Unknown","0","% of cohort","20","0"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Unknown","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education","61","% of cohort","14,065","8,575"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Unknown","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Employment","19","% of cohort","14,065","2,615"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Unknown","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","9","% of cohort","14,065","1,205"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Unknown","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Unknown","12","% of cohort","14,065","1,670"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Unknown - (refused, not obtained)","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education","61","% of cohort","14,065","8,575"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Unknown - (refused, not obtained)","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Employment","19","% of cohort","14,065","2,615"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Unknown - (refused, not obtained)","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","9","% of cohort","14,065","1,205"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Unknown - (refused, not obtained)","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Unknown","12","% of cohort","14,065","1,670"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education","63","% of cohort","275,915","172,625"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Employment","26","% of cohort","275,915","71,435"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","9","% of cohort","275,915","24,660"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Unknown","3","% of cohort","275,915","7,190"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White British","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education","62","% of cohort","262,430","163,435"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White British","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Employment","26","% of cohort","262,430","69,110"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White British","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","9","% of cohort","262,430","23,415"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White British","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Unknown","2","% of cohort","262,430","6,465"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White Irish ","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education","67","% of cohort","1,365","915"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White Irish ","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Employment","21","% of cohort","1,365","285"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White Irish ","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","9","% of cohort","1,365","120"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White Irish ","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Unknown","3","% of cohort","1,365","45"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Asian ","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education","71","% of cohort","3,105","2,200"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Asian ","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Employment","17","% of cohort","3,105","515"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Asian ","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","9","% of cohort","3,105","290"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Asian ","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Unknown","3","% of cohort","3,105","100"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Black African ","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education","69","% of cohort","1,430","985"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Black African ","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Employment","17","% of cohort","1,430","240"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Black African ","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","10","% of cohort","1,430","150"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Black African ","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Unknown","4","% of cohort","1,430","60"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Black Caribbean ","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education","64","% of cohort","3,885","2,480"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Black Caribbean ","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Employment","23","% of cohort","3,885","875"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Black Caribbean ","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","11","% of cohort","3,885","410"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Black Caribbean ","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Unknown","3","% of cohort","3,885","120"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education, employment or training","90","% of cohort","274,830","245,980"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Mixed","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education, employment or training","88","% of cohort","14,600","12,885"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Asian","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education, employment or training","89","% of cohort","35,920","31,930"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education, employment or training","90","% of cohort","20,325","18,310"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Chinese","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education, employment or training","92","% of cohort","2,055","1,885"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Other","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education, employment or training","88","% of cohort","5,335","4,680"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Unknown","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education, employment or training","80","% of cohort","13,075","10,515"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education","63","% of cohort","274,830","174,120"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Mixed","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education","69","% of cohort","14,600","10,105"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Asian","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education","79","% of cohort","35,920","28,525"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education","79","% of cohort","20,325","16,145"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Chinese","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education","86","% of cohort","2,055","1,775"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Other","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education","77","% of cohort","5,335","4,115"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Unknown","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education","62","% of cohort","13,075","8,150"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Higher education institution","47","% of cohort","274,830","130,175"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Mixed","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Higher education institution","54","% of cohort","14,600","7,890"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Asian","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Higher education institution","67","% of cohort","35,920","24,095"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Higher education institution","65","% of cohort","20,325","13,155"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Chinese","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Higher education institution","75","% of cohort","2,055","1,550"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Other","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Higher education institution","63","% of cohort","5,335","3,340"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Unclassified","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Higher education institution","43","% of cohort","13,075","5,600"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Employment","26","% of cohort","274,830","71,860"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Mixed","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Employment","19","% of cohort","14,600","2,780"
