Date,Date type,Region,Region type,Ethnicity,Ethnicity type,Numerator,Numerator type,Denominator,Denominator type,Value,Rate type
2011,Calendar Year,North East,Government Region,All,All,"85,193",Average number of claimants a month matching geographic and ethnicity status,"1,681,674",Number of people in the population matching geographic and ethnicity status,5.1,Percentage of Numerator / Denominator
2012,Calendar Year,North East,Government Region,All,All,"93,303",Average number of claimants a month matching geographic and ethnicity status,"1,670,967",Number of people in the population matching geographic and ethnicity status,5.6,Percentage of Numerator / Denominator
2013,Calendar Year,North East,Government Region,All,All,"84,428",Average number of claimants a month matching geographic and ethnicity status,"1,667,446",Number of people in the population matching geographic and ethnicity status,5.1,Percentage of Numerator / Denominator
2014,Calendar Year,North East,Government Region,All,All,"61,860",Average number of claimants a month matching geographic and ethnicity status,"1,663,362",Number of people in the population matching geographic and ethnicity status,3.7,Percentage of Numerator / Denominator
2015,Calendar Year,North East,Government Region,All,All,"46,570",Average number of claimants a month matching geographic and ethnicity status,"1,660,407",Number of people in the population matching geographic and ethnicity status,2.8,Percentage of Numerator / Denominator
2011,Calendar Year,North West,Government Region,All,All,"190,271",Average number of claimants a month matching geographic and ethnicity status,"4,552,765",Number of people in the population matching geographic and ethnicity status,4.2,Percentage of Numerator / Denominator
2012,Calendar Year,North West,Government Region,All,All,"200,372",Average number of claimants a month matching geographic and ethnicity status,"4,531,762",Number of people in the population matching geographic and ethnicity status,4.4,Percentage of Numerator / Denominator
2013,Calendar Year,North West,Government Region,All,All,"178,418",Average number of claimants a month matching geographic and ethnicity status,"4,516,102",Number of people in the population matching geographic and ethnicity status,4,Percentage of Numerator / Denominator
2014,Calendar Year,North West,Government Region,All,All,"122,536",Average number of claimants a month matching geographic and ethnicity status,"4,509,760",Number of people in the population matching geographic and ethnicity status,2.7,Percentage of Numerator / Denominator
2015,Calendar Year,North West,Government Region,All,All,"71,660",Average number of claimants a month matching geographic and ethnicity status,"4,519,159",Number of people in the population matching geographic and ethnicity status,1.6,Percentage of Numerator / Denominator
2011,Calendar Year,South East,Government Region,All,All,"137,428",Average number of claimants a month matching geographic and ethnicity status,"5,513,564",Number of people in the population matching geographic and ethnicity status,2.5,Percentage of Numerator / Denominator
2012,Calendar Year,South East,Government Region,All,All,"139,258",Average number of claimants a month matching geographic and ethnicity status,"5,504,596",Number of people in the population matching geographic and ethnicity status,2.5,Percentage of Numerator / Denominator
2013,Calendar Year,South East,Government Region,All,All,"119,291",Average number of claimants a month matching geographic and ethnicity status,"5,511,497",Number of people in the population matching geographic and ethnicity status,2.2,Percentage of Numerator / Denominator
2014,Calendar Year,South East,Government Region,All,All,"81,560",Average number of claimants a month matching geographic and ethnicity status,"5,535,330",Number of people in the population matching geographic and ethnicity status,1.5,Percentage of Numerator / Denominator
2015,Calendar Year,South East,Government Region,All,All,"58,812",Average number of claimants a month matching geographic and ethnicity status,"5,563,814",Number of people in the population matching geographic and ethnicity status,1.1,Percentage of Numerator / Denominator
2011,Calendar Year,South West,Government Region,All,All,"85,488",Average number of claimants a month matching geographic and ethnicity status,"3,326,352",Number of people in the population matching geographic and ethnicity status,2.6,Percentage of Numerator / Denominator
2012,Calendar Year,South West,Government Region,All,All,"89,073",Average number of claimants a month matching geographic and ethnicity status,"3,316,714",Number of people in the population matching geographic and ethnicity status,2.7,Percentage of Numerator / Denominator
2013,Calendar Year,South West,Government Region,All,All,"76,668",Average number of claimants a month matching geographic and ethnicity status,"3,319,222",Number of people in the population matching geographic and ethnicity status,2.3,Percentage of Numerator / Denominator
2014,Calendar Year,South West,Government Region,All,All,"52,495",Average number of claimants a month matching geographic and ethnicity status,"3,327,519",Number of people in the population matching geographic and ethnicity status,1.6,Percentage of Numerator / Denominator
2015,Calendar Year,South West,Government Region,All,All,"36,457",Average number of claimants a month matching geographic and ethnicity status,"3,344,746",Number of people in the population matching geographic and ethnicity status,1.1,Percentage of Numerator / Denominator
2011,Calendar Year,Wales,Government Region,All,All,"74,948",Average number of claimants a month matching geographic and ethnicity status,"1,941,524",Number of people in the population matching geographic and ethnicity status,3.9,Percentage of Numerator / Denominator
2012,Calendar Year,Wales,Government Region,All,All,"79,645",Average number of claimants a month matching geographic and ethnicity status,"1,931,637",Number of people in the population matching geographic and ethnicity status,4.1,Percentage of Numerator / Denominator
2013,Calendar Year,Wales,Government Region,All,All,"72,909",Average number of claimants a month matching geographic and ethnicity status,"1,926,617",Number of people in the population matching geographic and ethnicity status,3.8,Percentage of Numerator / Denominator
2014,Calendar Year,Wales,Government Region,All,All,"56,813",Average number of claimants a month matching geographic and ethnicity status,"1,922,448",Number of people in the population matching geographic and ethnicity status,3,Percentage of Numerator / Denominator
2015,Calendar Year,Wales,Government Region,All,All,"43,375",Average number of claimants a month matching geographic and ethnicity status,"1,919,024",Number of people in the population matching geographic and ethnicity status,2.3,Percentage of Numerator / Denominator
2011,Calendar Year,West Midlands,Government Region,All,All,"164,110",Average number of claimants a month matching geographic and ethnicity status,"3,561,093",Number of people in the population matching geographic and ethnicity status,4.6,Percentage of Numerator / Denominator
2012,Calendar Year,West Midlands,Government Region,All,All,"165,030",Average number of claimants a month matching geographic and ethnicity status,"3,557,498",Number of people in the population matching geographic and ethnicity status,4.6,Percentage of Numerator / Denominator
2013,Calendar Year,West Midlands,Government Region,All,All,"149,240",Average number of claimants a month matching geographic and ethnicity status,"3,560,634",Number of people in the population matching geographic and ethnicity status,4.2,Percentage of Numerator / Denominator
2014,Calendar Year,West Midlands,Government Region,All,All,"109,411",Average number of claimants a month matching geographic and ethnicity status,"3,569,489",Number of people in the population matching geographic and ethnicity status,3.1,Percentage of Numerator / Denominator
2015,Calendar Year,West Midlands,Government Region,All,All,"77,061",Average number of claimants a month matching geographic and ethnicity status,"3,582,819",Number of people in the population matching geographic and ethnicity status,2.2,Percentage of Numerator / Denominator
2011,Calendar Year,Yorkshire and The Humber,Government Region,All,All,"153,374",Average number of claimants a month matching geographic and ethnicity status,"3,409,275",Number of people in the population matching geographic and ethnicity status,4.5,Percentage of Numerator / Denominator
2012,Calendar Year,Yorkshire and The Humber,Government Region,All,All,"164,065",Average number of claimants a month matching geographic and ethnicity status,"3,401,113",Number of people in the population matching geographic and ethnicity status,4.8,Percentage of Numerator / Denominator
2013,Calendar Year,Yorkshire and The Humber,Government Region,All,All,"149,837",Average number of claimants a month matching geographic and ethnicity status,"3,394,714",Number of people in the population matching geographic and ethnicity status,4.4,Percentage of Numerator / Denominator
2014,Calendar Year,Yorkshire and The Humber,Government Region,All,All,"110,463",Average number of claimants a month matching geographic and ethnicity status,"3,389,620",Number of people in the population matching geographic and ethnicity status,3.3,Percentage of Numerator / Denominator
2015,Calendar Year,Yorkshire and The Humber,Government Region,All,All,"81,091",Average number of claimants a month matching geographic and ethnicity status,"3,397,836",Number of people in the population matching geographic and ethnicity status,2.4,Percentage of Numerator / Denominator
2011,Calendar Year,East,Government Region,Ethnic Minority,ONS 2,"11,072",Average number of claimants a month matching geographic and ethnicity status,"353,810",Number of people in the population matching geographic and ethnicity status,3.1,Percentage of Numerator / Denominator
2012,Calendar Year,East,Government Region,Ethnic Minority,ONS 2,"11,500",Average number of claimants a month matching geographic and ethnicity status,"360,894",Number of people in the population matching geographic and ethnicity status,3.2,Percentage of Numerator / Denominator
2013,Calendar Year,East,Government Region,Ethnic Minority,ONS 2,"10,182",Average number of claimants a month matching geographic and ethnicity status,"368,682",Number of people in the population matching geographic and ethnicity status,2.8,Percentage of Numerator / Denominator
2014,Calendar Year,East,Government Region,Ethnic Minority,ONS 2,"7,185",Average number of claimants a month matching geographic and ethnicity status,"377,379",Number of people in the population matching geographic and ethnicity status,1.9,Percentage of Numerator / Denominator
2015,Calendar Year,East,Government Region,Ethnic Minority,ONS 2,"5,475",Average number of claimants a month matching geographic and ethnicity status,"386,407",Number of people in the population matching geographic and ethnicity status,1.4,Percentage of Numerator / Denominator
2011,Calendar Year,East Midlands,Government Region,Ethnic Minority,ONS 2,"14,017",Average number of claimants a month matching geographic and ethnicity status,"326,321",Number of people in the population matching geographic and ethnicity status,4.3,Percentage of Numerator / Denominator
2012,Calendar Year,East Midlands,Government Region,Ethnic Minority,ONS 2,"15,176",Average number of claimants a month matching geographic and ethnicity status,"332,263",Number of people in the population matching geographic and ethnicity status,4.6,Percentage of Numerator / Denominator
2013,Calendar Year,East Midlands,Government Region,Ethnic Minority,ONS 2,"13,675",Average number of claimants a month matching geographic and ethnicity status,"338,154",Number of people in the population matching geographic and ethnicity status,4,Percentage of Numerator / Denominator
2014,Calendar Year,East Midlands,Government Region,Ethnic Minority,ONS 2,"9,898",Average number of claimants a month matching geographic and ethnicity status,"345,202",Number of people in the population matching geographic and ethnicity status,2.9,Percentage of Numerator / Denominator
2015,Calendar Year,East Midlands,Government Region,Ethnic Minority,ONS 2,"7,218",Average number of claimants a month matching geographic and ethnicity status,"353,594",Number of people in the population matching geographic and ethnicity status,2,Percentage of Numerator / Denominator
2011,Calendar Year,All,England and Wales,Ethnic Minority,ONS 2,"236,618",Average number of claimants a month matching geographic and ethnicity status,"5,225,005",Number of people in the population matching geographic and ethnicity status,4.5,Percentage of Numerator / Denominator
2012,Calendar Year,All,England and Wales,Ethnic Minority,ONS 2,"245,523",Average number of claimants a month matching geographic and ethnicity status,"5,330,158",Number of people in the population matching geographic and ethnicity status,4.6,Percentage of Numerator / Denominator
2013,Calendar Year,All,England and Wales,Ethnic Minority,ONS 2,"222,890",Average number of claimants a month matching geographic and ethnicity status,"5,439,734",Number of people in the population matching geographic and ethnicity status,4.1,Percentage of Numerator / Denominator
2014,Calendar Year,All,England and Wales,Ethnic Minority,ONS 2,"168,590",Average number of claimants a month matching geographic and ethnicity status,"5,561,987",Number of people in the population matching geographic and ethnicity status,3,Percentage of Numerator / Denominator
2015,Calendar Year,All,England and Wales,Ethnic Minority,ONS 2,"129,245",Average number of claimants a month matching geographic and ethnicity status,"5,700,195",Number of people in the population matching geographic and ethnicity status,2.3,Percentage of Numerator / Denominator
2011,Calendar Year,London,Government Region,Ethnic Minority,ONS 2,"111,479",Average number of claimants a month matching geographic and ethnicity status,"2,224,496",Number of people in the population matching geographic and ethnicity status,5,Percentage of Numerator / Denominator
2012,Calendar Year,London,Government Region,Ethnic Minority,ONS 2,"112,006",Average number of claimants a month matching geographic and ethnicity status,"2,269,312",Number of people in the population matching geographic and ethnicity status,4.9,Percentage of Numerator / Denominator
2013,Calendar Year,London,Government Region,Ethnic Minority,ONS 2,"99,449",Average number of claimants a month matching geographic and ethnicity status,"2,318,037",Number of people in the population matching geographic and ethnicity status,4.3,Percentage of Numerator / Denominator
2014,Calendar Year,London,Government Region,Ethnic Minority,ONS 2,"73,450",Average number of claimants a month matching geographic and ethnicity status,"2,374,790",Number of people in the population matching geographic and ethnicity status,3.1,Percentage of Numerator / Denominator
2015,Calendar Year,London,Government Region,Ethnic Minority,ONS 2,"57,444",Average number of claimants a month matching geographic and ethnicity status,"2,440,011",Number of people in the population matching geographic and ethnicity status,2.4,Percentage of Numerator / Denominator
2011,Calendar Year,North East,Government Region,Ethnic Minority,ONS 2,"2,814",Average number of claimants a month matching geographic and ethnicity status,"82,892",Number of people in the population matching geographic and ethnicity status,3.4,Percentage of Numerator / Denominator
2012,Calendar Year,North East,Government Region,Ethnic Minority,ONS 2,"3,225",Average number of claimants a month matching geographic and ethnicity status,"83,818",Number of people in the population matching geographic and ethnicity status,3.8,Percentage of Numerator / Denominator
2013,Calendar Year,North East,Government Region,Ethnic Minority,ONS 2,"3,093",Average number of claimants a month matching geographic and ethnicity status,"85,304",Number of people in the population matching geographic and ethnicity status,3.6,Percentage of Numerator / Denominator
2014,Calendar Year,North East,Government Region,Ethnic Minority,ONS 2,"2,595",Average number of claimants a month matching geographic and ethnicity status,"86,650",Number of people in the population matching geographic and ethnicity status,3,Percentage of Numerator / Denominator
2015,Calendar Year,North East,Government Region,Ethnic Minority,ONS 2,"2,170",Average number of claimants a month matching geographic and ethnicity status,"88,098",Number of people in the population matching geographic and ethnicity status,2.5,Percentage of Numerator / Denominator
2011,Calendar Year,North West,Government Region,Ethnic Minority,ONS 2,"18,999",Average number of claimants a month matching geographic and ethnicity status,"447,631",Number of people in the population matching geographic and ethnicity status,4.2,Percentage of Numerator / Denominator
2012,Calendar Year,North West,Government Region,Ethnic Minority,ONS 2,"20,917",Average number of claimants a month matching geographic and ethnicity status,"456,738",Number of people in the population matching geographic and ethnicity status,4.6,Percentage of Numerator / Denominator
2013,Calendar Year,North West,Government Region,Ethnic Minority,ONS 2,"19,768",Average number of claimants a month matching geographic and ethnicity status,"464,786",Number of people in the population matching geographic and ethnicity status,4.3,Percentage of Numerator / Denominator
2014,Calendar Year,North West,Government Region,Ethnic Minority,ONS 2,"14,804",Average number of claimants a month matching geographic and ethnicity status,"474,089",Number of people in the population matching geographic and ethnicity status,3.1,Percentage of Numerator / Denominator
2015,Calendar Year,North West,Government Region,Ethnic Minority,ONS 2,"10,330",Average number of claimants a month matching geographic and ethnicity status,"485,776",Number of people in the population matching geographic and ethnicity status,2.1,Percentage of Numerator / Denominator
2011,Calendar Year,South East,Government Region,Ethnic Minority,ONS 2,"13,136",Average number of claimants a month matching geographic and ethnicity status,"538,021",Number of people in the population matching geographic and ethnicity status,2.4,Percentage of Numerator / Denominator
2012,Calendar Year,South East,Government Region,Ethnic Minority,ONS 2,"13,529",Average number of claimants a month matching geographic and ethnicity status,"548,367",Number of people in the population matching geographic and ethnicity status,2.5,Percentage of Numerator / Denominator
2013,Calendar Year,South East,Government Region,Ethnic Minority,ONS 2,"11,753",Average number of claimants a month matching geographic and ethnicity status,"559,260",Number of people in the population matching geographic and ethnicity status,2.1,Percentage of Numerator / Denominator
2014,Calendar Year,South East,Government Region,Ethnic Minority,ONS 2,"8,555",Average number of claimants a month matching geographic and ethnicity status,"570,823",Number of people in the population matching geographic and ethnicity status,1.5,Percentage of Numerator / Denominator
2015,Calendar Year,South East,Government Region,Ethnic Minority,ONS 2,"6,298",Average number of claimants a month matching geographic and ethnicity status,"581,892",Number of people in the population matching geographic and ethnicity status,1.1,Percentage of Numerator / Denominator
2011,Calendar Year,South West,Government Region,Ethnic Minority,ONS 2,"4,923",Average number of claimants a month matching geographic and ethnicity status,"161,444",Number of people in the population matching geographic and ethnicity status,3,Percentage of Numerator / Denominator
2012,Calendar Year,South West,Government Region,Ethnic Minority,ONS 2,"5,328",Average number of claimants a month matching geographic and ethnicity status,"165,417",Number of people in the population matching geographic and ethnicity status,3.2,Percentage of Numerator / Denominator
2013,Calendar Year,South West,Government Region,Ethnic Minority,ONS 2,"4,739",Average number of claimants a month matching geographic and ethnicity status,"169,613",Number of people in the population matching geographic and ethnicity status,2.8,Percentage of Numerator / Denominator
2014,Calendar Year,South West,Government Region,Ethnic Minority,ONS 2,"3,607",Average number of claimants a month matching geographic and ethnicity status,"173,659",Number of people in the population matching geographic and ethnicity status,2.1,Percentage of Numerator / Denominator
2015,Calendar Year,South West,Government Region,Ethnic Minority,ONS 2,"2,678",Average number of claimants a month matching geographic and ethnicity status,"178,608",Number of people in the population matching geographic and ethnicity status,1.5,Percentage of Numerator / Denominator
2011,Calendar Year,Wales,Government Region,Ethnic Minority,ONS 2,"2,856",Average number of claimants a month matching geographic and ethnicity status,"91,473",Number of people in the population matching geographic and ethnicity status,3.1,Percentage of Numerator / Denominator
2012,Calendar Year,Wales,Government Region,Ethnic Minority,ONS 2,"3,104",Average number of claimants a month matching geographic and ethnicity status,"92,789",Number of people in the population matching geographic and ethnicity status,3.3,Percentage of Numerator / Denominator
2013,Calendar Year,Wales,Government Region,Ethnic Minority,ONS 2,"2,988",Average number of claimants a month matching geographic and ethnicity status,"94,439",Number of people in the population matching geographic and ethnicity status,3.2,Percentage of Numerator / Denominator
2014,Calendar Year,Wales,Government Region,Ethnic Minority,ONS 2,"2,633",Average number of claimants a month matching geographic and ethnicity status,"95,959",Number of people in the population matching geographic and ethnicity status,2.7,Percentage of Numerator / Denominator
2015,Calendar Year,Wales,Government Region,Ethnic Minority,ONS 2,"2,132",Average number of claimants a month matching geographic and ethnicity status,"97,597",Number of people in the population matching geographic and ethnicity status,2.2,Percentage of Numerator / Denominator
2011,Calendar Year,West Midlands,Government Region,Ethnic Minority,ONS 2,"38,223",Average number of claimants a month matching geographic and ethnicity status,"619,506",Number of people in the population matching geographic and ethnicity status,6.2,Percentage of Numerator / Denominator
2012,Calendar Year,West Midlands,Government Region,Ethnic Minority,ONS 2,"39,632",Average number of claimants a month matching geographic and ethnicity status,"633,412",Number of people in the population matching geographic and ethnicity status,6.3,Percentage of Numerator / Denominator
2013,Calendar Year,West Midlands,Government Region,Ethnic Minority,ONS 2,"37,069",Average number of claimants a month matching geographic and ethnicity status,"646,649",Number of people in the population matching geographic and ethnicity status,5.7,Percentage of Numerator / Denominator
2014,Calendar Year,West Midlands,Government Region,Ethnic Minority,ONS 2,"29,627",Average number of claimants a month matching geographic and ethnicity status,"661,144",Number of people in the population matching geographic and ethnicity status,4.5,Percentage of Numerator / Denominator
2015,Calendar Year,West Midlands,Government Region,Ethnic Minority,ONS 2,"22,700",Average number of claimants a month matching geographic and ethnicity status,"676,446",Number of people in the population matching geographic and ethnicity status,3.4,Percentage of Numerator / Denominator
2011,Calendar Year,Yorkshire and The Humber,Government Region,Ethnic Minority,ONS 2,"19,098",Average number of claimants a month matching geographic and ethnicity status,"379,411",Number of people in the population matching geographic and ethnicity status,5,Percentage of Numerator / Denominator
2012,Calendar Year,Yorkshire and The Humber,Government Region,Ethnic Minority,ONS 2,"21,106",Average number of claimants a month matching geographic and ethnicity status,"387,148",Number of people in the population matching geographic and ethnicity status,5.5,Percentage of Numerator / Denominator
2013,Calendar Year,Yorkshire and The Humber,Government Region,Ethnic Minority,ONS 2,"20,174",Average number of claimants a month matching geographic and ethnicity status,"394,811",Number of people in the population matching geographic and ethnicity status,5.1,Percentage of Numerator / Denominator
2014,Calendar Year,Yorkshire and The Humber,Government Region,Ethnic Minority,ONS 2,"16,237",Average number of claimants a month matching geographic and ethnicity status,"402,292",Number of people in the population matching geographic and ethnicity status,4,Percentage of Numerator / Denominator
2015,Calendar Year,Yorkshire and The Humber,Government Region,Ethnic Minority,ONS 2,"12,803",Average number of claimants a month matching geographic and ethnicity status,"411,767",Number of people in the population matching geographic and ethnicity status,3.1,Percentage of Numerator / Denominator
2011,Calendar Year,East,Government Region,White,ONS 2,"94,054",Average number of claimants a month matching geographic and ethnicity status,"3,365,265",Number of people in the population matching geographic and ethnicity status,2.8,Percentage of Numerator / Denominator
2012,Calendar Year,East,Government Region,White,ONS 2,"97,259",Average number of claimants a month matching geographic and ethnicity status,"3,347,473",Number of people in the population matching geographic and ethnicity status,2.9,Percentage of Numerator / Denominator
2013,Calendar Year,East,Government Region,White,ONS 2,"85,313",Average number of claimants a month matching geographic and ethnicity status,"3,343,932",Number of people in the population matching geographic and ethnicity status,2.6,Percentage of Numerator / Denominator
2014,Calendar Year,East,Government Region,White,ONS 2,"56,496",Average number of claimants a month matching geographic and ethnicity status,"3,356,208",Number of people in the population matching geographic and ethnicity status,1.7,Percentage of Numerator / Denominator
2015,Calendar Year,East,Government Region,White,ONS 2,"39,134",Average number of claimants a month matching geographic and ethnicity status,"3,368,899",Number of people in the population matching geographic and ethnicity status,1.2,Percentage of Numerator / Denominator
2011,Calendar Year,East Midlands,Government Region,White,ONS 2,"84,083",Average number of claimants a month matching geographic and ethnicity status,"2,592,837",Number of people in the population matching geographic and ethnicity status,3.2,Percentage of Numerator / Denominator
2012,Calendar Year,East Midlands,Government Region,White,ONS 2,"88,955",Average number of claimants a month matching geographic and ethnicity status,"2,579,968",Number of people in the population matching geographic and ethnicity status,3.4,Percentage of Numerator / Denominator
2013,Calendar Year,East Midlands,Government Region,White,ONS 2,"77,863",Average number of claimants a month matching geographic and ethnicity status,"2,574,812",Number of people in the population matching geographic and ethnicity status,3,Percentage of Numerator / Denominator
2014,Calendar Year,East Midlands,Government Region,White,ONS 2,"54,797",Average number of claimants a month matching geographic and ethnicity status,"2,577,995",Number of people in the population matching geographic and ethnicity status,2.1,Percentage of Numerator / Denominator
2015,Calendar Year,East Midlands,Government Region,White,ONS 2,"38,634",Average number of claimants a month matching geographic and ethnicity status,"2,584,198",Number of people in the population matching geographic and ethnicity status,1.5,Percentage of Numerator / Denominator
2011,Calendar Year,All,England and Wales,White,ONS 2,"1,014,010",Average number of claimants a month matching geographic and ethnicity status,"31,063,891",Number of people in the population matching geographic and ethnicity status,3.3,Percentage of Numerator / Denominator
2012,Calendar Year,All,England and Wales,White,ONS 2,"1,056,749",Average number of claimants a month matching geographic and ethnicity status,"30,908,474",Number of people in the population matching geographic and ethnicity status,3.4,Percentage of Numerator / Denominator
2013,Calendar Year,All,England and Wales,White,ONS 2,"935,965",Average number of claimants a month matching geographic and ethnicity status,"30,838,283",Number of people in the population matching geographic and ethnicity status,3,Percentage of Numerator / Denominator
2014,Calendar Year,All,England and Wales,White,ONS 2,"658,322",Average number of claimants a month matching geographic and ethnicity status,"30,835,815",Number of people in the population matching geographic and ethnicity status,2.1,Percentage of Numerator / Denominator
2015,Calendar Year,All,England and Wales,White,ONS 2,"458,603",Average number of claimants a month matching geographic and ethnicity status,"30,888,470",Number of people in the population matching geographic and ethnicity status,1.5,Percentage of Numerator / Denominator
2011,Calendar Year,London,Government Region,White,ONS 2,"94,699",Average number of claimants a month matching geographic and ethnicity status,"3,439,921",Number of people in the population matching geographic and ethnicity status,2.8,Percentage of Numerator / Denominator
2012,Calendar Year,London,Government Region,White,ONS 2,"94,602",Average number of claimants a month matching geographic and ethnicity status,"3,434,435",Number of people in the population matching geographic and ethnicity status,2.8,Percentage of Numerator / Denominator
2013,Calendar Year,London,Government Region,White,ONS 2,"83,486",Average number of claimants a month matching geographic and ethnicity status,"3,438,168",Number of people in the population matching geographic and ethnicity status,2.4,Percentage of Numerator / Denominator
2014,Calendar Year,London,Government Region,White,ONS 2,"58,508",Average number of claimants a month matching geographic and ethnicity status,"3,448,700",Number of people in the population matching geographic and ethnicity status,1.7,Percentage of Numerator / Denominator
2015,Calendar Year,London,Government Region,White,ONS 2,"43,076",Average number of claimants a month matching geographic and ethnicity status,"3,467,751",Number of people in the population matching geographic and ethnicity status,1.2,Percentage of Numerator / Denominator
2011,Calendar Year,North East,Government Region,White,ONS 2,"78,332",Average number of claimants a month matching geographic and ethnicity status,"1,598,782",Number of people in the population matching geographic and ethnicity status,4.9,Percentage of Numerator / Denominator
2012,Calendar Year,North East,Government Region,White,ONS 2,"86,177",Average number of claimants a month matching geographic and ethnicity status,"1,587,149",Number of people in the population matching geographic and ethnicity status,5.4,Percentage of Numerator / Denominator
2013,Calendar Year,North East,Government Region,White,ONS 2,"78,101",Average number of claimants a month matching geographic and ethnicity status,"1,582,142",Number of people in the population matching geographic and ethnicity status,4.9,Percentage of Numerator / Denominator
2014,Calendar Year,North East,Government Region,White,ONS 2,"57,210",Average number of claimants a month matching geographic and ethnicity status,"1,576,712",Number of people in the population matching geographic and ethnicity status,3.6,Percentage of Numerator / Denominator
2015,Calendar Year,North East,Government Region,White,ONS 2,"43,033",Average number of claimants a month matching geographic and ethnicity status,"1,572,309",Number of people in the population matching geographic and ethnicity status,2.7,Percentage of Numerator / Denominator
2011,Calendar Year,North West,Government Region,White,ONS 2,"161,808",Average number of claimants a month matching geographic and ethnicity status,"4,105,134",Number of people in the population matching geographic and ethnicity status,3.9,Percentage of Numerator / Denominator
2012,Calendar Year,North West,Government Region,White,ONS 2,"170,569",Average number of claimants a month matching geographic and ethnicity status,"4,075,024",Number of people in the population matching geographic and ethnicity status,4.2,Percentage of Numerator / Denominator
2013,Calendar Year,North West,Government Region,White,ONS 2,"151,472",Average number of claimants a month matching geographic and ethnicity status,"4,051,316",Number of people in the population matching geographic and ethnicity status,3.7,Percentage of Numerator / Denominator
