"Time","Ethnicity","Rate"
"2010/11","Bangladeshi","63.5"
"2010/11","Indian","20.2"
"2010/11","Pakistani","36.0"
"2010/11","Any other Asian","47.4"
"2010/11","Black","110.5"
"2010/11","Black African","68.7"
"2010/11","Black Caribbean","137.1"
"2010/11","Any other Black background","201.8"
"2010/11","Mixed","29.9"
"2010/11","Mixed White and Asian","9.1"
"2010/11","Mixed White and Black African","23.0"
"2010/11","Mixed White and Black caribbean","43.3"
"2010/11","Any other mixed/multiple ethnic background","38.5"
"2010/11","White","16.9"
"2010/11","White British","15.9"
"2010/11","White Irish","17.8"
"2010/11","Any other White background","34.3"
"2010/11","Other","18.5"
"2010/11","Other - Chinese","7.6"
"2010/11","Other - Any other","26.1"
"2011/12","All","20.9"
"2011/12","Asian","32.2"
"2011/12","Bangladeshi","55.1"
"2011/12","Indian","16.8"
"2011/12","Pakistani","33.7"
"2011/12","Any other Asian","43.9"
"2011/12","Black","94.4"
"2011/12","Black African","58.9"
"2011/12","Black Caribbean","110.5"
"2011/12","Any other Black background","185.7"
"2011/12","Mixed","28.3"
"2011/12","Mixed White and Asian","8.6"
"2011/12","Mixed White and Black African","21.0"
"2011/12","Mixed White and Black caribbean","37.9"
"2011/12","Any other mixed/multiple ethnic background","41.5"
"2011/12","White","16.0"
"2011/12","White British","15.0"
"2011/12","White Irish","17.3"
"2011/12","Any other White background","34.4"
"2011/12","Other","16.2"
"2011/12","Other - Chinese","5.4"
"2011/12","Other - Any other","23.6"
"2012/13","All","17.8"
"2012/13","Asian","24.0"
"2012/13","Bangladeshi","36.3"
"2012/13","Indian","11.7"
"2012/13","Pakistani","27.9"
"2012/13","Any other Asian","32.8"
"2012/13","Black","64.7"
"2012/13","Black African","39.7"
"2012/13","Black Caribbean","73.5"
"2012/13","Any other Black background","134.3"
"2012/13","Mixed","23.1"
"2012/13","Mixed White and Asian","7.0"
"2012/13","Mixed White and Black African","16.8"
"2012/13","Mixed White and Black caribbean","31.2"
"2012/13","Any other mixed/multiple ethnic background","34.0"
"2012/13","White","14.6"
"2012/13","White British","13.7"
"2012/13","White Irish","15.3"
"2012/13","Any other White background","30.5"
"2012/13","Other","12.7"
"2012/13","Other - Chinese","4.8"
"2012/13","Other - Any other","18.3"
"2013/14","All","15.8"
"2013/14","Asian","19.1"
"2013/14","Bangladeshi","30.2"
"2013/14","Indian","8.3"
"2013/14","Pakistani","22.0"
"2013/14","Any other Asian","27.3"
"2013/14","Black","53.7"
"2013/14","Black African","33.5"
"2013/14","Black Caribbean","58.2"
"2013/14","Any other Black background","115.6"
"2013/14","Mixed","19.6"
"2013/14","Mixed White and Asian","7.1"
"2013/14","Mixed White and Black African","14.9"
"2013/14","Mixed White and Black caribbean","26.5"
"2013/14","Any other mixed/multiple ethnic background","27.1"
"2013/14","White","13.1"
"2013/14","White British","12.4"
"2013/14","White Irish","13.3"
"2013/14","Any other White background","26.7"
"2013/14","Other","12.0"
"2013/14","Other - Chinese","5.5"
"2013/14","Other - Any other","16.5"
"2014/15","All","9.4"
"2014/15","Asian","11.0"
"2014/15","Bangladeshi","15.6"
"2014/15","Indian","5.0"
"2014/15","Pakistani","12.8"
"2014/15","Any other Asian","16.0"
"2014/15","Black","33.7"
"2014/15","Black African","21.4"
"2014/15","Black Caribbean","35.4"
"2014/15","Any other Black background","73.7"
"2014/15","Mixed","12.3"
"2014/15","Mixed White and Asian","4.1"
"2014/15","Mixed White and Black African","9.4"
"2014/15","Mixed White and Black caribbean","16.4"
"2014/15","Any other mixed/multiple ethnic background","17.6"
"2014/15","White","7.7"
"2014/15","White British","7.2"
"2014/15","White Irish","7.6"
"2014/15","Any other White background","16.2"
"2014/15","Other","7.7"
"2014/15","Other - Chinese","3.5"
"2014/15","Other - Any other","10.6"
"2015/16","All","6.7"
"2015/16","Asian","9.3"
"2015/16","Bangladeshi","15.9"
"2015/16","Indian","4.0"
"2015/16","Pakistani","10.0"
"2015/16","Any other Asian","13.7"
"2015/16","Black","31.2"
"2015/16","Black African","20.1"
"2015/16","Black Caribbean","31.1"
"2015/16","Any other Black background","70.5"
"2015/16","Mixed","10.1"
"2015/16","Mixed White and Asian","3.3"
"2015/16","Mixed White and Black African","8.0"
"2015/16","Mixed White and Black caribbean","12.8"
"2015/16","Any other mixed/multiple ethnic background","15.3"
"2015/16","White","4.8"
"2015/16","White British","4.3"
"2015/16","White Irish","6.2"
"2015/16","Any other White background","13.2"
"2015/16","Other","5.7"
"2015/16","Other - Chinese","1.6"
"2015/16","Other - Any other","8.6"
