"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type"," Number of stop and searches "," Total number of stop and search carried out in this year in this area (excluding cases where the ethnicity was unreported) ","Population by ethnicity","Rate per 1,000 population by ethnicity","Proportion of total stop and searches of this ethnicity in the financial year (excludes unreported)","Notes","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Other","ONS 2001 5+1","Cheshire","Police Force Area","23"," 6,385 ","5,230","4.40","0.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed","ONS 2001 5+1","Cheshire","Police Force Area","63"," 6,385 ","10,423","6.04","1.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Unreported","ONS 2001 5+1","Cheshire","Police Force Area","82"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White","ONS 2001 5+1","Cleveland","Police Force Area","10,597"," 11,453 ","526,456","20.13","92.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Asian","ONS 2001 5+1","Cleveland","Police Force Area","303"," 11,453 ","17,419","17.39","2.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Black","ONS 2001 5+1","Cleveland","Police Force Area","97"," 11,453 ","3,156","30.74","0.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Other","ONS 2001 5+1","Cleveland","Police Force Area","387"," 11,453 ","4,434","87.28","3.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed","ONS 2001 5+1","Cleveland","Police Force Area","69"," 11,453 ","5,762","11.98","0.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Unreported","ONS 2001 5+1","Cleveland","Police Force Area","684"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White","ONS 2001 5+1","Cumbria","Police Force Area","7,982"," 8,071 ","492,257","16.22","98.9%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Asian","ONS 2001 5+1","Cumbria","Police Force Area","49"," 8,071 ","2,913","16.82","0.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Black","ONS 2001 5+1","Cumbria","Police Force Area","21"," 8,071 ","579","36.27","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Other","ONS 2001 5+1","Cumbria","Police Force Area","4"," 8,071 ","1,605","2.49","0.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed","ONS 2001 5+1","Cumbria","Police Force Area","15"," 8,071 ","2,504","5.99","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Unreported","ONS 2001 5+1","Cumbria","Police Force Area","150"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White","ONS 2001 5+1","Derbyshire","Police Force Area","7,538"," 8,368 ","949,845","7.94","90.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Asian","ONS 2001 5+1","Derbyshire","Police Force Area","355"," 8,368 ","36,871","9.63","4.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Black","ONS 2001 5+1","Derbyshire","Police Force Area","234"," 8,368 ","10,090","23.19","2.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Other","ONS 2001 5+1","Derbyshire","Police Force Area","16"," 8,368 ","7,281","2.20","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed","ONS 2001 5+1","Derbyshire","Police Force Area","225"," 8,368 ","14,351","15.68","2.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Unreported","ONS 2001 5+1","Derbyshire","Police Force Area","167"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White","ONS 2001 5+1","Devon & Cornwall","Police Force Area","23,916"," 24,410 ","1,627,306","14.70","98.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Asian","ONS 2001 5+1","Devon & Cornwall","Police Force Area","77"," 24,410 ","11,694","6.58","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Black","ONS 2001 5+1","Devon & Cornwall","Police Force Area","199"," 24,410 ","4,106","48.47","0.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Other","ONS 2001 5+1","Devon & Cornwall","Police Force Area","48"," 24,410 ","9,467","5.07","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed","ONS 2001 5+1","Devon & Cornwall","Police Force Area","170"," 24,410 ","15,645","10.87","0.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Unreported","ONS 2001 5+1","Devon & Cornwall","Police Force Area","1,765"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White","ONS 2001 5+1","Dorset","Police Force Area","6,052"," 6,529 ","714,637","8.47","92.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Asian","ONS 2001 5+1","Dorset","Police Force Area","66"," 6,529 ","10,694","6.17","1.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Black","ONS 2001 5+1","Dorset","Police Force Area","261"," 6,529 ","3,208","81.36","4.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Other","ONS 2001 5+1","Dorset","Police Force Area","54"," 6,529 ","5,995","9.01","0.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed","ONS 2001 5+1","Dorset","Police Force Area","96"," 6,529 ","9,507","10.10","1.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Unreported","ONS 2001 5+1","Dorset","Police Force Area","110"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White","ONS 2001 5+1","Durham","Police Force Area","8,230"," 8,302 ","605,364","13.60","99.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Asian","ONS 2001 5+1","Durham","Police Force Area","36"," 8,302 ","5,114","7.04","0.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Black","ONS 2001 5+1","Durham","Police Force Area","13"," 8,302 ","1,058","12.29","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Other","ONS 2001 5+1","Durham","Police Force Area","4"," 8,302 ","3,030","1.32","0.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed","ONS 2001 5+1","Durham","Police Force Area","19"," 8,302 ","4,240","4.48","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Unreported","ONS 2001 5+1","Durham","Police Force Area","18"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White","ONS 2001 5+1","Dyfed-Powys","Police Force Area","8,274"," 8,384 ","504,714","16.39","98.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Asian","ONS 2001 5+1","Dyfed-Powys","Police Force Area","31"," 8,384 ","4,274","7.25","0.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Black","ONS 2001 5+1","Dyfed-Powys","Police Force Area","25"," 8,384 ","856","29.21","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Other","ONS 2001 5+1","Dyfed-Powys","Police Force Area","8"," 8,384 ","2,008","3.98","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed","ONS 2001 5+1","Dyfed-Powys","Police Force Area","46"," 8,384 ","3,262","14.10","0.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Unreported","ONS 2001 5+1","Dyfed-Powys","Police Force Area","46"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White","ONS 2001 5+1","Essex","Police Force Area","8,311"," 9,254 ","1,608,308","5.17","89.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Asian","ONS 2001 5+1","Essex","Police Force Area","165"," 9,254 ","38,954","4.24","1.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Black","ONS 2001 5+1","Essex","Police Force Area","465"," 9,254 ","34,679","13.41","5.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Other","ONS 2001 5+1","Essex","Police Force Area","76"," 9,254 ","15,374","4.94","0.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed","ONS 2001 5+1","Essex","Police Force Area","237"," 9,254 ","27,635","8.58","2.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Unreported","ONS 2001 5+1","Essex","Police Force Area","122"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White","ONS 2001 5+1","Gloucestershire","Police Force Area","4,424"," 4,833 ","569,647","7.77","91.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Asian","ONS 2001 5+1","Gloucestershire","Police Force Area","92"," 4,833 ","10,522","8.74","1.9%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Black","ONS 2001 5+1","Gloucestershire","Police Force Area","171"," 4,833 ","5,150","33.20","3.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Other","ONS 2001 5+1","Gloucestershire","Police Force Area","15"," 4,833 ","3,004","4.99","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed","ONS 2001 5+1","Gloucestershire","Police Force Area","131"," 4,833 ","8,661","15.13","2.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Unreported","ONS 2001 5+1","Gloucestershire","Police Force Area","53"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White","ONS 2001 5+1","Greater Manchester","Police Force Area","35,560"," 45,400 ","2,248,123","15.82","78.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Asian","ONS 2001 5+1","Greater Manchester","Police Force Area","3,998"," 45,400 ","246,094","16.25","8.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Black","ONS 2001 5+1","Greater Manchester","Police Force Area","3,703"," 45,400 ","74,097","49.98","8.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Other","ONS 2001 5+1","Greater Manchester","Police Force Area","254"," 45,400 ","53,504","4.75","0.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed","ONS 2001 5+1","Greater Manchester","Police Force Area","1,885"," 45,400 ","60,710","31.05","4.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Unreported","ONS 2001 5+1","Greater Manchester","Police Force Area","683"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White","ONS 2001 5+1","Gwent","Police Force Area","5,206"," 5,627 ","554,377","9.39","92.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Asian","ONS 2001 5+1","Gwent","Police Force Area","149"," 5,627 ","10,076","14.79","2.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Black","ONS 2001 5+1","Gwent","Police Force Area","166"," 5,627 ","3,185","52.12","3.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Other","ONS 2001 5+1","Gwent","Police Force Area","14"," 5,627 ","3,569","3.92","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed","ONS 2001 5+1","Gwent","Police Force Area","92"," 5,627 ","5,547","16.59","1.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Unreported","ONS 2001 5+1","Gwent","Police Force Area","87"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White","ONS 2001 5+1","Hampshire","Police Force Area","19,193"," 20,731 ","1,771,378","10.84","92.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Asian","ONS 2001 5+1","Hampshire","Police Force Area","314"," 20,731 ","57,352","5.47","1.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Black","ONS 2001 5+1","Hampshire","Police Force Area","760"," 20,731 ","17,445","43.57","3.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Other","ONS 2001 5+1","Hampshire","Police Force Area","110"," 20,731 ","20,911","5.26","0.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed","ONS 2001 5+1","Hampshire","Police Force Area","354"," 20,731 ","30,905","11.45","1.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Unreported","ONS 2001 5+1","Hampshire","Police Force Area","501"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White","ONS 2001 5+1","Hertfordshire","Police Force Area","8,527"," 10,276 ","977,495","8.72","83.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Asian","ONS 2001 5+1","Hertfordshire","Police Force Area","602"," 10,276 ","64,119","9.39","5.9%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Black","ONS 2001 5+1","Hertfordshire","Police Force Area","697"," 10,276 ","31,401","22.20","6.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Other","ONS 2001 5+1","Hertfordshire","Police Force Area","67"," 10,276 ","15,550","4.31","0.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed","ONS 2001 5+1","Hertfordshire","Police Force Area","383"," 10,276 ","27,497","13.93","3.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Unreported","ONS 2001 5+1","Hertfordshire","Police Force Area","439"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White","ONS 2001 5+1","Humberside","Police Force Area","9,531"," 9,856 ","885,279","10.77","96.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Asian","ONS 2001 5+1","Humberside","Police Force Area","113"," 9,856 ","12,191","9.27","1.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Black","ONS 2001 5+1","Humberside","Police Force Area","95"," 9,856 ","4,499","21.12","1.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Other","ONS 2001 5+1","Humberside","Police Force Area","47"," 9,856 ","7,493","6.27","0.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed","ONS 2001 5+1","Humberside","Police Force Area","70"," 9,856 ","8,185","8.55","0.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Unreported","ONS 2001 5+1","Humberside","Police Force Area","171"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White","ONS 2001 5+1","Kent","Police Force Area","12,747"," 13,859 ","1,607,681","7.93","92.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Asian","ONS 2001 5+1","Kent","Police Force Area","278"," 13,859 ","54,186","5.13","2.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Black","ONS 2001 5+1","Kent","Police Force Area","483"," 13,859 ","22,879","21.11","3.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Other","ONS 2001 5+1","Kent","Police Force Area","90"," 13,859 ","15,636","5.76","0.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed","ONS 2001 5+1","Kent","Police Force Area","261"," 13,859 ","27,283","9.57","1.9%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Unreported","ONS 2001 5+1","Kent","Police Force Area","298"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White","ONS 2001 5+1","Lancashire","Police Force Area","16,154"," 17,874 ","1,320,035","12.24","90.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Asian","ONS 2001 5+1","Lancashire","Police Force Area","1,309"," 17,874 ","108,784","12.03","7.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Black","ONS 2001 5+1","Lancashire","Police Force Area","166"," 17,874 ","5,377","30.87","0.9%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Other","ONS 2001 5+1","Lancashire","Police Force Area","19"," 17,874 ","10,397","1.83","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed","ONS 2001 5+1","Lancashire","Police Force Area","226"," 17,874 ","16,300","13.87","1.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Unreported","ONS 2001 5+1","Lancashire","Police Force Area","83"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White","ONS 2001 5+1","Leicestershire","Police Force Area","14,227"," 19,362 ","797,704","17.83","73.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Asian","ONS 2001 5+1","Leicestershire","Police Force Area","3,047"," 19,362 ","155,740","19.56","15.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Black","ONS 2001 5+1","Leicestershire","Police Force Area","1,431"," 19,362 ","24,623","58.12","7.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Other","ONS 2001 5+1","Leicestershire","Police Force Area","51"," 19,362 ","19,110","2.67","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed","ONS 2001 5+1","Leicestershire","Police Force Area","606"," 19,362 ","20,520","29.53","3.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Unreported","ONS 2001 5+1","Leicestershire","Police Force Area","1,004"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White","ONS 2001 5+1","Lincolnshire","Police Force Area","8,454"," 8,607 ","696,484","12.14","98.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Asian","ONS 2001 5+1","Lincolnshire","Police Force Area","54"," 8,607 ","5,579","9.68","0.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Black","ONS 2001 5+1","Lincolnshire","Police Force Area","60"," 8,607 ","2,561","23.43","0.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Other","ONS 2001 5+1","Lincolnshire","Police Force Area","9"," 8,607 ","2,839","3.17","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed","ONS 2001 5+1","Lincolnshire","Police Force Area","30"," 8,607 ","6,190","4.85","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Unreported","ONS 2001 5+1","Lincolnshire","Police Force Area","87"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White","ONS 2001 5+1","London, City of","Police Force Area","3,225"," 4,987 "," N/A "," N/A ","64.7%","Rate per 1,000 population has not been calculated for the City of London Police due to the small resident population relative to the visiting 'daytime' population.","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Asian","ONS 2001 5+1","London, City of","Police Force Area","680"," 4,987 "," N/A "," N/A ","13.6%","Rate per 1,000 population has not been calculated for the City of London Police due to the small resident population relative to the visiting 'daytime' population.","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Black","ONS 2001 5+1","London, City of","Police Force Area","793"," 4,987 "," N/A "," N/A ","15.9%","Rate per 1,000 population has not been calculated for the City of London Police due to the small resident population relative to the visiting 'daytime' population.","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Other","ONS 2001 5+1","London, City of","Police Force Area","65"," 4,987 "," N/A "," N/A ","1.3%","Rate per 1,000 population has not been calculated for the City of London Police due to the small resident population relative to the visiting 'daytime' population.","","","","",""
