"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Source of Referral","Value","Numerator"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Internal transfer","14.4","62"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Other Ethnic group: Arab","ONS 18+1","Internal transfer","10.3","181"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Tenant applied direct","46.1","115700"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White: Irish","ONS 18+1","Tenant applied direct","37.8","675"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White: Other","ONS 18+1","Tenant applied direct","51","6337"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Tenant applied direct","36.6","1651"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed: White & Black African","ONS 18+1","Tenant applied direct","41.9","651"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed: White & Asian","ONS 18+1","Tenant applied direct","40","466"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed: Other","ONS 18+1","Tenant applied direct","42.2","922"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Indian","ONS 18+1","Tenant applied direct","41.3","980"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Tenant applied direct","43.4","2069"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Tenant applied direct","41.5","1174"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Other","ONS 18+1","Tenant applied direct","46.4","1797"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Tenant applied direct","34.7","2613"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Tenant applied direct","42.4","5118"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Tenant applied direct","45.1","1328"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Tenant applied direct","41.3","197"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Other Ethnic group: Other","ONS 18+1","Tenant applied direct","50.2","2203"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Tenant applied direct","37.9","162"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Other Ethnic group: Arab","ONS 18+1","Tenant applied direct","39.8","703"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Nominated by local housing authority","24.8","62170"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White: Irish","ONS 18+1","Nominated by local housing authority","19.4","347"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White: Other","ONS 18+1","Nominated by local housing authority","29","3610"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Nominated by local housing authority","26","1173"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed: White & Black African","ONS 18+1","Nominated by local housing authority","24.6","383"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed: White & Asian","ONS 18+1","Nominated by local housing authority","25.3","295"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed: Other","ONS 18+1","Nominated by local housing authority","27.6","605"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Indian","ONS 18+1","Nominated by local housing authority","24.6","583"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Nominated by local housing authority","26.2","1248"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Nominated by local housing authority","32.9","932"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Other","ONS 18+1","Nominated by local housing authority","24.9","965"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Nominated by local housing authority","23.6","1775"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Nominated by local housing authority","24.7","2977"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Nominated by local housing authority","17.8","524"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Nominated by local housing authority","29.7","142"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Other Ethnic group: Other","ONS 18+1","Nominated by local housing authority","20.8","911"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Nominated by local housing authority","25.6","110"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Other Ethnic group: Arab","ONS 18+1","Nominated by local housing authority","21.3","376"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Referred by local authority housing department","4.8","12153"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White: Irish","ONS 18+1","Referred by local authority housing department","7.2","128"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White: Other","ONS 18+1","Referred by local authority housing department","2.9","366"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Referred by local authority housing department","7.8","350"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed: White & Black African","ONS 18+1","Referred by local authority housing department","5.7","89"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed: White & Asian","ONS 18+1","Referred by local authority housing department","8.2","95"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed: Other","ONS 18+1","Referred by local authority housing department","5.6","123"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Indian","ONS 18+1","Referred by local authority housing department","5.4","129"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Referred by local authority housing department","4.5","214"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Referred by local authority housing department","3.1","87"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Other","ONS 18+1","Referred by local authority housing department","4.2","161"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Referred by local authority housing department","6.9","520"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Referred by local authority housing department","5.3","637"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Referred by local authority housing department","5.3","157"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Referred by local authority housing department","3.4","16"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Other Ethnic group: Other","ONS 18+1","Referred by local authority housing department","4.3","188"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Referred by local authority housing department","7","30"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Other Ethnic group: Arab","ONS 18+1","Referred by local authority housing department","5.4","95"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Voluntary agency","1.3","3170"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White: Irish","ONS 18+1","Voluntary agency","3.1","55"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White: Other","ONS 18+1","Voluntary agency","1.1","136"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Voluntary agency","3.2","144"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed: White & Black African","ONS 18+1","Voluntary agency","2.4","37"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed: White & Asian","ONS 18+1","Voluntary agency","3","35"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed: Other","ONS 18+1","Voluntary agency","2.3","51"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Indian","ONS 18+1","Voluntary agency","3","71"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Voluntary agency","4.1","198"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Voluntary agency","1.9","54"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Other","ONS 18+1","Voluntary agency","2.1","82"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Voluntary agency","3.3","248"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Voluntary agency","2.8","332"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Voluntary agency","1.8","53"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Voluntary agency","1.9","9"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Other Ethnic group: Other","ONS 18+1","Voluntary agency","2.6","115"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Voluntary agency","2.3","10"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Other Ethnic group: Arab","ONS 18+1","Voluntary agency","3.9","69"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Social services","2.9","7239"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White: Irish","ONS 18+1","Social services","2.8","51"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White: Other","ONS 18+1","Social services","1.8","224"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Social services","3.4","154"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed: White & Black African","ONS 18+1","Social services","3.3","52"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed: White & Asian","ONS 18+1","Social services","3.2","37"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed: Other","ONS 18+1","Social services","3","65"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Indian","ONS 18+1","Social services","4.4","105"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Social services","2.5","120"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Social services","2.5","71"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Other","ONS 18+1","Social services","3.6","139"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Social services","3.5","267"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Social services","2.3","274"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Social services","2.8","83"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Social services","3.6","17"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Other Ethnic group: Other","ONS 18+1","Social services","3.1","138"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Social services","3.3","14"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Other Ethnic group: Arab","ONS 18+1","Social services","4.6","81"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Other social landlord","0.4","1124"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White: Irish","ONS 18+1","Other social landlord","1","18"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White: Other","ONS 18+1","Other social landlord","0.4","52"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Other social landlord","0.9","40"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed: White & Black African","ONS 18+1","Other social landlord","0.4","6"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed: White & Asian","ONS 18+1","Other social landlord","0.9","10"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed: Other","ONS 18+1","Other social landlord","0.8","17"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Indian","ONS 18+1","Other social landlord","0.2","6"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Other social landlord","0.5","25"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Other social landlord","0.5","14"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Other","ONS 18+1","Other social landlord","0.6","23"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Other social landlord","1","77"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Other social landlord","0.7","79"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Other social landlord","0.5","13"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Other social landlord","0.6","3"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Other Ethnic group: Other","ONS 18+1","Other social landlord","0.5","22"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Other social landlord","0.5","2"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Other Ethnic group: Arab","ONS 18+1","Other social landlord","0.5","8"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Police, probation, prison","0.9","2164"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White: Irish","ONS 18+1","Police, probation, prison","1.7","30"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White: Other","ONS 18+1","Police, probation, prison","0.4","47"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Police, probation, prison","1.8","81"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed: White & Black African","ONS 18+1","Police, probation, prison","0.5","7"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed: White & Asian","ONS 18+1","Police, probation, prison","1.4","16"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed: Other","ONS 18+1","Police, probation, prison","1.1","25"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Indian","ONS 18+1","Police, probation, prison","1.1","26"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Police, probation, prison","1.8","84"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Police, probation, prison","0.6","18"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Other","ONS 18+1","Police, probation, prison","0.5","18"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Police, probation, prison","1.6","118"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Police, probation, prison","0.5","63"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Police, probation, prison","0.8","23"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Police, probation, prison","0.5","2"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Other Ethnic group: Other","ONS 18+1","Police, probation, prison","0.8","36"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Police, probation, prison","1.7","7"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Other Ethnic group: Arab","ONS 18+1","Police, probation, prison","0.1","1"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Other","5.6","14040"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White: Irish","ONS 18+1","Other","11.6","207"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White: Other","ONS 18+1","Other","5","624"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Other","9.6","434"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed: White & Black African","ONS 18+1","Other","9","141"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed: White & Asian","ONS 18+1","Other","8.5","99"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed: Other","ONS 18+1","Other","7.5","165"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Indian","ONS 18+1","Other","9","212"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Other","8","380"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Other","5.2","148"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Other","ONS 18+1","Other","7.9","304"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Other","11","826"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Other","9.2","1108"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Other","9.3","273"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Other","7.9","38"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Other Ethnic group: Other","ONS 18+1","Other","8.6","379"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Other","7.4","32"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Other Ethnic group: Arab","ONS 18+1","Other","14.3","252"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian","ONS 5+1 2011","Internal transfer","10.1","1451"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian","ONS 5+1 2011","Nominated by local housing authority","27","3870"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian","ONS 5+1 2011","Other","7.6","1082"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian","ONS 5+1 2011","Other social landlord","0.5","71"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian","ONS 5+1 2011","Police, probation, prison","1","148"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian","ONS 5+1 2011","Referred by local authority housing department","4.2","607"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian","ONS 5+1 2011","Social services","3.2","453"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian","ONS 5+1 2011","Tenant applied direct","43.4","6217"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian","ONS 5+1 2011","Voluntary agency","2.9","414"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black","ONS 5+1 2011","Internal transfer","13.5","3044"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black","ONS 5+1 2011","Nominated by local housing authority","23.4","5276"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black","ONS 5+1 2011","Other","9.8","2206"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black","ONS 5+1 2011","Other social landlord","0.8","169"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black","ONS 5+1 2011","Police, probation, prison","0.9","203"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black","ONS 5+1 2011","Referred by local authority housing department","5.8","1314"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black","ONS 5+1 2011","Social services","2.8","624"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black","ONS 5+1 2011","Tenant applied direct","40.2","9059"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black","ONS 5+1 2011","Voluntary agency","2.8","634"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed","ONS 5+1 2011","Internal transfer","10.6","998"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed","ONS 5+1 2011","Nominated by local housing authority","26.1","2456"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed","ONS 5+1 2011","Other","8.9","838"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed","ONS 5+1 2011","Other social landlord","0.8","74"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed","ONS 5+1 2011","Police, probation, prison","1.4","130"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed","ONS 5+1 2011","Referred by local authority housing department","7","657"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed","ONS 5+1 2011","Social services","3.3","308"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed","ONS 5+1 2011","Tenant applied direct","39.2","3691"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed","ONS 5+1 2011","Voluntary agency","2.8","267"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Other","ONS 5+1 2011","Internal transfer","9.4","576"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Other","ONS 5+1 2011","Nominated by local housing authority","20.9","1287"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Other","ONS 5+1 2011","Other","10.3","631"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Other","ONS 5+1 2011","Other social landlord","0.5","30"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Other","ONS 5+1 2011","Police, probation, prison","0.6","37"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Other","ONS 5+1 2011","Referred by local authority housing department","4.6","283"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Other","ONS 5+1 2011","Social services","3.5","218"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Other","ONS 5+1 2011","Tenant applied direct","47.2","2906"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Other","ONS 5+1 2011","Voluntary agency","3","185"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White","ONS 5+1 2011","Internal transfer","13.1","34701"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White","ONS 5+1 2011","Nominated by local housing authority","24.9","66237"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White","ONS 5+1 2011","Other","5.6","14903"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White","ONS 5+1 2011","Other social landlord","0.5","1196"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White","ONS 5+1 2011","Police, probation, prison","0.8","2248"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White","ONS 5+1 2011","Referred by local authority housing department","4.8","12677"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White","ONS 5+1 2011","Social services","2.8","7528"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White","ONS 5+1 2011","Tenant applied direct","46.2","122875"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White","ONS 5+1 2011","Voluntary agency","1.3","3370"
"Percentage of new lettings by source of referral","2016/17","Financial Year","All","All","Internal transfer","12.8","40770"
"Percentage of new lettings by source of referral","2016/17","Financial Year","All","All","Nominated by local housing authority","24.9","79126"
"Percentage of new lettings by source of referral","2016/17","Financial Year","All","All","Other","6.2","19660"
"Percentage of new lettings by source of referral","2016/17","Financial Year","All","All","Other social landlord","0.5","1540"
"Percentage of new lettings by source of referral","2016/17","Financial Year","All","All","Police, probation, prison","0.9","2767"
"Percentage of new lettings by source of referral","2016/17","Financial Year","All","All","Referred by local authority housing department","4.9","15538"
"Percentage of new lettings by source of referral","2016/17","Financial Year","All","All","Social services","2.9","9131"
"Percentage of new lettings by source of referral","2016/17","Financial Year","All","All","Tenant applied direct","45.5","144748"
"Percentage of new lettings by source of referral","2016/17","Financial Year","All","All","Voluntary agency","1.5","4870"
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Internal transfer","13.7","38262"
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Irish","ONS 18+1","Internal transfer","17.6","359"
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Other","ONS 18+1","Internal transfer","8.5","1272"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Internal transfer","11.3","574"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Black African","ONS 18+1","Internal transfer","12","210"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Asian","ONS 18+1","Internal transfer","10.5","134"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: Other","ONS 18+1","Internal transfer","8.8","221"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Indian","ONS 18+1","Internal transfer","9.9","267"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Internal transfer","8.4","422"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Internal transfer","13.4","445"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Other","ONS 18+1","Internal transfer","10.9","461"
