"Title","Stop and search by ethnicity"
"Location","England and Wales"
"Time period","2006/07 to 2015/16"
"Data source","Policing statistics https://www.gov.uk/government/statistics/police-powers-and-procedures-england-and-wales-year-ending-31-march-2015-data-tables"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measures","Time","Time_type","Ethnicity","Ethnicity_type"," Value  "," Total number of stop and search carried out in this year in this area (excluding cases where the ethnicity was unreported) ","Population by ethnicity","Value2"
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Any other White background","ONS 2001 16+1","87,342","1,211,762","2,543,622","34.3"
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Any other Asian","ONS 2001 16+1","39,586","1,211,762","835,720","47.4"
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Any other Black background","ONS 2001 16+1","56,591","1,211,762","280,437","201.8"
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Any other ethnic group","ONS 2001 16+1","14,721","1,211,762","563,696","26.1"
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","11,158","1,211,762","289,984","38.5"
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Bangladeshi","ONS 2001 16+1","28,416","1,211,762","447,201","63.5"
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Black African","ONS 2001 16+1","67,970","1,211,762","989,628","68.7"
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Black Caribbean","ONS 2001 16+1","81,547","1,211,762","594,825","137.1"
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Chinese","ONS 2001 16+1","2,989","1,211,762","393,141","7.6"
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Indian","ONS 2001 16+1","28,578","1,211,762","1,412,958","20.2"
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Mixed White and Asian","ONS 2001 16+1","3,112","1,211,762","341,727","9.1"
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Mixed White and Black African","ONS 2001 16+1","3,811","1,211,762","165,974","23.0"
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","18,474","1,211,762","426,715","43.3"
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Pakistani","ONS 2001 16+1","40,500","1,211,762","1,124,511","36.0"
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","White British","ONS 2001 16+1","675,342","1,121,123","45,134,686","15.0"
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","White Irish","ONS 2001 16+1","9,192","1,121,123","531,087","17.3"
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other White background","ONS 2001 16+1","87,523","1,121,123","2,543,622","34.4"
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other Asian","ONS 2001 16+1","36,657","1,121,123","835,720","43.9"
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other Black background","ONS 2001 16+1","52,071","1,121,123","280,437","185.7"
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other ethnic group","ONS 2001 16+1","13,324","1,121,123","563,696","23.6"
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","12,045","1,121,123","289,984","41.5"
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Bangladeshi","ONS 2001 16+1","24,618","1,121,123","447,201","55.1"
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Black African","ONS 2001 16+1","58,288","1,121,123","989,628","58.9"
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Black Caribbean","ONS 2001 16+1","65,729","1,121,123","594,825","110.5"
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Chinese","ONS 2001 16+1","2,135","1,121,123","393,141","5.4"
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Indian","ONS 2001 16+1","23,666","1,121,123","1,412,958","16.8"
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed White and Asian","ONS 2001 16+1","2,935","1,121,123","341,727","8.6"
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed White and Black African","ONS 2001 16+1","3,484","1,121,123","165,974","21.0"
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","16,171","1,121,123","426,715","37.9"
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Pakistani","ONS 2001 16+1","37,943","1,121,123","1,124,511","33.7"
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","White British","ONS 2001 16+1","615,997","954,314","45,134,686","13.7"
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","White Irish","ONS 2001 16+1","8,121","954,314","531,087","15.3"
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Any other White background","ONS 2001 16+1","77,477","954,314","2,543,622","30.5"
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Any other Asian","ONS 2001 16+1","27,421","954,314","835,720","32.8"
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Any other Black background","ONS 2001 16+1","37,665","954,314","280,437","134.3"
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Any other ethnic group","ONS 2001 16+1","10,295","954,314","563,696","18.3"
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","9,845","954,314","289,984","34.0"
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Bangladeshi","ONS 2001 16+1","16,252","954,314","447,201","36.3"
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Black African","ONS 2001 16+1","39,268","954,314","989,628","39.7"
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Black Caribbean","ONS 2001 16+1","43,699","954,314","594,825","73.5"
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Chinese","ONS 2001 16+1","1,895","954,314","393,141","4.8"
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Indian","ONS 2001 16+1","16,571","954,314","1,412,958","11.7"
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Mixed White and Asian","ONS 2001 16+1","2,400","954,314","341,727","7.0"
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Mixed White and Black African","ONS 2001 16+1","2,785","954,314","165,974","16.8"
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","13,307","954,314","426,715","31.2"
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Pakistani","ONS 2001 16+1","31,316","954,314","1,124,511","27.9"
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","White British","ONS 2001 16+1","557,784","841,399","45,134,686","12.4"
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","White Irish","ONS 2001 16+1","7,054","841,399","531,087","13.3"
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Any other White background","ONS 2001 16+1","67,982","841,399","2,543,622","26.7"
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Any other Asian","ONS 2001 16+1","22,841","841,399","835,720","27.3"
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Any other Black background","ONS 2001 16+1","32,428","841,399","280,437","115.6"
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Any other ethnic group","ONS 2001 16+1","9,306","841,399","563,696","16.5"
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","7,853","841,399","289,984","27.1"
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Bangladeshi","ONS 2001 16+1","13,523","841,399","447,201","30.2"
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Black African","ONS 2001 16+1","33,189","841,399","989,628","33.5"
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Black Caribbean","ONS 2001 16+1","34,609","841,399","594,825","58.2"
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Chinese","ONS 2001 16+1","2,176","841,399","393,141","5.5"
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Indian","ONS 2001 16+1","11,687","841,399","1,412,958","8.3"
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Mixed White and Asian","ONS 2001 16+1","2,425","841,399","341,727","7.1"
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Mixed White and Black African","ONS 2001 16+1","2,478","841,399","165,974","14.9"
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","11,294","841,399","426,715","26.5"
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Pakistani","ONS 2001 16+1","24,770","841,399","1,124,511","22.0"
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","White British","ONS 2001 16+1","326,264","498,721","45,134,686","7.2"
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","White Irish","ONS 2001 16+1","4,059","498,721","531,087","7.6"
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Any other White background","ONS 2001 16+1","41,267","498,721","2,543,622","16.2"
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Any other Asian","ONS 2001 16+1","13,384","498,721","835,720","16.0"
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Any other Black background","ONS 2001 16+1","20,670","498,721","280,437","73.7"
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Any other ethnic group","ONS 2001 16+1","5,957","498,721","563,696","10.6"
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","5,097","498,721","289,984","17.6"
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Bangladeshi","ONS 2001 16+1","6,962","498,721","447,201","15.6"
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Black African","ONS 2001 16+1","21,159","498,721","989,628","21.4"
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Black Caribbean","ONS 2001 16+1","21,063","498,721","594,825","35.4"
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Chinese","ONS 2001 16+1","1,364","498,721","393,141","3.5"
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Indian","ONS 2001 16+1","7,082","498,721","1,412,958","5.0"
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Mixed White and Asian","ONS 2001 16+1","1,413","498,721","341,727","4.1"
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Mixed White and Black African","ONS 2001 16+1","1,557","498,721","165,974","9.4"
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","6,993","498,721","426,715","16.4"
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Pakistani","ONS 2001 16+1","14,430","498,721","1,124,511","12.8"
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","White British","ONS 2001 16+1","195,572","344,015","45,134,686","4.3"
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","White Irish","ONS 2001 16+1","3,271","344,015","531,087","6.2"
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Any other White background","ONS 2001 16+1","33,663","344,015","2,543,622","13.2"
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Any other Asian","ONS 2001 16+1","11,429","344,015","835,720","13.7"
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Any other Black background","ONS 2001 16+1","19,777","344,015","280,437","70.5"
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Any other ethnic group","ONS 2001 16+1","4,857","344,015","563,696","8.6"
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","4,423","344,015","289,984","15.3"
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Bangladeshi","ONS 2001 16+1","7,106","344,015","447,201","15.9"
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Black African","ONS 2001 16+1","19,917","344,015","989,628","20.1"
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Black Caribbean","ONS 2001 16+1","18,507","344,015","594,825","31.1"
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Chinese","ONS 2001 16+1","634","344,015","393,141","1.6"
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Indian","ONS 2001 16+1","5,690","344,015","1,412,958","4.0"
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Mixed White and Asian","ONS 2001 16+1","1,142","344,015","341,727","3.3"
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Mixed White and Black African","ONS 2001 16+1","1,328","344,015","165,974","8.0"
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","5,467","344,015","426,715","12.8"
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Pakistani","ONS 2001 16+1","11,232","344,015","1,124,511","10.0"
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White","ONS 2001 5+1","","","","14.0"
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Asian","ONS 2001 5+1","","","","18.8"
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Black","ONS 2001 5+1","","","","64.7"
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Other","ONS 2001 5+1","","","","10.0"
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed","ONS 2001 5+1","","","","19.2"
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","White","ONS 2001 5+1","","","","15.5"
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Asian","ONS 2001 5+1","","","","22.9"
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Black","ONS 2001 5+1","","","","77.8"
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Other","ONS 2001 5+1","","","","14.2"
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed","ONS 2001 5+1","","","","22.7"
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","White","ONS 2001 5+1","","","","17.3"
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Asian","ONS 2001 5+1","","","","31.8"
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Black","ONS 2001 5+1","","","","116.0"
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Other","ONS 2001 5+1","","","","17.5"
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Mixed","ONS 2001 5+1","","","","30.9"
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","White","ONS 2001 5+1","","","","16.9"
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Asian","ONS 2001 5+1","","","","33.7"
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Black","ONS 2001 5+1","","","","110.0"
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Other","ONS 2001 5+1","","","","16.1"
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Mixed","ONS 2001 5+1","","","","32.0"
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","White","ONS 2001 5+1","","","","16.9"
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Asian","ONS 2001 5+1","","","","35.9"
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Black","ONS 2001 5+1","","","","110.5"
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Other","ONS 2001 5+1","","","","18.5"
