"Title","Attainment of development goals by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Early years foundation stage profile results: 2015 to 2016"
"Data source link","https://www.gov.uk/government/statistics/early-years-foundation-stage-profile-results-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"","All","Asian","Black","Chinese","Mixed","White"
"Hertfordshire","68","63","63","77","68","69"
"Hillingdon","68","72","66","57","72","68"
"Hounslow","67","68","61","73","80","68"
"Isle of Wight","71","-","-","-","77","71"
"Isles of Scilly","-","-","-","-","-","-"
"Islington","64","68","58","-","63","69"
"Kensington and Chelsea","62","68","51","-","60","69"
"Kent","74","73","77","59","77","74"
"Kingston Upon Hull, City of","60","59","40","-","58","61"
"Kingston upon Thames","75","68","63","85","76","76"
"Kirklees","65","59","57","73","66","68"
"Knowsley","65","71","45","100","63","65"
"Lambeth","67","63","64","64","71","70"
"Lancashire","67","58","69","52","66","69"
"Leeds","60","53","56","56","59","62"
"Leicester","58","62","55","56","59","56"
"Leicestershire","66","70","59","73","68","66"
"Lewisham","78","75","76","74","78","83"
"Lincolnshire","69","74","-","82","67","69"
"Liverpool","58","54","54","45","55","60"
"Luton","63","63","68","58","66","63"
"Manchester","60","56","64","63","63","63"
"Medway","71","72","76","73","71","72"
"Merton","70","72","69","64","77","70"
"Middlesbrough","57","58","81","-","61","59"
"Milton Keynes","70","73","66","81","73","69"
"Newcastle upon Tyne","68","66","57","62","71","70"
"Newham","70","73","70","69","75","68"
"Norfolk","67","61","65","50","66","67"
"North East Lincolnshire","68","56","-","-","64","68"
"North Lincolnshire","73","68","63","-","83","74"
"North Somerset","73","59","64","-","74","73"
"North Tyneside","68","56","50","70","71","69"
"North Yorkshire","67","61","45","-","72","68"
"Northamptonshire","66","59","61","62","67","67"
"Northumberland","72","63","-","57","76","72"
"Nottingham","62","64","62","-","61","63"
"Nottinghamshire","64","62","71","61","64","65"
"Oldham","57","44","49","-","65","65"
"Oxfordshire","69","56","63","75","70","71"
"Peterborough","61","56","69","57","61","62"
"Plymouth","63","72","54","73","67","63"
"Poole","71","77","58","-","71","72"
"Portsmouth","69","62","77","75","72","70"
"Reading","69","69","73","64","66","71"
"Redbridge","70","73","63","88","70","67"
"Redcar and Cleveland","65","71","-","-","63","65"
"Richmond upon Thames","77","75","63","68","80","78"
"Rochdale","59","55","60","42","59","61"
"Rotherham","69","67","52","53","70","70"
"Rutland","69","-","43","-","67","70"
"Salford","62","68","67","57","63","65"
"Sandwell","57","57","61","75","63","58"
"Sefton","68","72","50","-","66","69"
"Sheffield","68","65","67","69","67","69"
"Shropshire","68","77","56","-","67","69"
"Slough","68","72","61","-","70","62"
"Solihull","69","69","63","67","71","69"
"Somerset","68","62","-","75","73","68"
"South Gloucestershire","75","72","76","-","75","76"
"South Tyneside","66","57","60","-","62","67"
"Southampton","68","73","69","80","67","69"
"Southend-on-Sea","70","66","73","63","72","71"
"Southwark","70","71","68","71","70","74"
"St. Helens","64","43","-","100","57","64"
"Staffordshire","72","65","70","67","77","73"
"Stockport","67","61","71","-","63","69"
"Stockton-on-Tees","63","52","59","-","62","64"
"Stoke-on-Trent","61","51","67","61","70","63"
"Suffolk","68","64","70","-","67","70"
"Sunderland","67","52","83","47","75","68"
"Surrey","75","73","67","78","77","76"
"Sutton","68","70","68","64","64","69"
"Swindon","67","66","75","75","70","68"
"Tameside","61","54","56","50","63","62"
"Telford and Wrekin","67","-","-","-","-","-"
"Thurrock","74","76","75","-","75","74"
"Torbay","68","55","-","-","68","69"
"Tower Hamlets","64","64","66","72","68","62"
"Trafford","72","68","59","67","67","76"
"Wakefield","63","62","53","56","58","64"
"Walsall","61","60","63","60","63","62"
"Waltham Forest","70","70","66","67","74","73"
"Wandsworth","72","66","68","63","71","76"
"Warrington","71","64","70","100","67","71"
"Warwickshire","69","70","67","79","71","69"
"West Berkshire","75","71","67","100","80","75"
"West Sussex","67","60","53","72","68","68"
"Westminster","68","70","66","81","74","73"
"Wigan","62","51","61","28","69","64"
"Wiltshire","70","65","68","40","67","70"
"Windsor and Maidenhead","73","73","58","-","73","75"
"Wirral","68","67","77","60","72","68"
"Wokingham","74","77","77","63","71","75"
"Wolverhampton","57","61","63","45","56","56"
"Worcestershire","67","63","52","54","70","68"
"York","73","63","-","44","60","74"
