"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Geography_name","Gender","Gender_type","Value","Denominator","Value Note","Geography name"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E92000001","ONS geography code","England","Male","Male/Female/All","60","342947","","Country"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E13000001","ONS geography code","Inner London","Female","Male/Female/All","76","18240","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E10000016","ONS geography code","Kent","All","Male/Female/All","74","18224","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Black","White/Black/Asian/Mixed/Chinese/All","E12000007","ONS geography code","London","All","Male/Female/All","68","17370","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E10000012","ONS geography code","Essex","All","Male/Female/All","70","17058","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E08000025","ONS geography code","Birmingham","All","Male/Female/All","61","16533","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E10000014","ONS geography code","Hampshire","All","Male/Female/All","74","15844","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E12000001","ONS geography code","North East","Male","Male/Female/All","59","15830","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E92000001","ONS geography code","England","Male","Male/Female/All","61","240962","","Country"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E10000016","ONS geography code","Kent","All","Male/Female/All","74","15391","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E13000002","ONS geography code","Outer London","Male","Male/Female/All","64","15360","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E92000001","ONS geography code","England","Male","Male/Female/All","57","31669","","Country"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E10000015","ONS geography code","Hertfordshire","All","Male/Female/All","68","15098","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E12000001","ONS geography code","North East","Female","Male/Female/All","75","14990","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E10000012","ONS geography code","Essex","All","Male/Female/All","71","14412","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E13000002","ONS geography code","Outer London","Female","Male/Female/All","79","14370","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E10000017","ONS geography code","Lancashire","All","Male/Female/All","67","14298","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E10000030","ONS geography code","Surrey","All","Male/Female/All","75","14098","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E10000014","ONS geography code","Hampshire","All","Male/Female/All","74","13923","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E12000001","ONS geography code","North East","Male","Male/Female/All","59","13710","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E13000002","ONS geography code","Outer London","All","Male/Female/All","72","13553","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E12000001","ONS geography code","North East","Female","Male/Female/All","76","12950","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E13000001","ONS geography code","Inner London","All","Male/Female/All","72","11890","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E10000015","ONS geography code","Hertfordshire","All","Male/Female/All","69","11789","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E10000017","ONS geography code","Lancashire","All","Male/Female/All","69","11764","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E10000030","ONS geography code","Surrey","All","Male/Female/All","76","10781","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E12000007","ONS geography code","London","All","Male/Female/All","73","10680","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E12000007","ONS geography code","London","Male","Male/Female/All","64","10182","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E08000035","ONS geography code","Leeds","All","Male/Female/All","60","10053","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E12000007","ONS geography code","London","Female","Male/Female/All","78","9751","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E10000032","ONS geography code","West Sussex","All","Male/Female/All","67","9729","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E10000021","ONS geography code","Northamptonshire","All","Male/Female/All","66","9675","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E10000024","ONS geography code","Nottinghamshire","All","Male/Female/All","64","9674","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E10000028","ONS geography code","Staffordshire","All","Male/Female/All","72","9621","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E10000020","ONS geography code","Norfolk","All","Male/Female/All","67","9505","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E10000016","ONS geography code","Kent","Male","Male/Female/All","67","9438","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Black","White/Black/Asian/Mixed/Chinese/All","E13000002","ONS geography code","Outer London","All","Male/Female/All","68","9280","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E10000012","ONS geography code","Essex","Male","Male/Female/All","63","8795","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E10000016","ONS geography code","Kent","Female","Male/Female/All","82","8786","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E10000007","ONS geography code","Derbyshire","All","Male/Female/All","68","8784","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Black","White/Black/Asian/Mixed/Chinese/All","E12000007","ONS geography code","London","Male","Male/Female/All","60","8710","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Black","White/Black/Asian/Mixed/Chinese/All","E12000007","ONS geography code","London","Female","Male/Female/All","76","8660","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E10000024","ONS geography code","Nottinghamshire","All","Male/Female/All","65","8505","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E08000025","ONS geography code","Birmingham","Male","Male/Female/All","53","8499","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E10000020","ONS geography code","Norfolk","All","Male/Female/All","67","8425","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E10000028","ONS geography code","Staffordshire","All","Male/Female/All","73","8419","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E10000029","ONS geography code","Suffolk","All","Male/Female/All","68","8282","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E10000012","ONS geography code","Essex","Female","Male/Female/All","78","8263","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E10000019","ONS geography code","Lincolnshire","All","Male/Female/All","69","8253","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E12000002","ONS geography code","North West","All","Male/Female/All","57","8235","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E10000025","ONS geography code","Oxfordshire","All","Male/Female/All","69","8194","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E10000014","ONS geography code","Hampshire","Male","Male/Female/All","68","8135","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E10000032","ONS geography code","West Sussex","All","Male/Female/All","68","8132","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Black","White/Black/Asian/Mixed/Chinese/All","E13000001","ONS geography code","Inner London","All","Male/Female/All","68","8090","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E10000008","ONS geography code","Devon","All","Male/Female/All","71","8052","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E08000025","ONS geography code","Birmingham","Female","Male/Female/All","68","8034","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E10000016","ONS geography code","Kent","Male","Male/Female/All","67","7993","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E10000007","ONS geography code","Derbyshire","All","Male/Female/All","68","7979","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E08000032","ONS geography code","Bradford","All","Male/Female/All","63","7975","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E10000018","ONS geography code","Leicestershire","All","Male/Female/All","66","7917","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E10000015","ONS geography code","Hertfordshire","Male","Male/Female/All","61","7719","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E10000014","ONS geography code","Hampshire","Female","Male/Female/All","81","7709","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E12000003","ONS geography code","Yorkshire and the Humber","All","Male/Female/All","60","7593","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E10000003","ONS geography code","Cambridgeshire","All","Male/Female/All","67","7573","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E10000021","ONS geography code","Northamptonshire","All","Male/Female/All","67","7561","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E10000012","ONS geography code","Essex","Male","Male/Female/All","64","7466","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E12000005","ONS geography code","West Midlands","All","Male/Female/All","61","7456","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E10000016","ONS geography code","Kent","Female","Male/Female/All","82","7398","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E10000017","ONS geography code","Lancashire","Male","Male/Female/All","60","7392","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E10000015","ONS geography code","Hertfordshire","Female","Male/Female/All","76","7379","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E12000008","ONS geography code","South East","All","Male/Female/All","68","7294","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E10000030","ONS geography code","Surrey","Male","Male/Female/All","68","7263","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E10000019","ONS geography code","Lincolnshire","All","Male/Female/All","69","7248","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E08000003","ONS geography code","Manchester","All","Male/Female/All","60","7185","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E10000014","ONS geography code","Hampshire","Male","Male/Female/All","68","7156","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E10000029","ONS geography code","Suffolk","All","Male/Female/All","70","7037","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E10000008","ONS geography code","Devon","All","Male/Female/All","72","7003","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E10000013","ONS geography code","Gloucestershire","All","Male/Female/All","65","6994","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E13000002","ONS geography code","Outer London","Male","Male/Female/All","65","6976","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E10000012","ONS geography code","Essex","Female","Male/Female/All","79","6946","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E10000017","ONS geography code","Lancashire","Female","Male/Female/All","75","6906","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E10000030","ONS geography code","Surrey","Female","Male/Female/All","83","6835","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E10000014","ONS geography code","Hampshire","Female","Male/Female/All","81","6767","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E08000035","ONS geography code","Leeds","All","Male/Female/All","62","6694","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E10000031","ONS geography code","Warwickshire","All","Male/Female/All","69","6627","","Local authority"
