"Title","Absence from school"
"Location","England"
"Time period","2016/17"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/collections/statistics-pupil-absence"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-09"
"Measures","Time","Time_type","Ethnicity","Ethnicity_type","Geography","school_type","Value","Denominator","Numerator"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Camden","Secondary","6.1","517274","31534"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Camden","Secondary","4.6","642227","29519"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Camden","Secondary","2.8","14395","405"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Camden","Secondary","5.6","204802","11395"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Camden","Secondary","5.6","70809","3933"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Camden","Special","17.3","28628","4939"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Camden","Special","7.2","8068","583"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Camden","Special","12.1","18586","2244"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Camden","Special","9.4","24627","2325"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Camden","Special","20.2","1350","273"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Camden","Special","8.6","4294","371"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Camden","Special","5.8","1593","93"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Greenwich","Total","5.4","5412597","293841"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Greenwich","Total","4.8","1287953","62091"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Greenwich","Total","4.1","997965","40639"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Greenwich","Total","2.8","4009198","113070"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Greenwich","Total","2.5","151439","3810"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Greenwich","Total","3.7","306415","11282"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Greenwich","Total","5.1","107335","5421"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Greenwich","Primary","4.6","3298981","152681"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Greenwich","Primary","4.2","819554","34189"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Greenwich","Primary","3.9","651064","25414"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Greenwich","Primary","2.5","2481637","61495"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Greenwich","Primary","2.4","109527","2648"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Greenwich","Primary","3.7","180813","6670"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Greenwich","Primary","4.1","54493","2229"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Greenwich","Secondary","6.5","2057561","134329"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Greenwich","Secondary","5.8","458201","26713"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Greenwich","Secondary","4.2","336996","14068"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Greenwich","Secondary","3.2","1476633","47568"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Greenwich","Secondary","2.7","41532","1121"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Greenwich","Secondary","3.6","122406","4394"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Greenwich","Secondary","5.7","50914","2902"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Greenwich","Special","12.2","56055","6831"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Greenwich","Special","11.7","10198","1189"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Greenwich","Special","11.7","9905","1157"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Greenwich","Special","7.9","50928","4007"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Greenwich","Special","x","x","x"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Greenwich","Special","6.8","3196","218"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Greenwich","Special","15","1928","290"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Hackney","Total","4.6","3473165","159606"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Hackney","Total","4.8","1049309","50011"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Hackney","Total","4.6","1203459","55606"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Hackney","Total","3.4","3610290","121729"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Hackney","Total","1.9","67943","1289"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Hackney","Total","4","609595","24409"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Hackney","Total","4.8","92429","4468"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Hackney","Primary","4.2","2093681","88003"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Hackney","Primary","4.4","675818","29651"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Hackney","Primary","4.5","702322","31733"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Hackney","Primary","3","2101705","62775"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Hackney","Primary","2.1","46683","960"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Hackney","Primary","3.8","356918","13610"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Hackney","Primary","4.5","31677","1436"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Hackney","Secondary","5.1","1354571","69599"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Hackney","Secondary","5.5","365365","19947"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Hackney","Secondary","4.7","483659","22589"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Hackney","Secondary","3.8","1460977","56080"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Hackney","Secondary","1.5","20886","321"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Hackney","Secondary","4.1","247097","10200"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Hackney","Secondary","5","59314","2953"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Hackney","Special","8","24913","2004"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Hackney","Special","5.1","8126","413"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Hackney","Special","7.3","17478","1284"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Hackney","Special","6","47608","2874"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Hackney","Special","x","x","x"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Hackney","Special","10.7","5580","599"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Hackney","Special","5.5","1438","79"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Hammersmith and Fulham","Total","4.7","2413048","114339"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Hammersmith and Fulham","Total","4.9","727973","35682"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Hammersmith and Fulham","Total","4.7","408168","19387"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Hammersmith and Fulham","Total","4.3","1406180","60253"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Hammersmith and Fulham","Total","2","19594","384"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Hammersmith and Fulham","Total","4.8","588921","27984"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Hammersmith and Fulham","Total","4.9","127422","6187"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Hammersmith and Fulham","Primary","4.1","1281433","52005"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Hammersmith and Fulham","Primary","4.5","432574","19255"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Hammersmith and Fulham","Primary","4.5","191273","8596"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Hammersmith and Fulham","Primary","3.7","782366","28583"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Hammersmith and Fulham","Primary","2.5","9288","229"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Hammersmith and Fulham","Primary","4.2","336535","14078"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Hammersmith and Fulham","Primary","5.2","54645","2835"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Hammersmith and Fulham","Secondary","5.3","1084796","57922"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Hammersmith and Fulham","Secondary","5.4","281773","15197"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Hammersmith and Fulham","Secondary","4.5","199901","9071"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Hammersmith and Fulham","Secondary","4.9","575580","28173"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Hammersmith and Fulham","Secondary","1.5","9550","139"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Hammersmith and Fulham","Secondary","5","225126","11341"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Hammersmith and Fulham","Secondary","4.4","67661","2989"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Hammersmith and Fulham","Special","9.4","46819","4412"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Hammersmith and Fulham","Special","9","13626","1230"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Hammersmith and Fulham","Special","10.1","16994","1720"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Hammersmith and Fulham","Special","7.3","48234","3497"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Hammersmith and Fulham","Special","x","x","x"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Hammersmith and Fulham","Special","9.4","27260","2565"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Hammersmith and Fulham","Special","7.1","5116","363"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Islington","Total","5.4","3112284","167290"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Islington","Total","5.2","1071297","55567"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Islington","Total","5","633299","31836"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Islington","Total","3.9","1778153","69665"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Islington","Total","2.2","30318","672"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Islington","Total","4.2","494987","20852"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Islington","Total","5","85207","4266"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Islington","Primary","4.4","2042977","89026"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Islington","Primary","4.6","706031","32289"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Islington","Primary","4.7","314499","14758"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Islington","Primary","3.5","1005748","34708"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Islington","Primary","1.8","19717","353"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Islington","Primary","4.1","253233","10315"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Islington","Primary","4.8","48995","2364"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Islington","Secondary","7.1","1023508","72827"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Islington","Secondary","6.3","348397","21928"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Islington","Secondary","5.2","306557","15828"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Islington","Secondary","4.4","731526","32131"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Islington","Secondary","2.7","10289","276"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Islington","Secondary","4.3","234330","10073"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Islington","Secondary","5.1","33884","1724"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Islington","Special","11.9","45799","5437"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Islington","Special","8","16869","1350"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Islington","Special","10.2","12243","1250"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Islington","Special","6.9","40879","2826"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Islington","Special","x","x","x"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Islington","Special","6.3","7424","464"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Islington","Special","7.6","2328","178"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Kensington and Chelsea","Total","4.8","1466252","70954"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Kensington and Chelsea","Total","5","641278","32374"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Kensington and Chelsea","Total","4.8","142990","6923"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Kensington and Chelsea","Total","3.9","684028","26471"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Kensington and Chelsea","Total","4.2","17310","733"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Kensington and Chelsea","Total","4.3","659562","28274"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Kensington and Chelsea","Total","6","141657","8545"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Kensington and Chelsea","Primary","4.3","848756","36532"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Kensington and Chelsea","Primary","4.5","408557","18297"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Kensington and Chelsea","Primary","4.4","79155","3519"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Kensington and Chelsea","Primary","3.5","401260","14087"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Kensington and Chelsea","Primary","4.5","9352","417"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Kensington and Chelsea","Primary","4","373357","14997"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Kensington and Chelsea","Primary","4.9","72546","3587"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Kensington and Chelsea","Secondary","5.6","601924","33459"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Kensington and Chelsea","Secondary","6","230785","13941"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Kensington and Chelsea","Secondary","5.3","63835","3404"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Kensington and Chelsea","Secondary","4.4","280290","12293"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Kensington and Chelsea","Secondary","4","7958","316"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Kensington and Chelsea","Secondary","4.6","285271","13226"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Kensington and Chelsea","Secondary","7.2","69111","4958"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Kensington and Chelsea","Special","6.2","15572","963"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Kensington and Chelsea","Special","7","1936","136"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Kensington and Chelsea","Special","3.7","2478","91"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Kensington and Chelsea","Special","5.5","934","51"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Lambeth","Total","4.5","3389295","152168"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Lambeth","Total","5.1","1523957","77664"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Lambeth","Total","4.9","497950","24581"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Lambeth","Total","4.1","4777877","196996"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Lambeth","Total","2.3","75589","1764"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Lambeth","Total","4.7","561242","26295"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Lambeth","Total","5.5","208282","11378"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Lambeth","Primary","3.9","2215468","87510"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Lambeth","Primary","4.4","949282","42201"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Lambeth","Primary","4.8","276732","13224"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Lambeth","Primary","3.6","2624038","94900"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Lambeth","Primary","2.3","39506","901"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Lambeth","Primary","4.4","324884","14181"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Lambeth","Primary","4.1","84305","3456"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Lambeth","Secondary","5.3","1140501","60290"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Lambeth","Secondary","5.9","560385","33193"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Lambeth","Secondary","5.1","217462","10990"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Lambeth","Secondary","4.5","2074849","94313"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Lambeth","Secondary","2.3","34643","804"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Lambeth","Secondary","5.1","234476","11914"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Lambeth","Secondary","6","117125","6996"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Lambeth","Special","13.1","33326","4368"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Lambeth","Special","15.9","14290","2270"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Lambeth","Special","9.8","3756","367"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Lambeth","Special","9.9","78990","7783"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Lambeth","Special","4.1","1440","59"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Lambeth","Special","10.6","1882","200"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Lambeth","Special","13.5","6852","926"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Lewisham","Total","5.1","4081514","208399"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Lewisham","Total","5","1806372","90836"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Lewisham","Total","4.3","772867","33425"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Lewisham","Total","3.8","4809864","180796"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Lewisham","Total","2","167722","3417"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Lewisham","Total","4.1","369215","15015"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Lewisham","Total","5.5","430955","23612"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Lewisham","Primary","4.2","2695419","113732"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Lewisham","Primary","4.5","1166352","51929"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Lewisham","Primary","4.2","497371","20922"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Lewisham","Primary","3.3","2747816","91544"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Lewisham","Primary","2","111415","2279"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Lewisham","Primary","3.7","219460","8195"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Lewisham","Primary","4.4","180959","8013"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Lewisham","Secondary","6.7","1329094","88857"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Lewisham","Secondary","5.9","618704","36649"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Lewisham","Secondary","4.3","262690","11419"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Lewisham","Secondary","4.1","1958687","80319"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Lewisham","Secondary","2","54356","1074"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Lewisham","Secondary","4.3","143538","6152"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Lewisham","Secondary","6.2","246383","15368"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Lewisham","Special","10.2","57001","5810"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Lewisham","Special","10.6","21316","2258"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Lewisham","Special","8.5","12806","1084"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Lewisham","Special","8.6","103361","8933"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Lewisham","Special","3.3","1951","64"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Lewisham","Special","10.7","6217","668"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Lewisham","Special","6.4","3613","231"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Southwark","Total","5","3599365","178742"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Southwark","Total","4.7","1399424","66400"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Southwark","Total","4.6","676302","30888"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Southwark","Total","3.1","5331406","164937"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Southwark","Total","2.6","153461","3934"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Southwark","Total","4.4","904806","39412"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Southwark","Total","4","257405","10372"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Southwark","Primary","4.4","2264211","99145"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Southwark","Primary","4.4","827558","36399"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Southwark","Primary","4.8","396197","18828"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Southwark","Primary","2.8","3117458","88829"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Southwark","Primary","2.4","100000","2433"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Southwark","Primary","4.5","530480","24074"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Southwark","Primary","3.9","143667","5569"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Southwark","Secondary","5.9","1305163","76888"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Southwark","Secondary","5.2","558988","28911"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Southwark","Secondary","4.2","274329","11441"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Southwark","Secondary","3.3","2133646","70962"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Southwark","Secondary","2.7","52337","1431"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Southwark","Secondary","4.1","368338","14974"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Southwark","Secondary","4.2","112632","4709"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Southwark","Special","9","29991","2709"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Southwark","Special","8.5","12878","1090"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Southwark","Special","10.7","5776","619"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Southwark","Special","6.4","80302","5146"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Southwark","Special","6.2","1124","70"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Southwark","Special","6.1","5988","364"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Southwark","Special","8.5","1106","94"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Tower Hamlets","Total","5.8","1726824","99396"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Tower Hamlets","Total","5.2","753677","39496"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Tower Hamlets","Total","4.1","8302803","341004"
