"","Asian","Black","Chinese","Mixed","White","Other"
"Derbyshire","4.4","3.3","2.9","4.7","4.5","4.4"
"Devon","4.7","3.0","2.3","5.5","5.6","5.8"
"Doncaster","4.3","4.3","2.8","4.5","4.9","5.0"
"Dorset","4.6","3.4","2.1","5.6","4.9","4.4"
"Dudley","4.1","2.7","1.8","4.3","4.8","4.5"
"Ealing","4.0","4.1","2.1","4.8","4.6","4.3"
"East Riding of Yorkshire","4.1","4.2","2.6","4.7","4.5","4.0"
"East Sussex","4.1","3.7","2.0","5.4","5.3","5.3"
"Enfield","4.5","3.9","2.1","4.9","5.2","4.6"
"Essex","3.8","2.7","2.3","4.6","4.6","3.9"
"Gateshead","4.7","2.1","2.0","3.9","4.6","4.2"
"Gloucestershire","4.2","3.7","3.0","5.3","4.7","5.1"
"Greenwich","4.1","2.8","2.5","4.8","5.4","3.7"
"Hackney","4.6","3.4","1.9","4.8","4.6","4.0"
"Halton","4.1","2.4","2.8","4.5","5.0","3.4"
"Hammersmith and Fulham","4.7","4.3","2.0","4.9","4.7","4.8"
"Hampshire","3.5","2.7","2.6","4.2","4.3","3.8"
"Haringey","4.9","4.0","1.8","5.0","4.7","4.5"
"Harrow","3.8","4.4","1.9","4.7","4.6","5.0"
"Hartlepool","5.0","2.7","2.5","4.4","5.2","4.8"
"Havering","4.5","2.9","2.3","5.1","5.1","4.4"
"Herefordshire, County of","4.2","4.6","3.9","3.7","4.5","4.4"
"Hertfordshire","4.4","3.0","2.6","4.7","4.5","4.2"
"Hillingdon","3.9","4.2","3.1","4.3","5.7","3.8"
"Hounslow","3.9","3.8","2.3","4.9","5.1","4.0"
"Isle of Wight","3.7","4.9","3.7","5.1","4.9","4.2"
"Isles of Scilly","!","!","!","2.3","4.8","!"
"Islington","5.0","3.9","2.2","5.2","5.4","4.2"
"Kensington and Chelsea","4.8","3.9","4.2","5.0","4.8","4.3"
"Kent","3.6","2.5","2.6","4.4","5.0","4.0"
"Kingston upon Hull, City of","4.6","2.6","1.3","4.5","5.2","4.4"
"Kingston upon Thames","4.0","4.0","2.1","4.3","4.1","3.5"
"Kirklees","5.1","3.6","1.9","5.3","4.3","4.7"
"Knowsley","3.2","3.0","1.2","6.1","5.8","4.4"
"Lambeth","4.9","4.1","2.3","5.1","4.5","4.7"
"Lancashire","4.7","3.3","2.3","4.5","4.2","5.0"
"Leeds","4.8","2.6","2.0","5.2","4.9","4.6"
"Leicester","4.1","3.6","2.1","5.9","6.0","4.7"
"Leicestershire","3.8","2.9","2.4","4.5","4.5","4.4"
"Lewisham","4.3","3.8","2.0","5.0","5.1","4.1"
"Lincolnshire","4.0","2.8","2.5","4.7","4.8","4.4"
"Liverpool","3.8","3.4","2.0","5.5","5.7","4.5"
"Luton","5.1","3.4","2.6","5.2","5.5","5.1"
"Manchester","4.4","2.7","1.7","5.3","5.4","4.1"
"Medway","3.9","2.5","2.1","4.6","4.9","3.7"
"Merton","4.0","3.2","2.0","4.5","4.5","3.7"
"Middlesbrough","4.5","2.7","2.5","5.5","5.9","4.7"
"Milton Keynes","4.5","2.8","2.6","4.6","4.8","4.3"
"Newcastle upon Tyne","4.5","2.5","2.3","4.1","5.3","4.1"
"Newham","4.3","3.3","2.1","5.1","5.7","4.1"
"Norfolk","4.2","3.1","2.4","4.9","4.9","4.4"
"North East Lincolnshire","4.9","3.6","2.7","5.0","4.7","3.8"
"North Lincolnshire","4.5","4.1","3.0","4.1","4.4","4.4"
"North Somerset","4.3","4.6","3.1","4.9","4.7","3.7"
"North Tyneside","4.9","2.5","2.4","4.4","4.6","5.4"
"North Yorkshire","4.4","3.3","3.2","4.3","4.7","4.2"
"Northamptonshire","4.1","3.0","2.3","4.8","4.7","4.2"
"Northumberland","4.3","2.7","3.0","5.0","4.7","5.3"
"Nottingham","4.4","3.1","1.9","5.4","5.4","5.1"
"Nottinghamshire","4.2","3.0","2.5","4.6","4.4","4.7"
"Oldham","4.9","2.3","2.2","5.6","5.3","7.9"
"Oxfordshire","5.0","3.6","2.5","5.1","4.6","4.1"
"Peterborough","4.7","2.7","1.8","4.8","4.8","4.1"
"Plymouth","4.2","2.6","3.2","5.0","4.9","5.1"
"Poole","4.2","3.2","2.7","4.6","4.4","3.9"
"Portsmouth","4.2","2.5","3.2","4.8","5.4","3.7"
"Reading","4.5","3.0","2.7","5.3","4.9","4.3"
"Redbridge","4.6","3.8","2.5","4.6","4.9","4.4"
"Redcar and Cleveland","4.3","2.7","0.9","4.8","5.0","5.2"
"Richmond upon Thames","4.0","4.1","2.3","4.0","3.9","4.2"
"Rochdale","4.5","2.3","1.9","4.9","4.9","4.7"
"Rotherham","5.2","2.7","2.2","5.7","5.3","4.2"
"Rutland","3.3","2.5","1.2","3.4","3.1","3.1"
"Salford","4.2","2.2","1.9","4.1","5.3","4.5"
"Sandwell","4.0","3.5","1.9","5.2","5.1","4.2"
"Sefton","3.7","3.3","3.0","4.9","4.9","4.6"
"Sheffield","5.0","3.6","1.9","5.7","5.3","4.7"
"Shropshire","4.1","4.1","2.5","4.6","4.5","4.5"
"Slough","4.3","3.1","2.0","4.4","4.9","4.1"
"Solihull","4.3","3.5","2.3","5.6","4.8","4.3"
"Somerset","4.2","3.4","2.7","5.0","4.9","5.2"
"South Gloucestershire","4.4","3.6","2.1","5.2","4.6","5.1"
"South Tyneside","4.2","2.6","2.1","4.8","5.0","4.2"
"Southampton","4.1","2.7","2.3","4.6","4.9","3.7"
"Southend-on-Sea","4.1","2.3","2.1","4.3","4.5","4.3"
"Southwark","4.6","3.1","2.6","4.7","5.0","4.4"
"St. Helens","3.3","3.5","2.2","4.4","4.7","4.7"
"Staffordshire","4.8","4.1","2.2","4.9","4.5","4.6"
"Stockport","5.2","3.5","2.5","5.0","4.8","5.6"
"Stockton-on-Tees","5.0","2.3","2.0","5.1","4.9","5.4"
"Stoke-on-Trent","4.6","2.7","2.2","5.5","5.0","5.8"
"Suffolk","4.5","3.5","2.1","4.8","4.6","4.2"
"Sunderland","4.1","2.7","2.4","4.7","5.0","3.8"
"Surrey","4.3","3.2","2.7","4.1","4.4","3.8"
"Sutton","3.7","3.1","2.3","4.4","4.8","4.0"
"Swindon","4.4","3.1","2.7","5.1","4.7","4.6"
"Tameside","4.3","2.3","2.2","4.5","4.7","3.6"
"Telford and Wrekin","4.1","2.3","2.3","4.6","4.6","4.2"
"Thurrock","3.8","2.1","1.7","4.1","4.9","3.4"
"Torbay","3.9","3.1","3.4","5.3","5.1","4.4"
"Tower Hamlets","4.1","3.2","2.0","5.2","5.8","3.5"
"Trafford","4.6","3.2","2.3","4.4","3.8","4.1"
"Wakefield","5.3","2.8","2.3","5.3","5.2","4.9"
"Walsall","4.1","3.1","1.7","5.4","5.1","4.8"
"Waltham Forest","5.1","4.1","2.1","5.1","5.2","4.4"
"Wandsworth","4.5","4.3","2.8","5.0","4.3","4.3"
"Warrington","4.7","2.8","3.0","4.5","4.3","4.9"
"Warwickshire","3.4","3.1","2.3","4.4","4.4","3.6"
"West Berkshire","4.6","3.7","2.4","4.6","4.1","4.5"
"West Sussex","4.7","3.8","2.7","4.7","4.6","4.6"
"Westminster","4.6","4.0","2.1","4.9","4.8","4.8"
"Wigan","4.6","2.5","2.5","4.4","4.6","4.7"
"Wiltshire","3.9","3.9","2.8","5.0","4.7","4.2"
"Windsor and Maidenhead","4.4","3.2","2.9","4.0","4.2","4.1"
"Wirral","4.2","3.4","2.2","5.0","5.1","4.2"
"Wokingham","4.3","3.4","2.6","4.4","4.1","4.9"
"Wolverhampton","3.7","3.3","2.9","5.4","5.0","5.7"
"Worcestershire","4.7","3.5","2.4","4.7","4.5","4.4"
"York","4.4","3.1","2.9","4.6","4.4","4.8"
