"Title","Self-inflicted deaths in prison custody"
"Location","England and Wales"
"Time period","2011 to 2015"
"Data source","Ministry of Justice"
"Data source link","https://www.gov.uk/government/statistics/noms-annual-offender-equalities-report-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-03-02"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Gender","Gender_type","Value","Numerator"
"Number of self inflicted deaths per 1000","2002","Year","Mixed","ONS 5+1 2001","Male","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2003","Year","Mixed","ONS 5+1 2001","Male","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2004","Year","Mixed","ONS 5+1 2001","Male","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2005","Year","Mixed","ONS 5+1 2001","Male","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2006","Year","Mixed","ONS 5+1 2001","Male","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2007","Year","Mixed","ONS 5+1 2001","Male","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2008","Year","Mixed","ONS 5+1 2001","Male","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2009","Year","Mixed","ONS 5+1 2001","Male","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2010","Year","Mixed","ONS 5+1 2001","Male","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2011","Year","Mixed","ONS 5+1 2001","Male","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2012","Year","Mixed","ONS 5+1 2001","Male","All/Male/Female","-","5"
"Number of self inflicted deaths per 1000","2013","Year","Mixed","ONS 5+1 2001","Male","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2014","Year","Mixed","ONS 5+1 2001","Male","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2015","Year","Mixed","ONS 5+1 2001","Male","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","1999","Year","Other","ONS 5+1 2001","Male","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2000","Year","Other","ONS 5+1 2001","Male","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2001","Year","Other","ONS 5+1 2001","Male","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2002","Year","Other","ONS 5+1 2001","Male","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2003","Year","Other","ONS 5+1 2001","Male","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2004","Year","Other","ONS 5+1 2001","Male","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2005","Year","Other","ONS 5+1 2001","Male","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2006","Year","Other","ONS 5+1 2001","Male","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2007","Year","Other","ONS 5+1 2001","Male","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2008","Year","Other","ONS 5+1 2001","Male","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2009","Year","Other","ONS 5+1 2001","Male","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2010","Year","Other","ONS 5+1 2001","Male","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2011","Year","Other","ONS 5+1 2001","Male","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2012","Year","Other","ONS 5+1 2001","Male","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2013","Year","Other","ONS 5+1 2001","Male","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2014","Year","Other","ONS 5+1 2001","Male","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2015","Year","Other","ONS 5+1 2001","Male","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","1999","Year","White","ONS 5+1 2001","Female","All/Male/Female","-","5"
"Number of self inflicted deaths per 1000","2000","Year","White","ONS 5+1 2001","Female","All/Male/Female","-","5"
"Number of self inflicted deaths per 1000","2001","Year","White","ONS 5+1 2001","Female","All/Male/Female","-","5"
"Number of self inflicted deaths per 1000","2002","Year","White","ONS 5+1 2001","Female","All/Male/Female","-","7"
"Number of self inflicted deaths per 1000","2003","Year","White","ONS 5+1 2001","Female","All/Male/Female","-","14"
"Number of self inflicted deaths per 1000","2004","Year","White","ONS 5+1 2001","Female","All/Male/Female","-","12"
"Number of self inflicted deaths per 1000","2005","Year","White","ONS 5+1 2001","Female","All/Male/Female","-","4"
"Number of self inflicted deaths per 1000","2006","Year","White","ONS 5+1 2001","Female","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","2007","Year","White","ONS 5+1 2001","Female","All/Male/Female","-","7"
"Number of self inflicted deaths per 1000","2008","Year","White","ONS 5+1 2001","Female","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2009","Year","White","ONS 5+1 2001","Female","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","2010","Year","White","ONS 5+1 2001","Female","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2011","Year","White","ONS 5+1 2001","Female","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2012","Year","White","ONS 5+1 2001","Female","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2013","Year","White","ONS 5+1 2001","Female","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2014","Year","White","ONS 5+1 2001","Female","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","2015","Year","White","ONS 5+1 2001","Female","All/Male/Female","-","4"
"Number of self inflicted deaths per 1000","1999","Year","Asian","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2000","Year","Asian","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2001","Year","Asian","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2002","Year","Asian","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2003","Year","Asian","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2004","Year","Asian","ONS 5+1 2001","Female","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2005","Year","Asian","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2006","Year","Asian","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2007","Year","Asian","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2008","Year","Asian","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2009","Year","Asian","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2010","Year","Asian","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2011","Year","Asian","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2012","Year","Asian","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2013","Year","Asian","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2014","Year","Asian","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2015","Year","Asian","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","1999","Year","Black","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2000","Year","Black","ONS 5+1 2001","Female","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","2001","Year","Black","ONS 5+1 2001","Female","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2002","Year","Black","ONS 5+1 2001","Female","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2003","Year","Black","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2004","Year","Black","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2005","Year","Black","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2006","Year","Black","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2007","Year","Black","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2008","Year","Black","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2009","Year","Black","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2010","Year","Black","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2011","Year","Black","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2012","Year","Black","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2013","Year","Black","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2014","Year","Black","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2015","Year","Black","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","1999","Year","Mixed","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2000","Year","Mixed","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2001","Year","Mixed","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2002","Year","Mixed","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2003","Year","Mixed","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2004","Year","Mixed","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2005","Year","Mixed","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2006","Year","Mixed","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2007","Year","Mixed","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2008","Year","Mixed","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2009","Year","Mixed","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2010","Year","Mixed","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2011","Year","Mixed","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2012","Year","Mixed","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2013","Year","Mixed","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2014","Year","Mixed","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2015","Year","Mixed","ONS 5+1 2001","Female","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","1999","Year","Other","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2000","Year","Other","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2001","Year","Other","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2002","Year","Other","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2003","Year","Other","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2004","Year","Other","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2005","Year","Other","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2006","Year","Other","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2007","Year","Other","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2008","Year","Other","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2009","Year","Other","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2010","Year","Other","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2011","Year","Other","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2012","Year","Other","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2013","Year","Other","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2014","Year","Other","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2015","Year","Other","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","1999","Year","Ethnic minorities","White/Ethnic minorities","All","All/Male/Female","-","10"
"Number of self inflicted deaths per 1000","2000","Year","Ethnic minorities","White/Ethnic minorities","All","All/Male/Female","-","9"
"Number of self inflicted deaths per 1000","2001","Year","Ethnic minorities","White/Ethnic minorities","All","All/Male/Female","-","7"
"Number of self inflicted deaths per 1000","2002","Year","Ethnic minorities","White/Ethnic minorities","All","All/Male/Female","-","10"
"Number of self inflicted deaths per 1000","2003","Year","Ethnic minorities","White/Ethnic minorities","All","All/Male/Female","-","9"
"Number of self inflicted deaths per 1000","2004","Year","Ethnic minorities","White/Ethnic minorities","All","All/Male/Female","-","11"
"Number of self inflicted deaths per 1000","2005","Year","Ethnic minorities","White/Ethnic minorities","All","All/Male/Female","-","17"
"Number of self inflicted deaths per 1000","2006","Year","Ethnic minorities","White/Ethnic minorities","All","All/Male/Female","-","9"
"Number of self inflicted deaths per 1000","2007","Year","Ethnic minorities","White/Ethnic minorities","All","All/Male/Female","-","19"
"Number of self inflicted deaths per 1000","2008","Year","Ethnic minorities","White/Ethnic minorities","All","All/Male/Female","-","11"
"Number of self inflicted deaths per 1000","2009","Year","Ethnic minorities","White/Ethnic minorities","All","All/Male/Female","-","5"
"Number of self inflicted deaths per 1000","2010","Year","Ethnic minorities","White/Ethnic minorities","All","All/Male/Female","-","7"
"Number of self inflicted deaths per 1000","2011","Year","Ethnic minorities","White/Ethnic minorities","All","All/Male/Female","0.3","7"
"Number of self inflicted deaths per 1000","2012","Year","Ethnic minorities","White/Ethnic minorities","All","All/Male/Female","0.6","12"
"Number of self inflicted deaths per 1000","2013","Year","Ethnic minorities","White/Ethnic minorities","All","All/Male/Female","0.7","16"
"Number of self inflicted deaths per 1000","2014","Year","Ethnic minorities","White/Ethnic minorities","All","All/Male/Female","0.4","9"
"Number of self inflicted deaths per 1000","2015","Year","Ethnic minorities","White/Ethnic minorities","All","All/Male/Female","0.5","12"
"Number of self inflicted deaths per 1000","1999","Year","Asian","ONS 5+1 2001","All","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","2000","Year","Asian","ONS 5+1 2001","All","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2001","Year","Asian","ONS 5+1 2001","All","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2002","Year","Asian","ONS 5+1 2001","All","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","2003","Year","Asian","ONS 5+1 2001","All","All/Male/Female","-","5"
"Number of self inflicted deaths per 1000","2004","Year","Asian","ONS 5+1 2001","All","All/Male/Female","-","5"
"Number of self inflicted deaths per 1000","2005","Year","Asian","ONS 5+1 2001","All","All/Male/Female","-","4"
"Number of self inflicted deaths per 1000","2006","Year","Asian","ONS 5+1 2001","All","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","2007","Year","Asian","ONS 5+1 2001","All","All/Male/Female","-","6"
"Number of self inflicted deaths per 1000","2008","Year","Asian","ONS 5+1 2001","All","All/Male/Female","-","7"
"Number of self inflicted deaths per 1000","2009","Year","Asian","ONS 5+1 2001","All","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","2010","Year","Asian","ONS 5+1 2001","All","All/Male/Female","-","4"
"Number of self inflicted deaths per 1000","2011","Year","Asian","ONS 5+1 2001","All","All/Male/Female","0.5","3"
"Number of self inflicted deaths per 1000","2012","Year","Asian","ONS 5+1 2001","All","All/Male/Female","0.5","3"
"Number of self inflicted deaths per 1000","2013","Year","Asian","ONS 5+1 2001","All","All/Male/Female","0.9","6"
"Number of self inflicted deaths per 1000","2014","Year","Asian","ONS 5+1 2001","All","All/Male/Female","0.5","3"
"Number of self inflicted deaths per 1000","2015","Year","Asian","ONS 5+1 2001","All","All/Male/Female","0.7","5"
"Number of self inflicted deaths per 1000","1999","Year","Black","ONS 5+1 2001","All","All/Male/Female","-","5"
"Number of self inflicted deaths per 1000","2000","Year","Black","ONS 5+1 2001","All","All/Male/Female","-","8"
"Number of self inflicted deaths per 1000","2001","Year","Black","ONS 5+1 2001","All","All/Male/Female","-","4"
"Number of self inflicted deaths per 1000","2002","Year","Black","ONS 5+1 2001","All","All/Male/Female","-","5"
"Number of self inflicted deaths per 1000","2003","Year","Black","ONS 5+1 2001","All","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","2004","Year","Black","ONS 5+1 2001","All","All/Male/Female","-","5"
"Number of self inflicted deaths per 1000","2005","Year","Black","ONS 5+1 2001","All","All/Male/Female","-","11"
"Number of self inflicted deaths per 1000","2006","Year","Black","ONS 5+1 2001","All","All/Male/Female","-","5"
"Number of self inflicted deaths per 1000","2007","Year","Black","ONS 5+1 2001","All","All/Male/Female","-","11"
"Number of self inflicted deaths per 1000","2008","Year","Black","ONS 5+1 2001","All","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2009","Year","Black","ONS 5+1 2001","All","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2010","Year","Black","ONS 5+1 2001","All","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2011","Year","Black","ONS 5+1 2001","All","All/Male/Female","0.2","2"
"Number of self inflicted deaths per 1000","2012","Year","Black","ONS 5+1 2001","All","All/Male/Female","0.4","4"
"Number of self inflicted deaths per 1000","2013","Year","Black","ONS 5+1 2001","All","All/Male/Female","0.7","8"
"Number of self inflicted deaths per 1000","2014","Year","Black","ONS 5+1 2001","All","All/Male/Female","0.4","4"
"Number of self inflicted deaths per 1000","2015","Year","Black","ONS 5+1 2001","All","All/Male/Female","0.3","3"
"Number of self inflicted deaths per 1000","1999","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2000","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2001","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2002","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2003","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2004","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2005","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2006","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2007","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2008","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2009","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2010","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2011","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","0.3","1"
"Number of self inflicted deaths per 1000","2012","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","1.6","5"
"Number of self inflicted deaths per 1000","2013","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","0.6","2"
"Number of self inflicted deaths per 1000","2014","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","0.6","2"
"Number of self inflicted deaths per 1000","2015","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","0.9","3"
"Number of self inflicted deaths per 1000","1999","Year","Other","ONS 5+1 2001","All","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2000","Year","Other","ONS 5+1 2001","All","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2001","Year","Other","ONS 5+1 2001","All","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2002","Year","Other","ONS 5+1 2001","All","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2003","Year","Other","ONS 5+1 2001","All","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2004","Year","Other","ONS 5+1 2001","All","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2005","Year","Other","ONS 5+1 2001","All","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2006","Year","Other","ONS 5+1 2001","All","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2007","Year","Other","ONS 5+1 2001","All","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2008","Year","Other","ONS 5+1 2001","All","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2009","Year","Other","ONS 5+1 2001","All","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2010","Year","Other","ONS 5+1 2001","All","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2011","Year","Other","ONS 5+1 2001","All","All/Male/Female","1","1"
"Number of self inflicted deaths per 1000","2012","Year","Other","ONS 5+1 2001","All","All/Male/Female","0","0"
"Number of self inflicted deaths per 1000","2013","Year","Other","ONS 5+1 2001","All","All/Male/Female","0","0"
