"Title","Writing attainments for children aged 7 to 11 by ethnicity and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 2 statistics https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measurement","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Value","Higher","Scaled score"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","White - British","DFE","Girls","81","19","0.5"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","White - Irish","DFE","Girls","85","27","1.3"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","White - Irish Traveller","DFE","Girls","46","!","0.2"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","White - Gypsy/Roma","DFE","Girls","36","!","0.5"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","White - Any other","DFE","Girls","73","17","2.6"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Mixed","DFE","Girls","83","21","1.2"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Mixed - White and Black - Caribbean","DFE","Girls","80","16","0.7"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Mixed - White and Black - African","DFE","Girls","83","19","1.6"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Mixed - White and Asian","DFE","Girls","86","26","1.3"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Mixed - Any other ","DFE","Girls","83","22","1.4"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Asian / Asian British","DFE","Girls","83","20","1.8"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Asian - Indian","DFE","Girls","87","27","1.7"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Asian - Pakistani","DFE","Girls","79","14","1.5"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Asian - Bangladeshi","DFE","Girls","85","22","2.6"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Asian - Any other","DFE","Girls","83","24","2"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Black / African / Caribbean / Black British","DFE","Girls","82","18","1.9"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Black - Caribbean","DFE","Girls","78","13","1.1"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Black - African","DFE","Girls","83","19","2.2"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Black - Any other ","DFE","Girls","81","18","2.1"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Chinese","DFE","Girls","89","37","2.7"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Other","DFE","Girls","77","16","2.3"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Unknown","DFE","Girls","65","15","0.5"
