"Title","A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)"
"Location","England"
"Time period","2015/16"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"
"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Admission basis","School type","SEN","Religious character","Value"," Denominator "
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","67.3","8,319"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","72.6","8,419"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","59.2","27,924"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","50.9","7,216"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","63.4","17,349"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","55.4","3,359"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","82.8","2,026"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Other - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","61.7","8,119"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Unclassified","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","52.5","5,771"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All pupils","All pupils","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","63","540,689"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","34.2","49,595"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - British","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","33.7","46,438"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Irish","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","39.9","213"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Irish Traveller","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","16.4","73"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","9.4","330"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","46.4","2,541"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","42.8","4,240"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","37.1","1,620"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","48.4","529"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","47.8","732"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","44.7","1,359"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","53.9","9,018"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Indian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","62.3","1,042"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","47.2","4,536"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","61","2,461"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","58","979"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","49","6,544"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","39.3","1,689"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","53.4","4,086"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","46.9","769"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","79.2","130"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Other - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","52.1","2,024"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Unclassified","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","34.7","977"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All pupils","All pupils","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","39.1","72,528"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","66.6","373,168"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - British","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","67.1","348,878"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Irish","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","76.5","1,561"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Irish Traveller","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","28.6","49"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","10.7","777"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","60.1","21,903"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","67.1","18,628"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","58.3","5,540"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","64.9","2,158"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","75.9","4,357"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","69.3","6,573"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","70.1","42,200"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Indian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","78.5","13,004"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","61.2","15,898"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","70","5,858"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","74.5","7,440"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","62.3","21,380"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","54.4","5,527"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","66.4","13,263"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","57.9","2,590"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","83.1","1,896"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Other - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","64.9","6,095"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Unclassified","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","56.1","4,794"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All pupils","All pupils","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","66.7","468,161"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","58.9","215,354"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - British","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","59.3","201,407"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Irish","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","69","883"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Irish Traveller","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","17.9","67"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","8.8","534"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","54.7","12,463"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","58.4","11,535"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","48.5","3,614"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","57.1","1,354"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","68.1","2,542"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","61.5","4,025"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","64","26,559"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Indian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","74.3","7,321"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","54.9","10,559"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","65.2","4,239"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","67.8","4,440"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","53.4","13,911"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","43.5","3,548"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","58.3","8,669"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","48.6","1,694"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","77.8","1,033"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Other - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","58","4,242"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Unclassified","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","47.6","2,972"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All pupils","All pupils","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","59","275,606"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","66.8","207,409"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - British","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","67.2","193,909"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Irish","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","75.2","891"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Irish Traveller","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","25.5","55"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","11.7","573"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","62.7","11,981"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","66.8","11,333"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","58.6","3,546"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","66.3","1,333"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","75.6","2,547"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","68.8","3,907"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","70.7","24,659"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Indian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","80.6","6,725"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","61.6","9,875"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","69.5","4,080"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","77.9","3,979"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","64.9","14,013"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","58","3,668"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","68.4","8,680"
