"Title","Attainment in English and Maths GCSE at grade 5 or above for children aged 14 to 16 (key stage 4)"
"Location","England"
"Time period","2016/17"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2016-to-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-10"
"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Value_type","Denominator"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Central Bedfordshire","Local Authority","E06000056","Boys","All pupils","39.3","%","1379"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Essex","Local Authority","E10000012","Boys","All pupils","39.6","%","7210"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Hertfordshire","Local Authority","E10000015","Boys","All pupils","47.8","%","6423"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Luton","Local Authority","E06000032","Boys","All pupils","32.5","%","1230"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Norfolk","Local Authority","E10000020","Boys","All pupils","36.3","%","3936"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Peterborough","Local Authority","E06000031","Boys","All pupils","33.4","%","1148"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Southend-on-Sea","Local Authority","E06000033","Boys","All pupils","52.4","%","1070"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Suffolk","Local Authority","E10000029","Boys","All pupils","38.3","%","3403"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Thurrock","Local Authority","E06000034","Boys","All pupils","32.1","%","826"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Camden","Local Authority","E09000007","Boys","All pupils","46.3","%","635"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","City of London","Local Authority","E09000001","Boys","All pupils","N/A","%","N/A"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Hackney","Local Authority","E09000012","Boys","All pupils","42.3","%","917"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Hammersmith and Fulham","Local Authority","E09000013","Boys","All pupils","47.6","%","675"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Haringey","Local Authority","E09000014","Boys","All pupils","41.1","%","1110"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Islington","Local Authority","E09000019","Boys","All pupils","42.9","%","715"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Kensington and Chelsea","Local Authority","E09000020","Boys","All pupils","61.4","%","433"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Lambeth","Local Authority","E09000022","Boys","All pupils","33.4","%","1016"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Lewisham","Local Authority","E09000023","Boys","All pupils","36.1","%","1165"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Newham","Local Authority","E09000025","Boys","All pupils","42.8","%","1753"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Southwark","Local Authority","E09000028","Boys","All pupils","46.5","%","1109"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Tower Hamlets","Local Authority","E09000030","Boys","All pupils","41.7","%","1303"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Wandsworth","Local Authority","E09000032","Boys","All pupils","48.6","%","925"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Westminster","Local Authority","E09000033","Boys","All pupils","49.7","%","727"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Barking and Dagenham","Local Authority","E09000002","Boys","All pupils","38.9","%","1146"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Barnet","Local Authority","E09000003","Boys","All pupils","57.9","%","1811"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Bexley","Local Authority","E09000004","Boys","All pupils","46.1","%","1558"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Brent","Local Authority","E09000005","Boys","All pupils","49.1","%","1444"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Bromley","Local Authority","E09000006","Boys","All pupils","44.7","%","1568"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Croydon","Local Authority","E09000008","Boys","All pupils","37.6","%","1716"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Ealing","Local Authority","E09000009","Boys","All pupils","49.1","%","1393"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Enfield","Local Authority","E09000010","Boys","All pupils","40.9","%","1864"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Greenwich","Local Authority","E09000011","Boys","All pupils","40.2","%","1135"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Harrow","Local Authority","E09000015","Boys","All pupils","47.3","%","1029"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Havering","Local Authority","E09000016","Boys","All pupils","43.8","%","1435"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Hillingdon","Local Authority","E09000017","Boys","All pupils","42.5","%","1631"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Hounslow","Local Authority","E09000018","Boys","All pupils","44.6","%","1392"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Kingston upon Thames","Local Authority","E09000021","Boys","All pupils","58.7","%","726"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Merton","Local Authority","E09000024","Boys","All pupils","46.1","%","725"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Redbridge","Local Authority","E09000026","Boys","All pupils","52.6","%","1817"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Richmond upon Thames","Local Authority","E09000027","Boys","All pupils","52.1","%","698"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Sutton","Local Authority","E09000029","Boys","All pupils","60.5","%","1418"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Waltham Forest","Local Authority","E09000031","Boys","All pupils","39.9","%","1254"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Bracknell Forest","Local Authority","E06000036","Boys","All pupils","40.5","%","565"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Brighton and Hove","Local Authority","E06000043","Boys","All pupils","43.5","%","1164"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Buckinghamshire","Local Authority","E10000002","Boys","All pupils","50.2","%","2879"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","East Sussex","Local Authority","E10000011","Boys","All pupils","36.3","%","2481"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Hampshire","Local Authority","E10000014","Boys","All pupils","41.7","%","6517"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Isle of Wight","Local Authority","E06000046","Boys","All pupils","30.9","%","673"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Kent","Local Authority","E10000016","Boys","All pupils","38.3","%","7887"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Medway","Local Authority","E06000035","Boys","All pupils","37.8","%","1480"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Milton Keynes","Local Authority","E06000042","Boys","All pupils","38.3","%","1469"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Oxfordshire","Local Authority","E10000025","Boys","All pupils","44.6","%","3006"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Portsmouth","Local Authority","E06000044","Boys","All pupils","32.2","%","864"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Reading","Local Authority","E06000038","Boys","All pupils","47.8","%","571"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Slough","Local Authority","E06000039","Boys","All pupils","51.0","%","835"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Southampton","Local Authority","E06000045","Boys","All pupils","30.5","%","893"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Surrey","Local Authority","E10000030","Boys","All pupils","49.1","%","5246"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","West Berkshire","Local Authority","E06000037","Boys","All pupils","44.7","%","940"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","West Sussex","Local Authority","E10000032","Boys","All pupils","42.2","%","4047"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Windsor and Maidenhead","Local Authority","E06000040","Boys","All pupils","44.9","%","741"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Wokingham","Local Authority","E06000041","Boys","All pupils","50.8","%","853"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Bath and North East Somerset","Local Authority","E06000022","Boys","All pupils","32.8","%","1006"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Bournemouth","Local Authority","E06000028","Boys","All pupils","45.9","%","833"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Bristol, City of","Local Authority","E06000023","Boys","All pupils","35.9","%","1628"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Cornwall","Local Authority","E06000052","Boys","All pupils","34.8","%","2619"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Devon","Local Authority","E10000008","Boys","All pupils","39.7","%","3506"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Dorset","Local Authority","E10000009","Boys","All pupils","36.6","%","2044"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Gloucestershire","Local Authority","E10000013","Boys","All pupils","43.6","%","3136"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Isles of Scilly","Local Authority","E06000053","Boys","All pupils","!","%","9"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","North Somerset","Local Authority","E06000024","Boys","All pupils","38.8","%","1051"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Plymouth","Local Authority","E06000026","Boys","All pupils","34.6","%","1278"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Poole","Local Authority","E06000029","Boys","All pupils","48.6","%","683"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Somerset","Local Authority","E10000027","Boys","All pupils","36.7","%","2448"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","South Gloucestershire","Local Authority","E06000025","Boys","All pupils","35.8","%","1355"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Swindon","Local Authority","E06000030","Boys","All pupils","31.6","%","1025"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Torbay","Local Authority","E06000027","Boys","All pupils","!","%","672"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","Wiltshire","Local Authority","E06000054","Boys","All pupils","39.5","%","2415"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","County Durham","Local Authority","E06000047","Boys","All pupils","32.3","%","2327"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","Darlington","Local Authority","E06000005","Boys","All pupils","40.3","%","486"
