"Title","NHS workforce appointments from shortlisting"
"Location","England"
"Time period","2016/17"
"Data source","NHS England"
"Data source link","https://www.england.nhs.uk/publication/workforce-race-equality-standard-data-reporting-december-2017/"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-06-11"
"Measure","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Numerator","Denominator","Value","Value_type","Relative_likelihood_White:Other","Comments"
"Percentage of shortlisted applicants who are appointed for an NHS job","Isle of Wight NHS Trust","R1F","Other","White & Other","South","Grouped region","Acute","1","72","0.013889","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Barts Health NHS Trust","R1H","White","White & Other","London","Grouped region","Acute","336","6617","0.050778","%","1.7",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Barts Health NHS Trust","R1H","Other","White & Other","London","Grouped region","Acute","377","12340","0.030551","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Gloucestershire Care Services NHS Trust","R1J","White","White & Other","South","Grouped region","Community Provider Trust","419","2635","0.159013","%","2.3",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Gloucestershire Care Services NHS Trust","R1J","Other","White & Other","South","Grouped region","Community Provider Trust","22","321","0.068536","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","London North West Healthcare NHS Trust","R1K","White","White & Other","London","Grouped region","Acute","166","1352","0.122781","%","1.7",""
"Percentage of shortlisted applicants who are appointed for an NHS job","London North West Healthcare NHS Trust","R1K","Other","White & Other","London","Grouped region","Acute","278","3947","0.070433","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Royal Surrey County Hospital NHS Foundation Trust","RA2","White","White & Other","South","Grouped region","Acute","859","3677","0.233614","%","1.6",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Royal Surrey County Hospital NHS Foundation Trust","RA2","Other","White & Other","South","Grouped region","Acute","262","1818","0.144114","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Weston Area Health NHS Trust","RA3","White","White & Other","South","Grouped region","Acute","476","1504","0.316489","%","1.3",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Weston Area Health NHS Trust","RA3","Other","White & Other","South","Grouped region","Acute","77","315","0.244444","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","University Hospitals Bristol NHS Foundation Trust","RA7","White","White & Other","South","Grouped region","Acute","1175","4010","0.293017","%","1.9",""
"Percentage of shortlisted applicants who are appointed for an NHS job","University Hospitals Bristol NHS Foundation Trust","RA7","Other","White & Other","South","Grouped region","Acute","200","1292","0.154799","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Torbay and South Devon NHS Foundation Trust","RA9","White","White & Other","South","Grouped region","Acute","972","1228","0.791531","%","0.8",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Torbay and South Devon NHS Foundation Trust","RA9","Other","White & Other","South","Grouped region","Acute","88","94","0.93617","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Bradford Teaching Hospitals NHS Foundation Trust","RAE","White","White & Other","North","Grouped region","Acute","515","2325","0.221505","%","1.2",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Bradford Teaching Hospitals NHS Foundation Trust","RAE","Other","White & Other","North","Grouped region","Acute","358","1992","0.179719","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Southend University Hospital NHS Foundation Trust","RAJ","White","White & Other","Midlands & East","Grouped region","Acute","419","3088","0.135687","%","0.4",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Southend University Hospital NHS Foundation Trust","RAJ","Other","White & Other","Midlands & East","Grouped region","Acute","370","1194","0.309883","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Royal Free London NHS Foundation Trust","RAL","White","White & Other","London","Grouped region","Acute","2047","4449","0.460103","%","1.3",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Royal Free London NHS Foundation Trust","RAL","Other","White & Other","London","Grouped region","Acute","2032","5817","0.349321","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Royal National Orthopaedic Hospital NHS Trust","RAN","White","White & Other","London","Grouped region","Acute","193","979","0.19714","%","1.4",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Royal National Orthopaedic Hospital NHS Trust","RAN","Other","White & Other","London","Grouped region","Acute","209","1460","0.143151","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","North Middlesex University Hospital NHS Trust","RAP","White","White & Other","London","Grouped region","Acute","122","760","0.160526","%","1.4",""
"Percentage of shortlisted applicants who are appointed for an NHS job","North Middlesex University Hospital NHS Trust","RAP","Other","White & Other","London","Grouped region","Acute","232","2002","0.115884","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","The Hillingdon Hospitals NHS Foundation Trust","RAS","White","White & Other","London","Grouped region","Acute","573","1729","0.331405","%","1.5",""
"Percentage of shortlisted applicants who are appointed for an NHS job","The Hillingdon Hospitals NHS Foundation Trust","RAS","Other","White & Other","London","Grouped region","Acute","556","2446","0.22731","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","North East London NHS Foundation Trust","RAT","White","White & Other","London","Grouped region","Mental Health","297","1697","0.175015","%","1.6",""
"Percentage of shortlisted applicants who are appointed for an NHS job","North East London NHS Foundation Trust","RAT","Other","White & Other","London","Grouped region","Mental Health","290","2634","0.110099","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Kingston Hospital NHS Foundation Trust","RAX","White","White & Other","London","Grouped region","Acute","387","904","0.428097","%","3.4",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Kingston Hospital NHS Foundation Trust","RAX","Other","White & Other","London","Grouped region","Acute","194","1519","0.127716","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Taunton and Somerset NHS Foundation Trust","RBA","White","White & Other","South","Grouped region","Acute","688","2700","0.254815","%","1.2",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Taunton and Somerset NHS Foundation Trust","RBA","Other","White & Other","South","Grouped region","Acute","74","345","0.214493","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Dorset County Hospital NHS Foundation Trust","RBD","White","White & Other","South","Grouped region","Acute","350","519","0.674374","%","1",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Dorset County Hospital NHS Foundation Trust","RBD","Other","White & Other","South","Grouped region","Acute","36","51","0.705882","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Walsall Healthcare NHS Trust","RBK","White","White & Other","Midlands & East","Grouped region","Acute","247","347","0.711816","%","1.1",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Walsall Healthcare NHS Trust","RBK","Other","White & Other","Midlands & East","Grouped region","Acute","117","187","0.625668","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Wirral University Teaching Hospital NHS Foundation Trust","RBL","White","White & Other","North","Grouped region","Acute","701","868","0.807604","%","1",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Wirral University Teaching Hospital NHS Foundation Trust","RBL","Other","White & Other","North","Grouped region","Acute","75","89","0.842697","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","St Helens and Knowsley Hospital Services NHS Trust","RBN","White","White & Other","North","Grouped region","Acute","735","3757","0.195635","%","1.3",""
"Percentage of shortlisted applicants who are appointed for an NHS job","St Helens and Knowsley Hospital Services NHS Trust","RBN","Other","White & Other","North","Grouped region","Acute","65","440","0.147727","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Liverpool Heart and Chest Hospital NHS Foundation Trust","RBQ","White","White & Other","North","Grouped region","Acute","187","834","0.224221","%","1.8",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Liverpool Heart and Chest Hospital NHS Foundation Trust","RBQ","Other","White & Other","North","Grouped region","Acute","14","115","0.121739","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Alder Hey Children's NHS Foundation Trust","RBS","White","White & Other","North","Grouped region","Acute","38","369","0.102981","%","0.8",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Alder Hey Children's NHS Foundation Trust","RBS","Other","White & Other","North","Grouped region","Acute","6","49","0.122449","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Mid Cheshire Hospitals NHS Foundation Trust","RBT","White","White & Other","North","Grouped region","Acute","794","3702","0.214479","%","1.2",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Mid Cheshire Hospitals NHS Foundation Trust","RBT","Other","White & Other","North","Grouped region","Acute","87","496","0.175403","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","The Christie NHS Foundation Trust","RBV","White","White & Other","North","Grouped region","Acute","571","2848","0.200492","%","2",""
"Percentage of shortlisted applicants who are appointed for an NHS job","The Christie NHS Foundation Trust","RBV","Other","White & Other","North","Grouped region","Acute","156","1520","0.102632","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Northern Devon Healthcare NHS Trust","RBZ","White","White & Other","South","Grouped region","Acute","744","2980","0.249664","%","1.9",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Northern Devon Healthcare NHS Trust","RBZ","Other","White & Other","South","Grouped region","Acute","50","374","0.13369","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Bedford Hospital NHS Trust","RC1","White","White & Other","Midlands & East","Grouped region","Acute","361","1940","0.186082","%","1.5",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Bedford Hospital NHS Trust","RC1","Other","White & Other","Midlands & East","Grouped region","Acute","124","971","0.127703","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Luton and Dunstable University Hospital NHS Foundation Trust","RC9","White","White & Other","Midlands & East","Grouped region","Acute","386","1478","0.261164","%","1.3",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Luton and Dunstable University Hospital NHS Foundation Trust","RC9","Other","White & Other","Midlands & East","Grouped region","Acute","335","1672","0.200359","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","York Teaching Hospital NHS Foundation Trust","RCB","White","White & Other","North","Grouped region","Acute","1001","10290","0.097279","%","1.4",""
"Percentage of shortlisted applicants who are appointed for an NHS job","York Teaching Hospital NHS Foundation Trust","RCB","Other","White & Other","North","Grouped region","Acute","74","1085","0.068203","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Harrogate and District NHS Foundation Trust","RCD","White","White & Other","North","Grouped region","Acute","762","3498","0.217839","%","1.7",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Harrogate and District NHS Foundation Trust","RCD","Other","White & Other","North","Grouped region","Acute","70","551","0.127042","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Airedale NHS Foundation Trust","RCF","White","White & Other","North","Grouped region","Acute","419","1987","0.210871","%","1.9",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Airedale NHS Foundation Trust","RCF","Other","White & Other","North","Grouped region","Acute","83","761","0.109067","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Sheffield Children's NHS Foundation Trust","RCU","White","White & Other","North","Grouped region","Acute","524","2516","0.208267","%","1.7",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Sheffield Children's NHS Foundation Trust","RCU","Other","White & Other","North","Grouped region","Acute","56","467","0.119914","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust","RCX","White","White & Other","Midlands & East","Grouped region","Acute","527","312","0.59203","%","1.4",""
"Percentage of shortlisted applicants who are appointed for an NHS job","The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust","RCX","Other","White & Other","Midlands & East","Grouped region","Acute","104","45","0.432692","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Royal United Hospitals Bath NHS Foundation Trust","RD1","White","White & Other","South","Grouped region","Acute","1091","4019","0.271461","%","1.9",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Royal United Hospitals Bath NHS Foundation Trust","RD1","Other","White & Other","South","Grouped region","Acute","131","909","0.144114","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Poole Hospital NHS Foundation Trust","RD3","White","White & Other","South","Grouped region","Acute","184","1903","0.096689","%","1.1",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Poole Hospital NHS Foundation Trust","RD3","Other","White & Other","South","Grouped region","Acute","28","322","0.086957","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Milton Keynes University Hospital NHS Foundation Trust","RD8","White","White & Other","Midlands & East","Grouped region","Acute","527","1042","0.505758","%","0.9",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Milton Keynes University Hospital NHS Foundation Trust","RD8","Other","White & Other","Midlands & East","Grouped region","Acute","296","542","0.546125","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Basildon and Thurrock University Hospitals NHS Foundation Trust","RDD","White","White & Other","Midlands & East","Grouped region","Acute","965","6331","0.152425","%","1.1",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Basildon and Thurrock University Hospitals NHS Foundation Trust","RDD","Other","White & Other","Midlands & East","Grouped region","Acute","493","3704","0.133099","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Colchester Hospital University NHS Foundation Trust","RDE","White","White & Other","Midlands & East","Grouped region","Acute","627","3275","0.19145","%","1.3",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Colchester Hospital University NHS Foundation Trust","RDE","Other","White & Other","Midlands & East","Grouped region","Acute","147","975","0.150769","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Sussex Community NHS Foundation Trust","RDR","White","White & Other","South","Grouped region","Community Provider Trust","784","3255","0.24086","%","1.7",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Sussex Community NHS Foundation Trust","RDR","Other","White & Other","South","Grouped region","Community Provider Trust","93","654","0.142202","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Frimley Health NHS Foundation Trust","RDU","White","White & Other","South","Grouped region","Acute","850","3413","0.249048","%","1.6",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Frimley Health NHS Foundation Trust","RDU","Other","White & Other","South","Grouped region","Acute","382","2496","0.153045","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Dorset Healthcare University NHS Foundation Trust","RDY","White","White & Other","South","Grouped region","Mental Health","1138","4630","0.245788","%","1.7",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Dorset Healthcare University NHS Foundation Trust","RDY","Other","White & Other","South","Grouped region","Mental Health","85","585","0.145299","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust","RDZ","White","White & Other","South","Grouped region","Acute","524","2324","0.225473","%","1.4",""
"Percentage of shortlisted applicants who are appointed for an NHS job","The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust","RDZ","Other","White & Other","South","Grouped region","Acute","74","463","0.159827","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","South Tyneside NHS Foundation Trust","RE9","White","White & Other","North","Grouped region","Acute","550","2247","0.244771","%","1.6",""
"Percentage of shortlisted applicants who are appointed for an NHS job","South Tyneside NHS Foundation Trust","RE9","Other","White & Other","North","Grouped region","Acute","33","213","0.15493","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Royal Cornwall Hospitals NHS Trust","REF","White","White & Other","South","Grouped region","Acute","846","4431","0.190928","%","3.4",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Royal Cornwall Hospitals NHS Trust","REF","Other","White & Other","South","Grouped region","Acute","16","284","0.056338","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","The Clatterbridge Cancer Centre NHS Foundation Trust","REN","White","White & Other","North","Grouped region","Acute","236","3569","0.066125","%","1.3",""
"Percentage of shortlisted applicants who are appointed for an NHS job","The Clatterbridge Cancer Centre NHS Foundation Trust","REN","Other","White & Other","North","Grouped region","Acute","29","555","0.052252","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Liverpool Women's NHS Foundation Trust","REP","White","White & Other","North","Grouped region","Acute","172","810","0.212346","%","2.3",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Liverpool Women's NHS Foundation Trust","REP","Other","White & Other","North","Grouped region","Acute","9","97","0.092784","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","The Walton Centre NHS Foundation Trust","RET","White","White & Other","North","Grouped region","Acute","313","1632","0.191789","%","1.5",""
"Percentage of shortlisted applicants who are appointed for an NHS job","The Walton Centre NHS Foundation Trust","RET","Other","White & Other","North","Grouped region","Acute","27","212","0.127358","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Barking, Havering and Redbridge University Hospitals NHS Trust","RF4","White","White & Other","London","Grouped region","Acute","761","2195","0.346697","%","2.1",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Barking, Havering and Redbridge University Hospitals NHS Trust","RF4","Other","White & Other","London","Grouped region","Acute","624","3790","0.164644","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Barnsley Hospital NHS Foundation Trust","RFF","White","White & Other","North","Grouped region","Acute","584","2182","0.267644","%","1.7",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Barnsley Hospital NHS Foundation Trust","RFF","Other","White & Other","North","Grouped region","Acute","60","387","0.155039","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","The Rotherham NHS Foundation Trust","RFR","White","White & Other","North","Grouped region","Acute","729","2002","0.364136","%","1.4",""
"Percentage of shortlisted applicants who are appointed for an NHS job","The Rotherham NHS Foundation Trust","RFR","Other","White & Other","North","Grouped region","Acute","108","405","0.266667","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Chesterfield Royal Hospital NHS Foundation Trust","RFS","White","White & Other","Midlands & East","Grouped region","Acute","251","2362","0.106266","%","1.3",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Chesterfield Royal Hospital NHS Foundation Trust","RFS","Other","White & Other","Midlands & East","Grouped region","Acute","17","205","0.082927","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Leeds and York Partnership NHS Foundation Trust","RGD","White","White & Other","North","Grouped region","Mental Health","224","1740","0.128736","%","1.7",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Leeds and York Partnership NHS Foundation Trust","RGD","Other","White & Other","North","Grouped region","Mental Health","54","716","0.075419","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Papworth Hospital NHS Foundation Trust","RGM","White","White & Other","Midlands & East","Grouped region","Acute","313","1648","0.189927","%","1.9",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Papworth Hospital NHS Foundation Trust","RGM","Other","White & Other","Midlands & East","Grouped region","Acute","50","503","0.099404","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","North West Anglia NHS Foundation Trust","RGN","White","White & Other","Midlands & East","Grouped region","Acute","365","2967","0.12302","%","1.5",""
"Percentage of shortlisted applicants who are appointed for an NHS job","North West Anglia NHS Foundation Trust","RGN","Other","White & Other","Midlands & East","Grouped region","Acute","114","1379","0.082669","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","James Paget University Hospitals NHS Foundation Trust","RGP","White","White & Other","Midlands & East","Grouped region","Acute","430","535","0.803738","%","1.3",""
"Percentage of shortlisted applicants who are appointed for an NHS job","James Paget University Hospitals NHS Foundation Trust","RGP","Other","White & Other","Midlands & East","Grouped region","Acute","10","16","0.625","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Ipswich Hospital NHS Trust","RGQ","White","White & Other","Midlands & East","Grouped region","Acute","834","3387","0.246236","%","1.8",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Ipswich Hospital NHS Trust","RGQ","Other","White & Other","Midlands & East","Grouped region","Acute","118","859","0.137369","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","West Suffolk NHS Foundation Trust","RGR","White","White & Other","Midlands & East","Grouped region","Acute","154","2177","0.07074","%","1.9",""
"Percentage of shortlisted applicants who are appointed for an NHS job","West Suffolk NHS Foundation Trust","RGR","Other","White & Other","Midlands & East","Grouped region","Acute","13","356","0.036517","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Cambridge University Hospitals NHS Foundation Trust","RGT","White","White & Other","Midlands & East","Grouped region","Acute","1690","6048","0.279431","%","1.3",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Cambridge University Hospitals NHS Foundation Trust","RGT","Other","White & Other","Midlands & East","Grouped region","Acute","469","2250","0.208444","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Somerset Partnership NHS Foundation Trust","RH5","White","White & Other","South","Grouped region","Mental Health","167","186","0.897849","%","1.3",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Somerset Partnership NHS Foundation Trust","RH5","Other","White & Other","South","Grouped region","Mental Health","6","9","0.666667","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Royal Devon and Exeter NHS Foundation Trust","RH8","White","White & Other","South","Grouped region","Acute","1224","6146","0.199154","%","2",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Royal Devon and Exeter NHS Foundation Trust","RH8","Other","White & Other","South","Grouped region","Acute","70","692","0.101156","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Nottinghamshire Healthcare NHS Foundation Trust","RHA","White","White & Other","Midlands & East","Grouped region","Mental Health","761","8124","0.093673","%","1.5",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Nottinghamshire Healthcare NHS Foundation Trust","RHA","Other","White & Other","Midlands & East","Grouped region","Mental Health","111","1765","0.06289","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","University Hospital Southampton NHS Foundation Trust","RHM","White","White & Other","South","Grouped region","Acute","1682","5151","0.326539","%","1.8",""
"Percentage of shortlisted applicants who are appointed for an NHS job","University Hospital Southampton NHS Foundation Trust","RHM","Other","White & Other","South","Grouped region","Acute","304","1652","0.184019","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Sheffield Teaching Hospitals NHS Foundation Trust","RHQ","White","White & Other","North","Grouped region","Acute","2316","8258","0.280455","%","1.2",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Sheffield Teaching Hospitals NHS Foundation Trust","RHQ","Other","White & Other","North","Grouped region","Acute","427","1859","0.229693","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Portsmouth Hospitals NHS Trust","RHU","White","White & Other","South","Grouped region","Acute","459","3122","0.147021","%","1.2",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Portsmouth Hospitals NHS Trust","RHU","Other","White & Other","South","Grouped region","Acute","165","1326","0.124434","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Royal Berkshire NHS Foundation Trust","RHW","White","White & Other","South","Grouped region","Acute","643","2496","0.257612","%","1.6",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Royal Berkshire NHS Foundation Trust","RHW","Other","White & Other","South","Grouped region","Acute","250","1517","0.164799","%","-",""
