"Title","Percentage of homeless households by ethnicity"
"Location","England"
"Time period","2006/07 to 2016/17"
"Data source","Homelessness statistics https://www.gov.uk/government/collections/homelessness-statistics"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_Type","Ethnicity","Ethnicity_type","Geography","Geography_type","Geography_name","Value"
"Statutory homelessness decision: Acceptance","2006/07","Financial Year","Ethnic minority (excl. White minorities)","ONS 5+1","E92000001","Country","England","21"
"Statutory homelessness decision: Acceptance","2007/08","Financial Year","Ethnic minority (excl. White minorities)","ONS 5+1","E92000001","Country","England","22"
"Statutory homelessness decision: Acceptance","2008/09","Financial Year","Ethnic minority (excl. White minorities)","ONS 5+1","E92000001","Country","England","25"
"Statutory homelessness decision: Acceptance","2009/10","Financial Year","Ethnic minority (excl. White minorities)","ONS 5+1","E92000001","Country","England","27"
"Statutory homelessness decision: Acceptance","2010/11","Financial Year","Ethnic minority (excl. White minorities)","ONS 5+1","E92000001","Country","England","28"
"Statutory homelessness decision: Acceptance","2011/12","Financial Year","Ethnic minority (excl. White minorities)","ONS 5+1","E92000001","Country","England","29"
"Statutory homelessness decision: Acceptance","2012/13","Financial Year","Ethnic minority (excl. White minorities)","ONS 5+1","E92000001","Country","England","31"
"Statutory homelessness decision: Acceptance","2013/14","Financial Year","Ethnic minority (excl. White minorities)","ONS 5+1","E92000001","Country","England","32"
"Statutory homelessness decision: Acceptance","2014/15","Financial Year","Ethnic minority (excl. White minorities)","ONS 5+1","E92000001","Country","England","33"
"Statutory homelessness decision: Acceptance","2015/16","Financial Year","Ethnic minority (excl. White minorities)","ONS 5+1","E92000001","Country","England","34"
"Statutory homelessness decision: Acceptance","2016/17","Financial Year","Ethnic minority (excl. White minorities)","ONS 5+1","E92000001","Country","England","33  "
