"Title","Number of homeless households by ethnicity"
"Location","England"
"Time period","2006/07 to 2016/17"
"Data source","Homelessness statistics https://www.gov.uk/government/collections/homelessness-statistics"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_Type","Ethnicity","Ethnicity_type","Geography","Geography_type","Geography_name","Percentage","Total","Value"
"Statutory homelessness decision: Acceptance","2008/09","Financial Year","Black","ONS 5+1","E92000001","Country","England","12","53,432","6,629"
"Statutory homelessness decision: Acceptance","2009/10","Financial Year","Black","ONS 5+1","E92000001","Country","England","14","40,020","5,596"
"Statutory homelessness decision: Acceptance","2010/11","Financial Year","Black","ONS 5+1","E92000001","Country","England","14","44,159","6,358"
"Statutory homelessness decision: Acceptance","2011/12","Financial Year","Black","ONS 5+1","E92000001","Country","England","14","50,290","7,129"
"Statutory homelessness decision: Acceptance","2012/13","Financial Year","Black","ONS 5+1","E92000001","Country","England","15","53,769","8,212"
"Statutory homelessness decision: Acceptance","2013/14","Financial Year","Black","ONS 5+1","E92000001","Country","England","16","52,286","8,205"
"Statutory homelessness decision: Acceptance","2014/15","Financial Year","Black","ONS 5+1","E92000001","Country","England","16","54,434","8,675"
"Statutory homelessness decision: Acceptance","2015/16","Financial Year","Black","ONS 5+1","E92000001","Country","England","17","57,734","9,540"
"Statutory homelessness decision: Acceptance","2016/17","Financial Year","Black","ONS 5+1","E92000001","Country","England","16","59,090","9,330"
"Statutory homelessness decision: Acceptance","2006/07","Financial Year","Mixed","ONS 5+1","E92000001","Country","England","2","73,360","1,585"
"Statutory homelessness decision: Acceptance","2007/08","Financial Year","Mixed","ONS 5+1","E92000001","Country","England","2","63,170","1,432"
"Statutory homelessness decision: Acceptance","2008/09","Financial Year","Mixed","ONS 5+1","E92000001","Country","England","3","53,432","1,435"
"Statutory homelessness decision: Acceptance","2009/10","Financial Year","Mixed","ONS 5+1","E92000001","Country","England","3","40,020","1,157"
"Statutory homelessness decision: Acceptance","2010/11","Financial Year","Mixed","ONS 5+1","E92000001","Country","England","3","44,159","1,332"
"Statutory homelessness decision: Acceptance","2011/12","Financial Year","Mixed","ONS 5+1","E92000001","Country","England","3","50,290","1,637"
"Statutory homelessness decision: Acceptance","2012/13","Financial Year","Mixed","ONS 5+1","E92000001","Country","England","3","53,769","1,740"
"Statutory homelessness decision: Acceptance","2013/14","Financial Year","Mixed","ONS 5+1","E92000001","Country","England","3","52,286","1,667"
"Statutory homelessness decision: Acceptance","2014/15","Financial Year","Mixed","ONS 5+1","E92000001","Country","England","3","54,434","1,775"
"Statutory homelessness decision: Acceptance","2015/16","Financial Year","Mixed","ONS 5+1","E92000001","Country","England","4","57,734","2,021"
"Statutory homelessness decision: Acceptance","2016/17","Financial Year","Mixed","ONS 5+1","E92000001","Country","England","3","59,090","1,990"
"Statutory homelessness decision: Acceptance","2006/07","Financial Year","Other","ONS 5+1","E92000001","Country","England","3","73,360","2,153"
"Statutory homelessness decision: Acceptance","2007/08","Financial Year","Other","ONS 5+1","E92000001","Country","England","3","63,170","1,975"
"Statutory homelessness decision: Acceptance","2008/09","Financial Year","Other","ONS 5+1","E92000001","Country","England","4","53,432","1,927"
"Statutory homelessness decision: Acceptance","2009/10","Financial Year","Other","ONS 5+1","E92000001","Country","England","4","40,020","1,546"
"Statutory homelessness decision: Acceptance","2010/11","Financial Year","Other","ONS 5+1","E92000001","Country","England","4","44,159","1,889"
"Statutory homelessness decision: Acceptance","2011/12","Financial Year","Other","ONS 5+1","E92000001","Country","England","5","50,290","2,270"
"Statutory homelessness decision: Acceptance","2012/13","Financial Year","Other","ONS 5+1","E92000001","Country","England","4","53,769","2,269"
"Statutory homelessness decision: Acceptance","2013/14","Financial Year","Other","ONS 5+1","E92000001","Country","England","4","52,286","2,189"
"Statutory homelessness decision: Acceptance","2014/15","Financial Year","Other","ONS 5+1","E92000001","Country","England","4","54,434","2,397"
"Statutory homelessness decision: Acceptance","2015/16","Financial Year","Other","ONS 5+1","E92000001","Country","England","5","57,734","2,765"
"Statutory homelessness decision: Acceptance","2016/17","Financial Year","Other","ONS 5+1","E92000001","Country","England","5","59,090","2,820"
"Statutory homelessness decision: Acceptance","2006/07","Financial Year","White","ONS 5+1","E92000001","Country","England","74","73,360","54,365"
"Statutory homelessness decision: Acceptance","2007/08","Financial Year","White","ONS 5+1","E92000001","Country","England","72","63,170","45,494"
"Statutory homelessness decision: Acceptance","2008/09","Financial Year","White","ONS 5+1","E92000001","Country","England","70","53,432","37,310"
"Statutory homelessness decision: Acceptance","2009/10","Financial Year","White","ONS 5+1","E92000001","Country","England","68","40,020","27,246"
"Statutory homelessness decision: Acceptance","2010/11","Financial Year","White","ONS 5+1","E92000001","Country","England","67","44,159","29,539"
"Statutory homelessness decision: Acceptance","2011/12","Financial Year","White","ONS 5+1","E92000001","Country","England","66","50,290","33,414"
"Statutory homelessness decision: Acceptance","2012/13","Financial Year","White","ONS 5+1","E92000001","Country","England","64","53,769","34,599"
"Statutory homelessness decision: Acceptance","2013/14","Financial Year","White","ONS 5+1","E92000001","Country","England","63","52,286","32,767"
"Statutory homelessness decision: Acceptance","2014/15","Financial Year","White","ONS 5+1","E92000001","Country","England","61","54,434","33,301"
"Statutory homelessness decision: Acceptance","2015/16","Financial Year","White","ONS 5+1","E92000001","Country","England","59","57,734","34,193"
"Statutory homelessness decision: Acceptance","2016/17","Financial Year","White","ONS 5+1","E92000001","Country","England","61","59,090","35,880"
"Statutory homelessness decision: Acceptance","2006/07","Financial Year","Unknown","ONS 5+1","E92000001","Country","England","5","73,360","3,880"
"Statutory homelessness decision: Acceptance","2007/08","Financial Year","Unknown","ONS 5+1","E92000001","Country","England","6","63,170","3,514"
"Statutory homelessness decision: Acceptance","2008/09","Financial Year","Unknown","ONS 5+1","E92000001","Country","England","5","53,432","2,824"
"Statutory homelessness decision: Acceptance","2009/10","Financial Year","Unknown","ONS 5+1","E92000001","Country","England","5","40,020","1,852"
"Statutory homelessness decision: Acceptance","2010/11","Financial Year","Unknown","ONS 5+1","E92000001","Country","England","5","44,159","2,239"
"Statutory homelessness decision: Acceptance","2011/12","Financial Year","Unknown","ONS 5+1","E92000001","Country","England","5","50,290","2,427"
"Statutory homelessness decision: Acceptance","2012/13","Financial Year","Unknown","ONS 5+1","E92000001","Country","England","5","53,769","2,765"
"Statutory homelessness decision: Acceptance","2013/14","Financial Year","Unknown","ONS 5+1","E92000001","Country","England","6","52,286","2,950"
"Statutory homelessness decision: Acceptance","2014/15","Financial Year","Unknown","ONS 5+1","E92000001","Country","England","6","54,434","3,375"
"Statutory homelessness decision: Acceptance","2015/16","Financial Year","Unknown","ONS 5+1","E92000001","Country","England","6","57,734","3,732"
"Statutory homelessness decision: Acceptance","2016/17","Financial Year","Unknown","ONS 5+1","E92000001","Country","England","6","59,090","3,510"
"Statutory homelessness decision: Acceptance","2006/07","Financial Year","Ethnic minority (excl. White minorities)","ONS 5+1","E92000001","Country","England","21","73,360","15,115"
"Statutory homelessness decision: Acceptance","2007/08","Financial Year","Ethnic minority (excl. White minorities)","ONS 5+1","E92000001","Country","England","22","63,170","14,162"
"Statutory homelessness decision: Acceptance","2008/09","Financial Year","Ethnic minority (excl. White minorities)","ONS 5+1","E92000001","Country","England","25","53,432","13,298"
"Statutory homelessness decision: Acceptance","2009/10","Financial Year","Ethnic minority (excl. White minorities)","ONS 5+1","E92000001","Country","England","27","40,020","10,922"
"Statutory homelessness decision: Acceptance","2010/11","Financial Year","Ethnic minority (excl. White minorities)","ONS 5+1","E92000001","Country","England","28","44,159","12,381"
"Statutory homelessness decision: Acceptance","2011/12","Financial Year","Ethnic minority (excl. White minorities)","ONS 5+1","E92000001","Country","England","29","50,290","14,449"
"Statutory homelessness decision: Acceptance","2012/13","Financial Year","Ethnic minority (excl. White minorities)","ONS 5+1","E92000001","Country","England","31","53,769","16,405"
"Statutory homelessness decision: Acceptance","2013/14","Financial Year","Ethnic minority (excl. White minorities)","ONS 5+1","E92000001","Country","England","32","52,286","16,569"
"Statutory homelessness decision: Acceptance","2014/15","Financial Year","Ethnic minority (excl. White minorities)","ONS 5+1","E92000001","Country","England","33","54,434","17,758"
"Statutory homelessness decision: Acceptance","2015/16","Financial Year","Ethnic minority (excl. White minorities)","ONS 5+1","E92000001","Country","England","34","57,734","19,809"
"Statutory homelessness decision: Acceptance","2016/17","Financial Year","Ethnic minority (excl. White minorities)","ONS 5+1","E92000001","Country","England","33","59,090","19,700"
