"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Reasonable Preference","Value","Numerator"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Mixed: Other","ONS 18+1","Insanitary/Unsatisfactory Housing","23.5","160"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Asian/Asian British: Indian","ONS 18+1","Insanitary/Unsatisfactory Housing","24.1","189"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Insanitary/Unsatisfactory Housing","20.1","342"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Insanitary/Unsatisfactory Housing","46.5","648"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Asian/Asian British: Other","ONS 18+1","Insanitary/Unsatisfactory Housing","24","320"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Insanitary/Unsatisfactory Housing","23.9","548"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Insanitary/Unsatisfactory Housing","27","1159"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Insanitary/Unsatisfactory Housing","30.8","332"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Insanitary/Unsatisfactory Housing","22.6","33"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Other Ethnic group: Other","ONS 18+1","Insanitary/Unsatisfactory Housing","19.6","308"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Insanitary/Unsatisfactory Housing","24.2","39"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Other Ethnic group: Arab","ONS 18+1","Insanitary/Unsatisfactory Housing","18.9","124"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Medical Welfare","28.8","19541"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","White: Irish","ONS 18+1","Medical Welfare","26.8","137"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","White: Other","ONS 18+1","Medical Welfare","13","478"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Medical Welfare","13.1","188"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Mixed: White & Black African","ONS 18+1","Medical Welfare","15.3","78"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Mixed: White & Asian","ONS 18+1","Medical Welfare","13.2","50"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Mixed: Other","ONS 18+1","Medical Welfare","15.3","104"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Asian/Asian British: Indian","ONS 18+1","Medical Welfare","20.9","164"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Medical Welfare","13.5","229"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Medical Welfare","10.1","141"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Asian/Asian British: Other","ONS 18+1","Medical Welfare","15.3","204"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Medical Welfare","17.2","393"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Medical Welfare","10.3","442"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Medical Welfare","11.9","129"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Medical Welfare","17.6","25"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Other Ethnic group: Other","ONS 18+1","Medical Welfare","13.5","212"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Medical Welfare","16.9","28"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Other Ethnic group: Arab","ONS 18+1","Medical Welfare","11.2","73"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Hardship","14.6","9931"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","White: Irish","ONS 18+1","Hardship","15.2","77"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","White: Other","ONS 18+1","Hardship","12.2","447"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Hardship","14.1","202"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Mixed: White & Black African","ONS 18+1","Hardship","14.1","72"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Mixed: White & Asian","ONS 18+1","Hardship","20.1","76"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Mixed: Other","ONS 18+1","Hardship","13.7","94"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Asian/Asian British: Indian","ONS 18+1","Hardship","12.9","101"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Hardship","14.1","241"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Hardship","9.4","131"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Asian/Asian British: Other","ONS 18+1","Hardship","12.1","161"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Hardship","13.2","301"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Hardship","11.7","501"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Hardship","10.2","111"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Hardship","21.3","31"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Other Ethnic group: Other","ONS 18+1","Hardship","24.9","391"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Hardship","13.4","22"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Other Ethnic group: Arab","ONS 18+1","Hardship","16.8","110"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Multiple reasons","2.1","1392"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","White: Irish","ONS 18+1","Multiple reasons","4.6","24"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","White: Other","ONS 18+1","Multiple reasons","4.6","169"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Multiple reasons","5.3","75"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Mixed: White & Black African","ONS 18+1","Multiple reasons","3.7","19"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Mixed: White & Asian","ONS 18+1","Multiple reasons","4.6","18"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Mixed: Other","ONS 18+1","Multiple reasons","4.2","29"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Asian/Asian British: Indian","ONS 18+1","Multiple reasons","2.6","21"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Multiple reasons","4.5","77"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Multiple reasons","4.1","57"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Asian/Asian British: Other","ONS 18+1","Multiple reasons","4.1","55"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Multiple reasons","5.4","122"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Multiple reasons","6.1","262"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Multiple reasons","8.3","90"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Multiple reasons","2.3","3"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Other Ethnic group: Other","ONS 18+1","Multiple reasons","3.1","49"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Multiple reasons","13.6","22"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Other Ethnic group: Arab","ONS 18+1","Multiple reasons","3.5","23"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Asian","ONS 5+1 2011","Homelessness","40.7","2181"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Black","ONS 5+1 2011","Homelessness","42.7","3266"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Mixed","ONS 5+1 2011","Homelessness","43.4","1305"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Other","ONS 5+1 2011","Homelessness","42","934"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","White","ONS 5+1 2011","Homelessness","35","25272"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Asian","ONS 5+1 2011","Insanitary/Unsatisfactory Housing","28.6","1531"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Black","ONS 5+1 2011","Insanitary/Unsatisfactory Housing","26.6","2039"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Mixed","ONS 5+1 2011","Insanitary/Unsatisfactory Housing","23.1","695"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Other","ONS 5+1 2011","Insanitary/Unsatisfactory Housing","19.4","432"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","White","ONS 5+1 2011","Insanitary/Unsatisfactory Housing","20.4","14702"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Asian","ONS 5+1 2011","Medical Welfare","14.3","763"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Black","ONS 5+1 2011","Medical Welfare","12.6","964"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Mixed","ONS 5+1 2011","Medical Welfare","14","421"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Other","ONS 5+1 2011","Medical Welfare","12.8","285"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","White","ONS 5+1 2011","Medical Welfare","27.9","20184"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Asian","ONS 5+1 2011","Hardship","12.4","665"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Black","ONS 5+1 2011","Hardship","11.9","913"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Mixed","ONS 5+1 2011","Hardship","14.8","444"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Other","ONS 5+1 2011","Hardship","22.5","502"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","White","ONS 5+1 2011","Hardship","14.5","10478"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Asian","ONS 5+1 2011","Multiple reasons","4","213"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Black","ONS 5+1 2011","Multiple reasons","6.2","475"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Mixed","ONS 5+1 2011","Multiple reasons","4.7","141"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Other","ONS 5+1 2011","Multiple reasons","3.2","72"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","White","ONS 5+1 2011","Multiple reasons","2.2","1607"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","All","All","Homelessness","36.4","32957"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","All","All","Insanitary/Unsatisfactory Housing","21.4","19400"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","All","All","Medical Welfare","25","22618"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","All","All","Hardship","14.4","13001"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","All","All","Multiple reasons","2.8","2507"
