"Title","Prosecutions and convictions"
"Location","England and Wales"
"Time period","2009 to 2016"
"Data source","Ministry of Justice"
"Data source link","https://www.gov.uk/government/collections/criminal-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-09-11"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Gender","Gender_type","Age Group","Age Group Type","Value","Denominator","Numerator"
"Percentage of defendants convicted","2009","Year","Other","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","78.2","665","520"
"Percentage of defendants convicted","2009","Year","Mixed","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","69.6","1334","928"
"Percentage of defendants convicted","2009","Year","Not stated","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","83.8","9407","7882"
"Percentage of defendants convicted","2009","Year","White","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","79.6","37708","30011"
"Percentage of defendants convicted","2009","Year","Asian","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","71.6","1174","840"
"Percentage of defendants convicted","2009","Year","Black","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","76","3888","2953"
"Percentage of defendants convicted","2009","Year","Other","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","77.4","729","564"
"Percentage of defendants convicted","2009","Year","Mixed","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","70.3","1738","1221"
"Percentage of defendants convicted","2009","Year","Not stated","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","83.6","10324","8626"
"Percentage of defendants convicted","2009","Year","White","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","79.6","43722","34801"
"Percentage of defendants convicted","2009","Year","Asian","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","75.5","98","74"
"Percentage of defendants convicted","2009","Year","Black","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","79.6","582","463"
"Percentage of defendants convicted","2009","Year","Other","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","68.8","64","44"
"Percentage of defendants convicted","2009","Year","Mixed","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","72.5","404","293"
"Percentage of defendants convicted","2009","Year","Not stated","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","81.1","917","744"
"Percentage of defendants convicted","2009","Year","White","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","79.6","6014","4790"
"Percentage of defendants convicted","2009","Year","Asian","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","72.1","15751","11351"
"Percentage of defendants convicted","2009","Year","Black","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","72.7","23667","17214"
"Percentage of defendants convicted","2009","Year","Other","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","73.9","4007","2960"
"Percentage of defendants convicted","2009","Year","Mixed","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","71","7471","5306"
"Percentage of defendants convicted","2009","Year","Not stated","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","97.2","35012","34045"
"Percentage of defendants convicted","2009","Year","White","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","78.6","215488","169376"
"Percentage of defendants convicted","2009","Year","Asian","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","71.8","17964","12905"
"Percentage of defendants convicted","2009","Year","Black","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","72.3","28463","20577"
"Percentage of defendants convicted","2009","Year","Other","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","73.5","4387","3225"
"Percentage of defendants convicted","2009","Year","Mixed","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","71.2","9832","7001"
"Percentage of defendants convicted","2009","Year","Not stated","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","95.7","39112","37434"
"Percentage of defendants convicted","2009","Year","White","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","78.6","249942","196446"
"Percentage of defendants convicted","2009","Year","Asian","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","70.2","2213","1554"
"Percentage of defendants convicted","2009","Year","Black","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","70.1","4796","3363"
"Percentage of defendants convicted","2009","Year","Other","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","69.7","380","265"
"Percentage of defendants convicted","2009","Year","Mixed","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","71.8","2361","1695"
"Percentage of defendants convicted","2009","Year","Not stated","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","82.7","4100","3389"
"Percentage of defendants convicted","2009","Year","White","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","78.6","34454","27070"
"Percentage of defendants convicted","2009","Year","Asian","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","44.8","29","13"
"Percentage of defendants convicted","2009","Year","Black","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","46.9","81","38"
"Percentage of defendants convicted","2009","Year","Other","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","53.3","15","8"
"Percentage of defendants convicted","2009","Year","Mixed","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","65","20","13"
"Percentage of defendants convicted","2009","Year","Not stated","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","52.7","2550","1344"
"Percentage of defendants convicted","2009","Year","White","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","54.4","355","193"
"Percentage of defendants convicted","2009","Year","Asian","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","42.4","33","14"
"Percentage of defendants convicted","2009","Year","Black","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","50","102","51"
"Percentage of defendants convicted","2009","Year","Other","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","55.6","18","10"
"Percentage of defendants convicted","2009","Year","Mixed","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","68.2","22","15"
"Percentage of defendants convicted","2009","Year","Not stated","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","54.7","2793","1528"
"Percentage of defendants convicted","2009","Year","White","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","57.2","416","238"
"Percentage of defendants convicted","2009","Year","Asian","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","25","4","1"
"Percentage of defendants convicted","2009","Year","Black","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","61.9","21","13"
"Percentage of defendants convicted","2009","Year","Other","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","66.7","3","2"
"Percentage of defendants convicted","2009","Year","Mixed","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","NA","NA","2"
"Percentage of defendants convicted","2009","Year","Not stated","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","75.7","243","184"
"Percentage of defendants convicted","2009","Year","White","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","73.8","61","45"
"Percentage of defendants convicted","2010","Year","Asian","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","77.1","18165","14005"
"Percentage of defendants convicted","2010","Year","Black","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","77.6","28599","22183"
"Percentage of defendants convicted","2010","Year","Other","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","82.7","4817","3985"
"Percentage of defendants convicted","2010","Year","Mixed","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","76.3","10000","7626"
"Percentage of defendants convicted","2010","Year","Not stated","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","77.3","41589","32129"
"Percentage of defendants convicted","2010","Year","White","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","81.8","279130","228389"
"Percentage of defendants convicted","2010","Year","Asian","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","76.4","20557","15714"
"Percentage of defendants convicted","2010","Year","Black","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","76","34725","26403"
"Percentage of defendants convicted","2010","Year","Other","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","81.9","5235","4288"
"Percentage of defendants convicted","2010","Year","Mixed","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","75.3","12817","9645"
"Percentage of defendants convicted","2010","Year","Not stated","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","77.4","45600","35311"
"Percentage of defendants convicted","2010","Year","White","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","81.3","317998","258471"
"Percentage of defendants convicted","2010","Year","Asian","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","71.4","2392","1709"
"Percentage of defendants convicted","2010","Year","Black","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","68.9","6126","4220"
"Percentage of defendants convicted","2010","Year","Other","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","72.5","418","303"
"Percentage of defendants convicted","2010","Year","Mixed","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","71.7","2817","2019"
"Percentage of defendants convicted","2010","Year","Not stated","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","79.3","4011","3182"
"Percentage of defendants convicted","2010","Year","White","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","77.4","38868","30082"
"Percentage of defendants convicted","2010","Year","Asian","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","72.3","1201","868"
"Percentage of defendants convicted","2010","Year","Black","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","75.7","3599","2723"
"Percentage of defendants convicted","2010","Year","Other","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","78.2","716","560"
"Percentage of defendants convicted","2010","Year","Mixed","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","75.4","1507","1136"
"Percentage of defendants convicted","2010","Year","Not stated","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","76.9","8718","6706"
"Percentage of defendants convicted","2010","Year","White","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","80.8","41598","33630"
"Percentage of defendants convicted","2010","Year","Asian","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","72.6","1301","945"
"Percentage of defendants convicted","2010","Year","Black","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","74.4","4201","3127"
"Percentage of defendants convicted","2010","Year","Other","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","77.9","773","602"
"Percentage of defendants convicted","2010","Year","Mixed","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","75","1856","1392"
"Percentage of defendants convicted","2010","Year","Not stated","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","77","9408","7243"
"Percentage of defendants convicted","2010","Year","White","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","80.5","46948","37805"
"Percentage of defendants convicted","2010","Year","Asian","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","77","100","77"
"Percentage of defendants convicted","2010","Year","Black","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","67.1","602","404"
"Percentage of defendants convicted","2010","Year","Other","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","73.7","57","42"
"Percentage of defendants convicted","2010","Year","Mixed","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","73.4","349","256"
"Percentage of defendants convicted","2010","Year","Not stated","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","77.8","690","537"
"Percentage of defendants convicted","2010","Year","White","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","78","5350","4175"
"Percentage of defendants convicted","2010","Year","Asian","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","77.5","16931","13125"
"Percentage of defendants convicted","2010","Year","Black","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","77.9","24928","19430"
"Percentage of defendants convicted","2010","Year","Other","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","83.6","4092","3421"
"Percentage of defendants convicted","2010","Year","Mixed","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","76.4","8479","6482"
"Percentage of defendants convicted","2010","Year","Not stated","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","79.2","30156","23870"
"Percentage of defendants convicted","2010","Year","White","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","82","237287","194629"
"Percentage of defendants convicted","2010","Year","Asian","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","76.8","19221","14755"
"Percentage of defendants convicted","2010","Year","Black","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","76.3","30438","23236"
"Percentage of defendants convicted","2010","Year","Other","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","82.7","4453","3682"
"Percentage of defendants convicted","2010","Year","Mixed","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","75.3","10942","8242"
"Percentage of defendants convicted","2010","Year","Not stated","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","79.2","33278","26364"
"Percentage of defendants convicted","2010","Year","White","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","81.4","270756","220505"
"Percentage of defendants convicted","2010","Year","Asian","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","71.2","2290","1630"
"Percentage of defendants convicted","2010","Year","Black","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","69.1","5510","3806"
"Percentage of defendants convicted","2010","Year","Other","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","72.3","361","261"
"Percentage of defendants convicted","2010","Year","Mixed","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","71.5","2463","1760"
"Percentage of defendants convicted","2010","Year","Not stated","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","79.9","3122","2494"
"Percentage of defendants convicted","2010","Year","White","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","77.3","33469","25876"
"Percentage of defendants convicted","2010","Year","Asian","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","36.4","33","12"
"Percentage of defendants convicted","2010","Year","Black","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","41.7","72","30"
"Percentage of defendants convicted","2010","Year","Other","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","44.4","9","4"
"Percentage of defendants convicted","2010","Year","Mixed","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","57.1","14","8"
"Percentage of defendants convicted","2010","Year","Not stated","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","57.2","2715","1553"
"Percentage of defendants convicted","2010","Year","White","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","53.1","245","130"
"Percentage of defendants convicted","2010","Year","Asian","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","40","35","14"
"Percentage of defendants convicted","2010","Year","Black","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","46.5","86","40"
"Percentage of defendants convicted","2010","Year","Other","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","44.4","9","4"
"Percentage of defendants convicted","2010","Year","Mixed","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","57.9","19","11"
"Percentage of defendants convicted","2010","Year","Not stated","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","58.5","2914","1704"
"Percentage of defendants convicted","2010","Year","White","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","54.8","294","161"
"Percentage of defendants convicted","2010","Year","Asian","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","NA","NA","2"
"Percentage of defendants convicted","2010","Year","Black","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","71.4","14","10"
"Percentage of defendants convicted","2010","Year","Mixed","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","60","5","3"
"Percentage of defendants convicted","2010","Year","Not stated","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","75.9","199","151"
"Percentage of defendants convicted","2010","Year","White","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","63.3","49","31"
"Percentage of defendants convicted","2011","Year","Asian","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","78.8","17862","14067"
"Percentage of defendants convicted","2011","Year","Black","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","80.2","27744","22253"
"Percentage of defendants convicted","2011","Year","Other","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","82","4444","3646"
"Percentage of defendants convicted","2011","Year","Mixed","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","78.4","9815","7699"
"Percentage of defendants convicted","2011","Year","Not stated","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","73.7","41468","30581"
"Percentage of defendants convicted","2011","Year","White","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","83.5","273075","227894"
"Percentage of defendants convicted","2011","Year","Asian","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","78.1","20164","15750"
"Percentage of defendants convicted","2011","Year","Black","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","78.6","33826","26572"
"Percentage of defendants convicted","2011","Year","Other","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","81.1","4896","3969"
"Percentage of defendants convicted","2011","Year","Mixed","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","77.4","12581","9742"
"Percentage of defendants convicted","2011","Year","Not stated","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","73.9","45716","33792"
"Percentage of defendants convicted","2011","Year","White","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","82.8","305675","253227"
"Percentage of defendants convicted","2011","Year","Asian","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","73.1","2302","1683"
"Percentage of defendants convicted","2011","Year","Black","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","71","6082","4319"
"Percentage of defendants convicted","2011","Year","Other","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","71.5","452","323"
"Percentage of defendants convicted","2011","Year","Mixed","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","73.9","2766","2043"
"Percentage of defendants convicted","2011","Year","Not stated","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","75.6","4248","3211"
"Percentage of defendants convicted","2011","Year","White","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","77.7","32600","25333"
"Percentage of defendants convicted","2011","Year","Asian","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","71.8","1171","841"
"Percentage of defendants convicted","2011","Year","Black","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","81.4","3025","2463"
"Percentage of defendants convicted","2011","Year","Other","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","83.8","574","481"
"Percentage of defendants convicted","2011","Year","Mixed","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","76.6","1416","1084"
"Percentage of defendants convicted","2011","Year","Not stated","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","75.1","8369","6289"
"Percentage of defendants convicted","2011","Year","White","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","82.6","39849","32910"
"Percentage of defendants convicted","2011","Year","Asian","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","71.5","1268","906"
"Percentage of defendants convicted","2011","Year","Black","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","80.4","3470","2790"
"Percentage of defendants convicted","2011","Year","Other","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","82.2","636","523"
"Percentage of defendants convicted","2011","Year","Mixed","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","75.7","1795","1359"
"Percentage of defendants convicted","2011","Year","Not stated","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","75.4","8973","6762"
"Percentage of defendants convicted","2011","Year","White","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","82","44076","36133"
"Percentage of defendants convicted","2011","Year","Asian","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","67","97","65"
"Percentage of defendants convicted","2011","Year","Black","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","73.5","445","327"
"Percentage of defendants convicted","2011","Year","Other","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","67.7","62","42"
"Percentage of defendants convicted","2011","Year","Mixed","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","72.6","379","275"
"Percentage of defendants convicted","2011","Year","Not stated","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","78.3","604","473"
"Percentage of defendants convicted","2011","Year","White","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","76.2","4227","3223"
"Percentage of defendants convicted","2011","Year","Asian","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","79.3","16661","13212"
"Percentage of defendants convicted","2011","Year","Black","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","80.1","24672","19764"
