"Title","Reading, writing and maths attainments for children aged 7 to 11 by ethnicity and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 2 statistics https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","FSM","FSM_type","Value"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","Black","ONS 5+1","All","All/Male/Female","FSM","All/FSM/Non-FSM","42"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","Black - Caribbean","ONS 18+1","All","All/Male/Female","Non-FSM","All/FSM/Non-FSM","46"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","Chinese","ONS 18+1/5+1","All","All/Male/Female","FSM","All/FSM/Non-FSM","67"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","Chinese","ONS 18+1/5+1","All","All/Male/Female","Non-FSM","All/FSM/Non-FSM","71"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","Mixed - Any other","ONS 18+1","All","All/Male/Female","FSM","All/FSM/Non-FSM","41"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","Mixed - Any other","ONS 18+1","All","All/Male/Female","Non-FSM","All/FSM/Non-FSM","61"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","All","ONS 18+1","All","All/Male/Female","Non-FSM","All/FSM/Non-FSM","57"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","White","ONS 5+1","All","All/Male/Female","Non-FSM","All/FSM/Non-FSM","57"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Asian","ONS 18+1","All","All/Male/Female","FSM","All/FSM/Non-FSM","42"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Asian","ONS 18+1","All","All/Male/Female","Non-FSM","All/FSM/Non-FSM","68"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black African","ONS 18+1","All","All/Male/Female","FSM","All/FSM/Non-FSM","42"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black African","ONS 18+1","All","All/Male/Female","Non-FSM","All/FSM/Non-FSM","58"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black Caribbean","ONS 18+1","All","All/Male/Female","FSM","All/FSM/Non-FSM","34"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","Mixed","ONS 5+1","All","All/Male/Female","Non-FSM","All/FSM/Non-FSM","60"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black Caribbean","ONS 18+1","All","All/Male/Female","Non-FSM","All/FSM/Non-FSM","53"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","Other - Any other","ONS 18+1","All","All/Male/Female","FSM","All/FSM/Non-FSM","42"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","Other - Any other","ONS 18+1","All","All/Male/Female","Non-FSM","All/FSM/Non-FSM","52"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","White - Any other","ONS 18+1","All","All/Male/Female","FSM","All/FSM/Non-FSM","38"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","Asian","ONS 5+1","All","All/Male/Female","Non-FSM","All/FSM/Non-FSM","57"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","White - Any other","ONS 18+1","All","All/Male/Female","Non-FSM","All/FSM/Non-FSM","49"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","White - British","ONS 18+1","All","All/Male/Female","FSM","All/FSM/Non-FSM","32"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","White - British","ONS 18+1","All","All/Male/Female","Non-FSM","All/FSM/Non-FSM","58"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","White - Gypsy/Roma","ONS 18+1","All","All/Male/Female","FSM","All/FSM/Non-FSM","12"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","Black","ONS 5+1","All","All/Male/Female","Non-FSM","All/FSM/Non-FSM","54"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","White - Gypsy/Roma","ONS 18+1","All","All/Male/Female","Non-FSM","All/FSM/Non-FSM","13"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","White - Irish","ONS 18+1","All","All/Male/Female","FSM","All/FSM/Non-FSM","37"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","White - Irish","ONS 18+1","All","All/Male/Female","Non-FSM","All/FSM/Non-FSM","66"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","White - Traveller of Irish Heritage","ONS 18+1","All","All/Male/Female","FSM","All/FSM/Non-FSM","17"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","White - Traveller of Irish Heritage","ONS 18+1","All","All/Male/Female","Non-FSM","All/FSM/Non-FSM","24"
