"Title","Physical activity"
"Location","England"
"Time period","2015/16"
"Data source","Department for Digital, Culture, Media and Sport"
"Data source link","https://www.sportengland.org/research/active-lives-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-10"
"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Gender","Age Bracket","NS SEC","Physical Activity Level","Value","Value_type","Denominator (weighted)","Numerator (weighted)","Upper CI","Lower CI","Number of Respondents (unweighted)"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North East","Region","All","16+","All","Physically inactive","27.6","%","8757","2420","29.10%","26.30%","8305"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North East","Region","All","16+","All","Physically inactive","23.7","%","186","44","37.90%","13.70%","211"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North East","Region","All","16+","All","Physically inactive","30.7","%","205","63","43.80%","20.10%","152"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North East","Region","All","16+","All","Physically inactive","*","%","*","*","*","*","30"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North East","Region","All","16+","All","Physically inactive","*","%","*","*","*","*","49"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North East","Region","All","16+","All","Physically inactive","*","%","*","*","*","*","51"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North East","Region","All","16+","All","Physically inactive","*","%","*","*","*","*","39"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North West","Region","All","16+","All","Physically inactive","27.2","%","25691","6980","28.00%","26.40%","28223"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North West","Region","All","16+","All","Physically inactive","26.6","%","21865","5807","27.40%","25.70%","24794"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North West","Region","All","16+","All","Physically inactive","20.7","%","870","180","24.50%","17.30%","904"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North West","Region","All","16+","All","Physically inactive","31.4","%","1350","424","35.60%","27.60%","973"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North West","Region","All","16+","All","Physically inactive","35","%","297","104","43.40%","27.50%","253"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North West","Region","All","16+","All","Physically inactive","46.3","%","177","82","57.20%","35.70%","153"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North West","Region","All","16+","All","Physically inactive","24.7","%","269","66","34.00%","17.30%","219"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North West","Region","All","16+","All","Physically inactive","37.9","%","166","63","47.40%","29.10%","173"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South East","Region","All","16+","All","Physically inactive","23.4","%","32052","7513","24.10%","22.80%","36302"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South East","Region","All","16+","All","Physically inactive","23.1","%","26984","6225","23.70%","22.40%","30877"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South East","Region","All","16+","All","Physically inactive","24","%","1610","386","26.80%","21.40%","1945"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South East","Region","All","16+","All","Physically inactive","27.6","%","1307","360","31.50%","23.90%","1219"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South East","Region","All","16+","All","Physically inactive","23.4","%","338","79","30.80%","17.30%","317"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South East","Region","All","16+","All","Physically inactive","22.3","%","174","39","32.30%","14.70%","176"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South East","Region","All","16+","All","Physically inactive","13.3","%","431","57","18.60%","9.40%","369"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South East","Region","All","16+","All","Physically inactive","34.8","%","250","87","43.40%","27.00%","250"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South West","Region","All","16+","All","Physically inactive","22.5","%","19953","4486","23.30%","21.70%","22405"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South West","Region","All","16+","All","Physically inactive","22.3","%","18026","4018","23.20%","21.40%","20438"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South West","Region","All","16+","All","Physically inactive","19.2","%","721","138","23.20%","15.70%","764"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South West","Region","All","16+","All","Physically inactive","24.2","%","265","64","32.10%","17.70%","220"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South West","Region","All","16+","All","Physically inactive","37.9","%","121","46","53.30%","24.60%","96"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South West","Region","All","16+","All","Physically inactive","*","%","*","*","*","*","61"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South West","Region","All","16+","All","Physically inactive","*","%","*","*","*","*","153"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South West","Region","All","16+","All","Physically inactive","*","%","*","*","*","*","80"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","West Midlands","Region","All","16+","All","Physically inactive","28.4","%","20447","5812","29.40%","27.50%","19341"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","West Midlands","Region","All","16+","All","Physically inactive","27.5","%","15980","4397","28.50%","26.50%","16535"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","West Midlands","Region","All","16+","All","Physically inactive","26.9","%","705","190","32.30%","22.10%","604"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","West Midlands","Region","All","16+","All","Physically inactive","33.2","%","2022","671","37.40%","29.20%","1029"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","West Midlands","Region","All","16+","All","Physically inactive","30.5","%","531","162","40.70%","21.80%","295"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","West Midlands","Region","All","16+","All","Physically inactive","*","%","*","*","*","*","63"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","West Midlands","Region","All","16+","All","Physically inactive","20.5","%","276","57","30.40%","13.30%","162"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","West Midlands","Region","All","16+","All","Physically inactive","*","%","*","*","*","*","103"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","Yorkshire","Region","All","16+","All","Physically inactive","27.7","%","5357","5357","28.80%","26.60%","15158"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","Yorkshire","Region","All","16+","All","Physically inactive","27.1","%","16554","4489","28.30%","26.00%","13614"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","Yorkshire","Region","All","16+","All","Physically inactive","26.4","%","538","142","32.90%","20.80%","400"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","Yorkshire","Region","All","16+","All","Physically inactive","31.5","%","1153","363","37.40%","26.10%","449"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","Yorkshire","Region","All","16+","All","Physically inactive","38.7","%","215","83","51.50%","27.30%","118"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","Yorkshire","Region","All","16+","All","Physically inactive","*","%","*","*","*","*","35"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","Yorkshire","Region","All","16+","All","Physically inactive","*","%","*","*","*","*","94"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","Yorkshire","Region","All","16+","All","Physically inactive","*","%","*","*","*","*","70"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-24","All","Physically inactive","14.7","%","27894","4111","15.60%","13.90%","13145"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-24","All","Physically inactive","12.5","%","19416","2432","13.40%","11.70%","9830"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-24","All","Physically inactive","13.5","%","1166","158","17.90%","10.10%","614"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-24","All","Physically inactive","22.2","%","3649","811","25.50%","19.20%","1212"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-24","All","Physically inactive","18.6","%","1111","207","24.00%","14.20%","388"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-24","All","Physically inactive","24.4","%","354","86","34.50%","16.50%","152"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-24","All","Physically inactive","15.3","%","1038","159","20.90%","11.00%","408"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-24","All","Physically inactive","*","%","*","*","*","*","140"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","25-34","All","Physically inactive","19.6","%","32522","6370","20.40%","18.80%","24481"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","25-34","All","Physically inactive","16.9","%","21985","3724","17.80%","16.10%","17691"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","25-34","All","Physically inactive","20.3","%","3662","744","22.80%","18.10%","2669"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","25-34","All","Physically inactive","29.9","%","3292","986","33.20%","26.90%","1800"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","25-34","All","Physically inactive","27.3","%","748","204","35.10%","20.60%","460"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","25-34","All","Physically inactive","32.1","%","435","140","41.30%","24.10%","272"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","25-34","All","Physically inactive","17.5","%","756","132","22.80%","13.30%","483"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","25-34","All","Physically inactive","26.6","%","552","147","34.30%","20.00%","299"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","35-44","All","Physically inactive","20.3","%","30550","6189","21.00%","19.60%","30895"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","35-44","All","Physically inactive","16.9","%","21330","3601","17.60%","16.20%","22976"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","35-44","All","Physically inactive","23.2","%","2579","599","25.60%","21.00%","2694"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","35-44","All","Physically inactive","33.1","%","3264","1080","36.10%","30.20%","2378"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","35-44","All","Physically inactive","26.1","%","894","234","31.10%","21.70%","663"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","35-44","All","Physically inactive","30.1","%","296","89","38.90%","22.50%","268"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","35-44","All","Physically inactive","16.3","%","494","80","21.50%","12.20%","418"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","35-44","All","Physically inactive","30.8","%","591","182","38.10%","24.30%","408"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","45-54","All","Physically inactive","22.2","%","33540","7461","22.90%","21.60%","34273"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","45-54","All","Physically inactive","21.2","%","27408","5808","21.90%","20.50%","28962"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","45-54","All","Physically inactive","23.1","%","1333","308","26.70%","19.90%","1541"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","45-54","All","Physically inactive","30.7","%","1851","568","34.60%","27.00%","1185"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","45-54","All","Physically inactive","27.3","%","1010","276","32.20%","22.90%","728"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","45-54","All","Physically inactive","31","%","177","55","41.10%","22.40%","176"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","45-54","All","Physically inactive","17.9","%","388","69","25.30%","12.30%","339"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","45-54","All","Physically inactive","34.2","%","368","126","44.00%","25.70%","254"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","55-64","All","Physically inactive","28.1","%","26876","7546","28.80%","27.40%","37699"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","55-64","All","Physically inactive","27.2","%","23540","6393","27.90%","26.40%","34000"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","55-64","All","Physically inactive","25","%","770","192","30.10%","20.50%","1081"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","55-64","All","Physically inactive","39.2","%","911","357","44.70%","33.90%","681"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","55-64","All","Physically inactive","40","%","468","187","47.20%","33.10%","380"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","55-64","All","Physically inactive","49","%","96","47","63.70%","34.50%","117"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","55-64","All","Physically inactive","32.5","%","164","53","42.20%","24.10%","195"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","55-64","All","Physically inactive","37","%","212","78","47.30%","27.70%","199"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","65-74","All","Physically inactive","30.9","%","24199","7478","31.50%","30.30%","37300"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","65-74","All","Physically inactive","30.3","%","22186","6718","30.90%","29.60%","34739"
