"Measure","Physical Activity Level","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography Code","Geography type","Gender","Gender_type","Age Bracket","Age Bracket type","NS SEC","NS SEC type","Value","Denominator","Numerator","Upper CI","Lower CI","Number of Respondents"
"Percentage of people at each activity level","Physically inactive","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Male","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","22.90%","5060","1161","25.00%","21.00%","3988"
"Percentage of people at each activity level","Physically inactive","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Male","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","27.60%","7600","2094","29.80%","25.40%","3787"
"Percentage of people at each activity level","Physically inactive","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Male","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","26.60%","2152","572","30.70%","22.80%","1149"
"Percentage of people at each activity level","Physically inactive","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Male","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","28.60%","700","200","34.70%","23.20%","437"
"Percentage of people at each activity level","Physically inactive","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Male","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","17.80%","1389","247","21.80%","14.30%","771"
"Percentage of people at each activity level","Physically inactive","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Male","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","28.80%","1182","341","34.00%","24.10%","664"
"Percentage of people at each activity level","Physically inactive","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Female","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","26.50%","97272","25780","26.90%","26.10%","107612"
"Percentage of people at each activity level","Physically inactive","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Female","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","26.00%","79620","20733","26.50%","25.60%","93117"
"Percentage of people at each activity level","Physically inactive","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Female","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","22.90%","5524","1267","24.60%","21.30%","5903"
"Percentage of people at each activity level","Physically inactive","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Female","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","34.20%","6213","2127","36.30%","32.20%","4183"
"Percentage of people at each activity level","Physically inactive","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Female","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","30.40%","2452","745","33.50%","27.40%","1750"
"Percentage of people at each activity level","Physically inactive","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Female","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","32.60%","725","237","39.00%","26.80%","617"
"Percentage of people at each activity level","Physically inactive","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Female","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","19.80%","1591","315","23.50%","16.60%","1207"
"Percentage of people at each activity level","Physically inactive","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Female","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","31.00%","1147","356","36.00%","26.50%","835"
"Percentage of people at each activity level","Physically inactive","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","East Midlands","E12000004","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","26.00%","16409","4263","26.80%","25.20%","21913"
"Percentage of people at each activity level","Physically inactive","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","East Midlands","E12000004","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","25.70%","14182","3642","26.50%","24.80%","19725"
"Percentage of people at each activity level","Physically inactive","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","East Midlands","E12000004","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","29.30%","724","212","34.60%","24.50%","784"
"Percentage of people at each activity level","Physically inactive","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","East Midlands","E12000004","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","28.90%","938","271","33.30%","24.90%","828"
"Percentage of people at each activity level","Physically inactive","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","East Midlands","E12000004","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","25.30%","188","48","35.80%","17.10%","205"
"Percentage of people at each activity level","Physically inactive","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","East Midlands","E12000004","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","85"
"Percentage of people at each activity level","Physically inactive","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","East Midlands","E12000004","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","174"
"Percentage of people at each activity level","Physically inactive","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","East Midlands","E12000004","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","27.00%","90","24","39.70%","17.30%","112"
"Percentage of people at each activity level","Physically inactive","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","East","E12000006","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","25.10%","21100","5294","25.90%","24.30%","25199"
"Percentage of people at each activity level","Physically inactive","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","East","E12000006","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","25.10%","18150","4556","25.90%","24.30%","22222"
"Percentage of people at each activity level","Physically inactive","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","East","E12000006","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","27.40%","1209","331","31.20%","24.00%","1431"
"Percentage of people at each activity level","Physically inactive","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","East","E12000006","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","23.90%","859","205","28.30%","20.10%","749"
"Percentage of people at each activity level","Physically inactive","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","East","E12000006","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","22.00%","331","73","29.20%","16.20%","299"
"Percentage of people at each activity level","Physically inactive","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","East","E12000006","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","30.70%","104","32","43.60%","20.30%","116"
"Percentage of people at each activity level","Physically inactive","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","East","E12000006","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","16.70%","286","48","24.70%","11.00%","238"
"Percentage of people at each activity level","Physically inactive","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","East","E12000006","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","30.30%","161","49","41.70%","20.90%","144"
"Percentage of people at each activity level","Physically inactive","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","London","E12000007","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","24.00%","28926","6954","25.00%","23.10%","18669"
"Percentage of people at each activity level","Physically inactive","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","London","E12000007","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","21.10%","13723","2892","22.20%","20.00%","10782"
"Percentage of people at each activity level","Physically inactive","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","London","E12000007","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","20.00%","4028","806","22.50%","17.80%","2855"
"Percentage of people at each activity level","Physically inactive","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","London","E12000007","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","31.60%","5728","1810","34.30%","29.00%","2365"
"Percentage of people at each activity level","Physically inactive","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","London","E12000007","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","28.10%","2566","721","31.50%","24.90%","1297"
"Percentage of people at each activity level","Physically inactive","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","London","E12000007","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","26.60%","587","156","33.50%","20.70%","319"
"Percentage of people at each activity level","Physically inactive","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","London","E12000007","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","18.60%","1111","207","23.20%","14.70%","522"
"Percentage of people at each activity level","Physically inactive","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","London","E12000007","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","30.60%","1184","362","36.40%","25.40%","529"
"Percentage of people at each activity level","Physically inactive","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North East","E12000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","27.70%","9347","2590","29.10%","26.30%","8837"
"Percentage of people at each activity level","Physically inactive","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North East","E12000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","27.60%","8757","2420","29.10%","26.30%","8305"
"Percentage of people at each activity level","Physically inactive","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North East","E12000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","23.70%","186","44","37.90%","13.70%","211"
"Percentage of people at each activity level","Physically inactive","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North East","E12000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","30.70%","205","63","43.80%","20.10%","152"
"Percentage of people at each activity level","Physically inactive","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North East","E12000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","30"
"Percentage of people at each activity level","Physically inactive","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North East","E12000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","49"
"Percentage of people at each activity level","Physically inactive","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North East","E12000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","51"
"Percentage of people at each activity level","Physically inactive","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North East","E12000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","39"
"Percentage of people at each activity level","Physically inactive","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North West","E12000002","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","26.90%","24994","6726","27.70%","26.10%","27469"
"Percentage of people at each activity level","Physically inactive","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North West","E12000002","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","26.60%","21865","5807","27.40%","25.70%","24794"
"Percentage of people at each activity level","Physically inactive","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North West","E12000002","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","20.70%","870","180","24.50%","17.30%","904"
"Percentage of people at each activity level","Physically inactive","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North West","E12000002","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","31.40%","1350","424","35.60%","27.60%","973"
"Percentage of people at each activity level","Physically inactive","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North West","E12000002","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","35.00%","297","104","43.40%","27.50%","253"
"Percentage of people at each activity level","Physically inactive","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North West","E12000002","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","46.30%","177","82","57.20%","35.70%","153"
"Percentage of people at each activity level","Physically inactive","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North West","E12000002","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","24.70%","269","66","34.00%","17.30%","219"
"Percentage of people at each activity level","Physically inactive","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North West","E12000002","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","37.90%","166","63","47.40%","29.10%","173"
"Percentage of people at each activity level","Physically inactive","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","South East","E12000008","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","23.30%","31095","7234","23.90%","22.60%","35153"
"Percentage of people at each activity level","Physically inactive","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","South East","E12000008","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","23.10%","26984","6225","23.70%","22.40%","30877"
"Percentage of people at each activity level","Physically inactive","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","South East","E12000008","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","24.00%","1610","386","26.80%","21.40%","1945"
"Percentage of people at each activity level","Physically inactive","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","South East","E12000008","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","27.60%","1307","360","31.50%","23.90%","1219"
"Percentage of people at each activity level","Physically inactive","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","South East","E12000008","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","23.40%","338","79","30.80%","17.30%","317"
"Percentage of people at each activity level","Physically inactive","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","South East","E12000008","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","22.30%","174","39","32.30%","14.70%","176"
"Percentage of people at each activity level","Physically inactive","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","South East","E12000008","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","13.30%","431","57","18.60%","9.40%","369"
"Percentage of people at each activity level","Physically inactive","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","South East","E12000008","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","34.80%","250","87","43.40%","27.00%","250"
"Percentage of people at each activity level","Physically inactive","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","South West","E12000009","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","22.30%","19496","4346","23.10%","21.50%","21812"
"Percentage of people at each activity level","Physically inactive","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","South West","E12000009","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","22.30%","18026","4018","23.20%","21.40%","20438"
"Percentage of people at each activity level","Physically inactive","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","South West","E12000009","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","19.20%","721","138","23.20%","15.70%","764"
"Percentage of people at each activity level","Physically inactive","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","South West","E12000009","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","24.20%","265","64","32.10%","17.70%","220"
"Percentage of people at each activity level","Physically inactive","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","South West","E12000009","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","37.90%","121","46","53.30%","24.60%","96"
"Percentage of people at each activity level","Physically inactive","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","South West","E12000009","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","61"
