"Title","Science attainment for children aged 5 to 7 by ethnicity and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","FSM","FSM_type","Value"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Other","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","73"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","All","DFE","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","84"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White","DFE","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","85"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - British","DFE","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","86"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - Irish","DFE","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","88"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - Traveller of Irish Heritage","DFE","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","52"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - Gypsy/Roma","DFE","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","42"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - Any other","DFE","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","78"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed","DFE","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","86"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed - White and Black Caribbean","DFE","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","83"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed - White and Black African","DFE","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","85"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed - White and Asian","DFE","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","89"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed - Any other","DFE","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","86"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian","DFE","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","83"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian - Indian","DFE","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","89"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian - Pakistani","DFE","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","78"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian - Bangladeshi","DFE","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","82"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian - Any other","DFE","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","86"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Black","DFE","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","83"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Black - Caribbean","DFE","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","81"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Black - African","DFE","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","84"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Black - Any other","DFE","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","82"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Chinese","DFE","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","88"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Other","DFE","Girls","All/Boys/Girls","All","All/FSM/Non-FSM","78"
