"Title","Science attainment for children aged 5 to 7 by ethnicity, gender and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Ethnicity type","Gender","Gender_type","FSM","FSM_type","Value","Value_type","Denominators","Breakdown"
"Chinese","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","83","%","1,415","Non-FSM Boys"
"Other","DFE","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","74","%","4,773","Non-FSM Boys"
"All","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","86","%","266,008","Non-FSM Girls"
"White","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","87","%","200,109","Non-FSM Girls"
"White - British","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","88","%","178,589","Non-FSM Girls"
"White - Irish","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","91","%","699","Non-FSM Girls"
"White - Traveller of Irish Heritage","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","54","%","101","Non-FSM Girls"
"White - Gypsy/Roma","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","39","%","799","Non-FSM Girls"
"White - Any other","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","79","%","19,921","Non-FSM Girls"
"Mixed","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","88","%","14,630","Non-FSM Girls"
"Mixed - White and Black Caribbean","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","86","%","3,399","Non-FSM Girls"
"Mixed - White and Black African","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","87","%","2,110","Non-FSM Girls"
"Mixed - White and Asian","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","90","%","3,653","Non-FSM Girls"
"Mixed - Any other","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","88","%","5,468","Non-FSM Girls"
"Asian","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","84","%","29,117","Non-FSM Girls"
"Asian - Indian","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","89","%","8,510","Non-FSM Girls"
"Asian - Pakistani","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","79","%","11,467","Non-FSM Girls"
"Asian - Bangladeshi","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","82","%","4,180","Non-FSM Girls"
"Asian - Any other","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","87","%","4,960","Non-FSM Girls"
"Black","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","85","%","13,044","Non-FSM Girls"
"Black - Caribbean","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","83","%","2,381","Non-FSM Girls"
"Black - African","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","86","%","8,950","Non-FSM Girls"
"Black - Any other","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","83","%","1,713","Non-FSM Girls"
"Chinese","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","88","%","1,335","Non-FSM Girls"
"Other","DFE","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","79","%","4,494","Non-FSM Girls"
