"Title","Number of arrests by ethnicity and area"
"Location","England and Wales"
"Time period","2006/2007 to 2015/2016"
"Data source","Arrests open data"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Gender","Gender_type","Age_Group","Age_Group_type","Geography","Geography_type","Number of arrests","Population by ethnicity, gender, and PFA (based on 2011 Census)","Value","Value2","Notes"
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Metropolitan Police","Police Force Area"," 11,575 "," 404,990 "," 28.58 ","6.28%",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Cleveland","Police Force Area"," 126 "," 4,434 "," 28.42 ","0.88%",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Staffordshire","Police Force Area"," 394 "," 14,095 "," 27.95 ","2.63%",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Lincolnshire","Police Force Area"," 79 "," 2,839 "," 27.83 ","0.91%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","North Yorkshire","Police Force Area"," 97 "," 3,618 "," 26.81 ","0.97%",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Bedfordshire","Police Force Area"," 494 "," 18,456 "," 26.77 ","5.09%",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","West Yorkshire","Police Force Area"," 1,278 "," 48,126 "," 26.56 ","3.43%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","West Midlands","Police Force Area"," 4,332 "," 164,069 "," 26.40 ","11.91%",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Durham","Police Force Area"," 80 "," 3,030 "," 26.40 ","0.71%",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Cleveland","Police Force Area"," 14,316 "," 557,227 "," 25.69 ","100.00%",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Cleveland","Police Force Area"," 13,484 "," 526,456 "," 25.61 ","94.26%",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Staffordshire","Police Force Area"," 853 "," 35,148 "," 24.27 ","5.68%",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Merseyside","Police Force Area"," 503 "," 20,954 "," 24.00 ","1.80%",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","South Wales","Police Force Area"," 423 "," 17,762 "," 23.81 ","1.66%",""
"Number of arrests","2015/16","Financial Year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","All","Police Force Area"," 29,146 "," 1,224,400 ","23.80","3.43%",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Nottinghamshire","Police Force Area"," 1,134 "," 48,248 "," 23.50 ","4.80%",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Metropolitan Police","Police Force Area"," 190,195 "," 8,166,566 "," 23.29 ","100.00%",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Gwent","Police Force Area"," 125 "," 5,547 "," 22.53 ","1.54%",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","West Midlands","Police Force Area"," 2,142 "," 96,204 "," 22.27 ","5.89%",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Cleveland","Police Force Area"," 384 "," 17,419 "," 22.04 ","2.68%",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","West Mercia","Police Force Area"," 477 "," 21,715 "," 21.97 ","3.70%",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Nottinghamshire","Police Force Area"," 23,927 "," 1,091,482 "," 21.92 ","100.00%",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","North Wales","Police Force Area"," 15,045 "," 687,937 "," 21.87 ","100.00%",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Northamptonshire","Police Force Area"," 310 "," 14,182 "," 21.86 ","3.12%",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","North Wales","Police Force Area"," 14,616 "," 670,704 "," 21.79 ","97.86%",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Greater Manchester","Police Force Area"," 1,304 "," 60,710 "," 21.48 ","3.44%",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Wiltshire","Police Force Area"," 210 "," 9,794 "," 21.44 ","3.09%",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Gwent","Police Force Area"," 75 "," 3,569 "," 21.01 ","0.93%",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","South Wales","Police Force Area"," 26,701 "," 1,283,651 "," 20.80 ","100.00%",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Warwickshire","Police Force Area"," 164 "," 7,949 "," 20.63 ","3.10%",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Merseyside","Police Force Area"," 28,339 "," 1,381,189 "," 20.52 ","100.00%",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Cambridgeshire","Police Force Area"," 806 "," 39,535 "," 20.39 ","7.49%",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Cumbria","Police Force Area"," 59 "," 2,913 "," 20.25 ","0.86%",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Nottinghamshire","Police Force Area"," 19,471 "," 969,501 "," 20.08 ","82.35%",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Gwent","Police Force Area"," 201 "," 10,076 "," 19.95 ","2.48%",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Sussex","Police Force Area"," 599 "," 30,036 "," 19.94 ","3.13%",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Merseyside","Police Force Area"," 25,966 "," 1,305,303 "," 19.89 ","93.05%",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","South Wales","Police Force Area"," 23,575 "," 1,198,458 "," 19.67 ","92.64%",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","West Mercia","Police Force Area"," 262 "," 13,466 "," 19.46 ","2.03%",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Suffolk","Police Force Area"," 241 "," 12,472 "," 19.32 ","3.34%",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Northumbria","Police Force Area"," 27,276 "," 1,420,853 "," 19.20 ","100.00%",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Northumbria","Police Force Area"," 25,700 "," 1,343,747 "," 19.13 ","95.00%",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Durham","Police Force Area"," 81 "," 4,240 "," 19.10 ","0.72%",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Dorset","Police Force Area"," 181 "," 9,507 "," 19.04 ","1.71%",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Dorset","Police Force Area"," 113 "," 5,995 "," 18.85 ","1.07%",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Essex","Police Force Area"," 647 "," 34,679 "," 18.66 ","7.05%",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Norfolk","Police Force Area"," 187 "," 10,027 "," 18.65 ","1.85%",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Metropolitan Police","Police Force Area"," 90,494 "," 4,881,636 "," 18.54 ","49.10%",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Staffordshire","Police Force Area"," 136 "," 7,376 "," 18.44 ","0.91%",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Lancashire","Police Force Area"," 300 "," 16,300 "," 18.40 ","1.35%",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Thames Valley","Police Force Area"," 3,519 "," 192,541 "," 18.28 ","9.88%",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Durham","Police Force Area"," 11,245 "," 618,806 "," 18.17 ","100.00%",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Metropolitan Police","Police Force Area"," 25,141 "," 1,386,619 "," 18.13 ","13.64%",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Northumbria","Police Force Area"," 678 "," 37,782 "," 17.95 ","2.51%",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","West Yorkshire","Police Force Area"," 5,026 "," 280,764 "," 17.90 ","13.47%",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Hampshire","Police Force Area"," 553 "," 30,905 "," 17.89 ","2.49%",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Durham","Police Force Area"," 10,818 "," 605,364 "," 17.87 ","96.63%",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Derbyshire","Police Force Area"," 652 "," 36,871 "," 17.68 ","4.26%",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Bedfordshire","Police Force Area"," 1,439 "," 81,480 "," 17.66 ","14.83%",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Metropolitan Police","Police Force Area"," 7,143 "," 404,874 "," 17.64 ","3.88%",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Kent","Police Force Area"," 481 "," 27,283 "," 17.63 ","2.26%",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","West Yorkshire","Police Force Area"," 39,223 "," 2,226,058 "," 17.62 ","100.00%",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Hertfordshire","Police Force Area"," 19,622 "," 1,116,062 "," 17.58 ","100.00%",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Merseyside","Police Force Area"," 331 "," 18,851 "," 17.56 ","1.19%",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Lincolnshire","Police Force Area"," 95 "," 5,579 "," 17.03 ","1.09%",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Cumbria","Police Force Area"," 27 "," 1,605 "," 16.82 ","0.39%",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Thames Valley","Police Force Area"," 37,809 "," 2,269,772 "," 16.66 ","100.00%",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Norfolk","Police Force Area"," 14,272 "," 857,888 "," 16.64 ","100.00%",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Avon & Somerset","Police Force Area"," 547 "," 33,005 "," 16.57 ","2.23%",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Nottinghamshire","Police Force Area"," 252 "," 15,465 "," 16.29 ","1.07%",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","West Yorkshire","Police Force Area"," 29,103 "," 1,819,818 "," 15.99 ","78.01%",""
"Number of arrests","2015/16","Financial Year","All","All","All","All","All","Arrest age group categories","All","Police Force Area"," 896,209 "," 56,075,912 ","15.98","100.00%",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Bedfordshire","Police Force Area"," 9,783 "," 615,061 "," 15.91 ","100.00%",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Cheshire","Police Force Area"," 83 "," 5,230 "," 15.87 ","0.60%",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Dorset","Police Force Area"," 169 "," 10,694 "," 15.80 ","1.60%",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Cleveland","Police Force Area"," 90 "," 5,762 "," 15.62 ","0.63%",""
"Number of arrests","2015/16","Financial Year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","All","Police Force Area"," 59,665 "," 3,820,390 ","15.62","7.03%",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Merseyside","Police Force Area"," 336 "," 21,529 "," 15.61 ","1.20%",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Avon & Somerset","Police Force Area"," 24,918 "," 1,599,555 "," 15.58 ","100.00%",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Lancashire","Police Force Area"," 22,699 "," 1,460,893 "," 15.54 ","100.00%",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Gloucestershire","Police Force Area"," 134 "," 8,661 "," 15.47 ","2.59%",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Hertfordshire","Police Force Area"," 991 "," 64,119 "," 15.46 ","5.37%",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Lancashire","Police Force Area"," 20,374 "," 1,320,035 "," 15.43 ","91.80%",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Hertfordshire","Police Force Area"," 14,821 "," 977,495 "," 15.16 ","80.33%",""
"Number of arrests","2015/16","Financial Year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","All","Police Force Area"," 14,443 "," 956,837 ","15.09","1.70%",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Cheshire","Police Force Area"," 193 "," 12,794 "," 15.09 ","1.39%",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Derbyshire","Police Force Area"," 15,323 "," 1,018,438 "," 15.05 ","100.00%",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Bedfordshire","Police Force Area"," 131 "," 8,753 "," 14.97 ","1.35%",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Surrey","Police Force Area"," 352 "," 23,554 "," 14.94 ","3.23%",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","South Wales","Police Force Area"," 535 "," 35,804 "," 14.94 ","2.10%",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Dorset","Police Force Area"," 11,067 "," 744,041 "," 14.87 ","100.00%",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Sussex","Police Force Area"," 242 "," 16,352 "," 14.80 ","1.26%",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Devon & Cornwall","Police Force Area"," 173 "," 11,694 "," 14.79 ","1.13%",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Leicestershire","Police Force Area"," 302 "," 20,520 "," 14.72 ","3.12%",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Derbyshire","Police Force Area"," 13,936 "," 949,845 "," 14.67 ","91.06%",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","North Yorkshire","Police Force Area"," 11,677 "," 796,427 "," 14.66 ","100.00%",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Greater Manchester","Police Force Area"," 39,075 "," 2,682,528 "," 14.57 ","100.00%",""
