"Measure","Ethnicity","Ethnicity_Type","Time","Time_Type","Geography","Geography_Code","Gender","Value","Value_Type","Denominator"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Mixed: Other Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","106","Numeric","5333"
"Average scaled score in key stage 2 grammar, punctuation and spelling","White: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","104","Numeric","427474"
"Average scaled score in key stage 2 grammar, punctuation and spelling","White: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","103","Numeric","216310"
"Average scaled score in key stage 2 grammar, punctuation and spelling","White: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","105","Numeric","211164"
"Average scaled score in key stage 2 grammar, punctuation and spelling","White: British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","104","Numeric","394627"
"Average scaled score in key stage 2 grammar, punctuation and spelling","White: British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","103","Numeric","199622"
"Average scaled score in key stage 2 grammar, punctuation and spelling","White: British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","105","Numeric","195005"
"Average scaled score in key stage 2 grammar, punctuation and spelling","White: Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","105","Numeric","1660"
"Average scaled score in key stage 2 grammar, punctuation and spelling","White: Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","104","Numeric","841"
"Average scaled score in key stage 2 grammar, punctuation and spelling","White: Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","107","Numeric","819"
"Average scaled score in key stage 2 grammar, punctuation and spelling","White: Traveller of Irish Heritage","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","97","Numeric","351"
"Average scaled score in key stage 2 grammar, punctuation and spelling","White: Traveller of Irish Heritage","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","96","Numeric","179"
"Average scaled score in key stage 2 grammar, punctuation and spelling","White: Traveller of Irish Heritage","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","99","Numeric","172"
"Average scaled score in key stage 2 grammar, punctuation and spelling","White: Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","95","Numeric","1515"
"Average scaled score in key stage 2 grammar, punctuation and spelling","White: Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","94","Numeric","766"
"Average scaled score in key stage 2 grammar, punctuation and spelling","White: Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","96","Numeric","749"
"Average scaled score in key stage 2 grammar, punctuation and spelling","White: Other White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","103","Numeric","29321"
"Average scaled score in key stage 2 grammar, punctuation and spelling","White: Other White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","103","Numeric","14902"
"Average scaled score in key stage 2 grammar, punctuation and spelling","White: Other White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","104","Numeric","14419"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","105","Numeric","9696"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","104","Numeric","4873"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","105","Numeric","4823"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","103","Numeric","4139"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","102","Numeric","2141"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","104","Numeric","1998"
"Average scaled score in key stage 2 grammar, punctuation and spelling","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","106","Numeric","579555"
"Average scaled score in key stage 2 grammar, punctuation and spelling","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","105","Numeric","293067"
"Average scaled score in key stage 2 grammar, punctuation and spelling","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","107","Numeric","286488"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","108","Numeric","63077"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","107","Numeric","32061"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","109","Numeric","31016"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","109","Numeric","10338"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","108","Numeric","5208"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","109","Numeric","5130"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian: Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","110","Numeric","16691"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian: Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","109","Numeric","8523"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian: Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","111","Numeric","8168"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian: Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","107","Numeric","25853"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian: Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","106","Numeric","13095"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian: Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","108","Numeric","12758"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian: Other Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","109","Numeric","10195"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian: Other Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","109","Numeric","5235"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian: Other Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","110","Numeric","4960"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","107","Numeric","34229"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","106","Numeric","17103"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","108","Numeric","17126"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black: African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","108","Numeric","22655"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black: African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","107","Numeric","11282"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black: African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","109","Numeric","11373"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black: Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","105","Numeric","7040"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black: Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","104","Numeric","3536"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black: Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","106","Numeric","3504"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black: Other Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","107","Numeric","4534"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black: Other Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","106","Numeric","2285"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black: Other Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","107","Numeric","2249"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","110","Numeric","2214"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","110","Numeric","1101"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","111","Numeric","1113"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Mixed: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","107","Numeric","32046"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Mixed: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","106","Numeric","15978"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Mixed: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","108","Numeric","16068"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Mixed: White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","108","Numeric","7463"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Mixed: White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","107","Numeric","3862"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Mixed: White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","109","Numeric","3601"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Mixed:White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","106","Numeric","4166"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Mixed:White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","106","Numeric","2033"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Mixed:White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","107","Numeric","2133"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Mixed: White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","105","Numeric","8680"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Mixed: White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","104","Numeric","4221"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Mixed: White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","106","Numeric","4459"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Mixed: Other Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","107","Numeric","11737"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Mixed: Other Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","106","Numeric","5862"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Mixed: Other Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","108","Numeric","5875"
"Average scaled score in key stage 2 grammar, punctuation and spelling","White: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","105","Numeric","433286"
"Average scaled score in key stage 2 grammar, punctuation and spelling","White: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","105","Numeric","219293"
"Average scaled score in key stage 2 grammar, punctuation and spelling","White: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","106","Numeric","213993"
"Average scaled score in key stage 2 grammar, punctuation and spelling","White: British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","106","Numeric","397258"
"Average scaled score in key stage 2 grammar, punctuation and spelling","White: British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","105","Numeric","201017"
"Average scaled score in key stage 2 grammar, punctuation and spelling","White: British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","106","Numeric","196241"
"Average scaled score in key stage 2 grammar, punctuation and spelling","White: Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","107","Numeric","1535"
"Average scaled score in key stage 2 grammar, punctuation and spelling","White: Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","107","Numeric","782"
"Average scaled score in key stage 2 grammar, punctuation and spelling","White: Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","108","Numeric","753"
"Average scaled score in key stage 2 grammar, punctuation and spelling","White: Traveller of Irish Heritage","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","98","Numeric","375"
"Average scaled score in key stage 2 grammar, punctuation and spelling","White: Traveller of Irish Heritage","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","97","Numeric","183"
"Average scaled score in key stage 2 grammar, punctuation and spelling","White: Traveller of Irish Heritage","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","99","Numeric","192"
"Average scaled score in key stage 2 grammar, punctuation and spelling","White: Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","97","Numeric","1769"
"Average scaled score in key stage 2 grammar, punctuation and spelling","White: Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","95","Numeric","834"
"Average scaled score in key stage 2 grammar, punctuation and spelling","White: Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","98","Numeric","935"
"Average scaled score in key stage 2 grammar, punctuation and spelling","White: Other White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","105","Numeric","32349"
"Average scaled score in key stage 2 grammar, punctuation and spelling","White: Other White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","105","Numeric","16477"
"Average scaled score in key stage 2 grammar, punctuation and spelling","White: Other White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","106","Numeric","15872"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","107","Numeric","10199"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","106","Numeric","5268"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","107","Numeric","4931"
