"Title","Writing attainments for children aged 5 to 7 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","12/1/17"

"","All","Asian","Black","Chinese","Mixed","White"
"Wandsworth","76","80","71","80","70","80"
"Warrington","71","73","75","!","75","71"
"Warwickshire","67","79","66","84","70","66"
"West Berkshire","65","83","85","!","72","64"
"West Sussex","53","64","49","69","57","52"
"Westminster","70","74","79","80","74","70"
"Wigan","67","72","74","58","73","67"
"Wiltshire","63","74","70","84","72","63"
"Windsor and Maidenhead","72","73","67","!","75","72"
"Wirral","62","77","33","48","71","62"
"Wokingham","69","79","74","81","75","67"
"Wolverhampton","62","66","72","58","63","59"
"Worcestershire","61","53","56","67","64","62"
"York","63","57","!","43","67","64"
