"Title","Well-being: Life satisfaction"
"Location","UK"
"Time period","2012 to 2016"
"Data source","Office for National Statistics"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/datasets/measuringnationalwellbeinglifesatisfaction"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"
"Measure","Year","Ethnicity","Sex","NS-SEC","Threshold","Mean","Percentage","Upper Confidence Interval","Lower Confidence Interval","Sample Size"
"Life Satisfaction","2013","Other ethnic group","All","All","All","7.36","N/A","7.49","7.22","1350"
"Life Satisfaction","2014","Other ethnic group","All","All","All","7.5","N/A","7.6","7.39","1350"
"Life Satisfaction","2015","Other ethnic group","All","All","All","7.48","N/A","7.61","7.35","1310"
"Life Satisfaction","2016","Other ethnic group","All","All","All","7.64","N/A","7.77","7.52","1220"
"Life Satisfaction","2012","Pakistani","All","All","All","7.28","N/A","7.42","7.14","1560"
"Life Satisfaction","2013","Pakistani","All","All","All","7.37","N/A","7.49","7.24","1540"
"Life Satisfaction","2014","Pakistani","All","All","All","7.47","N/A","7.59","7.36","1660"
"Life Satisfaction","2015","Pakistani","All","All","All","7.63","N/A","7.75","7.52","1540"
"Life Satisfaction","2016","Pakistani","All","All","All","7.68","N/A","7.81","7.56","1560"
"Life Satisfaction","2012","All","All","All","All","7.45","N/A","7.46","7.44","165810"
"Life Satisfaction","2013","All","All","All","All","7.49","N/A","7.51","7.48","165570"
"Life Satisfaction","2014","All","All","All","All","7.58","N/A","7.6","7.57","165130"
"Life Satisfaction","2015","All","All","All","All","7.65","N/A","7.66","7.64","160660"
"Life Satisfaction","2016","All","All","All","All","7.67","N/A","7.68","7.66","149980"
"Life Satisfaction","2012","White","All","All","All","7.48","N/A","7.49","7.47","153390"
"Life Satisfaction","2013","White","All","All","All","7.52","N/A","7.53","7.5","153220"
"Life Satisfaction","2014","White","All","All","All","7.6","N/A","7.62","7.59","152250"
"Life Satisfaction","2015","White","All","All","All","7.67","N/A","7.68","7.66","148100"
"Life Satisfaction","2016","White","All","All","All","7.69","N/A","7.7","7.67","137810"
"Life Satisfaction","2012","Arab","All","All","High (7-8)","N/A","42.9","50.68","35.13","-"
"Life Satisfaction","2012","Arab","All","All","Low (0-4)","N/A","10.33","14.18","6.47","-"
"Life Satisfaction","2012","Arab","All","All","Medium (5-6)","N/A","24.38","30.48","18.27","-"
"Life Satisfaction","2012","Arab","All","All","Very High (9-10)","N/A","22.39","27.81","16.98","-"
"Life Satisfaction","2013","Arab","All","All","High (7-8)","N/A","42.81","49.29","36.33","-"
"Life Satisfaction","2013","Arab","All","All","Low (0-4)","N/A","?","?","?","-"
"Life Satisfaction","2013","Arab","All","All","Medium (5-6)","N/A","29.91","36.44","23.39","-"
"Life Satisfaction","2013","Arab","All","All","Very High (9-10)","N/A","22.33","27.8","16.86","-"
"Life Satisfaction","2014","Arab","All","All","High (7-8)","N/A","48.66","55","42.33","-"
"Life Satisfaction","2014","Arab","All","All","Low (0-4)","N/A","?","?","?","-"
"Life Satisfaction","2014","Arab","All","All","Medium (5-6)","N/A","21.8","27.1","16.51","-"
"Life Satisfaction","2014","Arab","All","All","Very High (9-10)","N/A","24.02","30.06","17.98","-"
"Life Satisfaction","2015","Arab","All","All","High (7-8)","N/A","52.16","58.86","45.47","-"
"Life Satisfaction","2015","Arab","All","All","Low (0-4)","N/A","?","?","?","-"
"Life Satisfaction","2015","Arab","All","All","Medium (5-6)","N/A","16.35","21.54","11.17","-"
"Life Satisfaction","2015","Arab","All","All","Very High (9-10)","N/A","26.52","32.15","20.88","-"
"Life Satisfaction","2016","Arab","All","All","High (7-8)","N/A","45.07","51.52","38.62","-"
"Life Satisfaction","2016","Arab","All","All","Low (0-4)","N/A","?","?","?","-"
"Life Satisfaction","2016","Arab","All","All","Medium (5-6)","N/A","15.47","19.65","11.29","-"
"Life Satisfaction","2016","Arab","All","All","Very High (9-10)","N/A","32.98","39.72","26.25","-"
"Life Satisfaction","2012","Bangladeshi","All","All","High (7-8)","N/A","39.83","45.04","34.62","-"
"Life Satisfaction","2012","Bangladeshi","All","All","Low (0-4)","N/A","6.15","8.37","3.93","-"
"Life Satisfaction","2012","Bangladeshi","All","All","Medium (5-6)","N/A","26.52","31.33","21.71","-"
"Life Satisfaction","2012","Bangladeshi","All","All","Very High (9-10)","N/A","27.5","32.12","22.88","-"
"Life Satisfaction","2013","Bangladeshi","All","All","High (7-8)","N/A","46.98","51.92","42.03","-"
"Life Satisfaction","2013","Bangladeshi","All","All","Low (0-4)","N/A","8.02","10.69","5.35","-"
"Life Satisfaction","2013","Bangladeshi","All","All","Medium (5-6)","N/A","18.78","22.66","14.9","-"
"Life Satisfaction","2013","Bangladeshi","All","All","Very High (9-10)","N/A","26.22","30.45","22","-"
"Life Satisfaction","2014","Bangladeshi","All","All","High (7-8)","N/A","46.68","51.99","41.36","-"
"Life Satisfaction","2014","Bangladeshi","All","All","Low (0-4)","N/A","?","?","?","-"
"Life Satisfaction","2014","Bangladeshi","All","All","Medium (5-6)","N/A","17.39","21.46","13.33","-"
"Life Satisfaction","2014","Bangladeshi","All","All","Very High (9-10)","N/A","30.9","35.78","26.02","-"
"Life Satisfaction","2015","Bangladeshi","All","All","High (7-8)","N/A","44.36","49.94","38.79","-"
"Life Satisfaction","2015","Bangladeshi","All","All","Low (0-4)","N/A","?","?","?","-"
"Life Satisfaction","2015","Bangladeshi","All","All","Medium (5-6)","N/A","17.92","21.68","14.16","-"
"Life Satisfaction","2015","Bangladeshi","All","All","Very High (9-10)","N/A","32.96","38.16","27.75","-"
"Life Satisfaction","2016","Bangladeshi","All","All","High (7-8)","N/A","43.67","48.65","38.69","-"
"Life Satisfaction","2016","Bangladeshi","All","All","Low (0-4)","N/A","?","?","?","-"
"Life Satisfaction","2016","Bangladeshi","All","All","Medium (5-6)","N/A","19.8","23.58","16.03","-"
"Life Satisfaction","2016","Bangladeshi","All","All","Very High (9-10)","N/A","30.57","35.41","25.72","-"
"Life Satisfaction","2012","Black / African / Caribbean / Black British","All","All","High (7-8)","N/A","41.1","43.2","39","-"
"Life Satisfaction","2012","Black / African / Caribbean / Black British","All","All","Low (0-4)","N/A","10.24","11.51","8.97","-"
"Life Satisfaction","2012","Black / African / Caribbean / Black British","All","All","Medium (5-6)","N/A","29.81","31.82","27.8","-"
"Life Satisfaction","2012","Black / African / Caribbean / Black British","All","All","Very High (9-10)","N/A","18.86","20.55","17.17","-"
"Life Satisfaction","2013","Black / African / Caribbean / Black British","All","All","High (7-8)","N/A","43.06","45.24","40.89","-"
"Life Satisfaction","2013","Black / African / Caribbean / Black British","All","All","Low (0-4)","N/A","9.67","10.9","8.45","-"
"Life Satisfaction","2013","Black / African / Caribbean / Black British","All","All","Medium (5-6)","N/A","26.11","28.03","24.2","-"
"Life Satisfaction","2013","Black / African / Caribbean / Black British","All","All","Very High (9-10)","N/A","21.15","22.92","19.38","-"
"Life Satisfaction","2014","Black / African / Caribbean / Black British","All","All","High (7-8)","N/A","45.38","47.63","43.14","-"
"Life Satisfaction","2014","Black / African / Caribbean / Black British","All","All","Low (0-4)","N/A","8.04","9.22","6.86","-"
"Life Satisfaction","2014","Black / African / Caribbean / Black British","All","All","Medium (5-6)","N/A","23.91","25.77","22.05","-"
"Life Satisfaction","2014","Black / African / Caribbean / Black British","All","All","Very High (9-10)","N/A","22.66","24.6","20.73","-"
"Life Satisfaction","2015","Black / African / Caribbean / Black British","All","All","High (7-8)","N/A","44.26","46.35","42.16","-"
"Life Satisfaction","2015","Black / African / Caribbean / Black British","All","All","Low (0-4)","N/A","7.6","8.66","6.53","-"
"Life Satisfaction","2015","Black / African / Caribbean / Black British","All","All","Medium (5-6)","N/A","23.64","25.46","21.81","-"
"Life Satisfaction","2015","Black / African / Caribbean / Black British","All","All","Very High (9-10)","N/A","24.51","26.33","22.69","-"
"Life Satisfaction","2016","Black / African / Caribbean / Black British","All","All","High (7-8)","N/A","45.08","47.29","42.88","-"
"Life Satisfaction","2016","Black / African / Caribbean / Black British","All","All","Low (0-4)","N/A","7.43","8.63","6.23","-"
"Life Satisfaction","2016","Black / African / Caribbean / Black British","All","All","Medium (5-6)","N/A","23.05","24.88","21.21","-"
"Life Satisfaction","2016","Black / African / Caribbean / Black British","All","All","Very High (9-10)","N/A","24.43","26.4","22.46","-"
"Life Satisfaction","2012","Chinese","All","All","High (7-8)","N/A","63.15","68.28","58.02","-"
"Life Satisfaction","2012","Chinese","All","All","Low (0-4)","N/A","?","?","?","-"
"Life Satisfaction","2012","Chinese","All","All","Medium (5-6)","N/A","17.63","21.59","13.67","-"
"Life Satisfaction","2012","Chinese","All","All","Very High (9-10)","N/A","16.77","20.89","12.65","-"
"Life Satisfaction","2013","Chinese","All","All","High (7-8)","N/A","67.69","72.69","62.68","-"
"Life Satisfaction","2013","Chinese","All","All","Low (0-4)","N/A","?","?","?","-"
"Life Satisfaction","2013","Chinese","All","All","Medium (5-6)","N/A","14.97","18.46","11.48","-"
"Life Satisfaction","2013","Chinese","All","All","Very High (9-10)","N/A","15.39","18.98","11.8","-"
"Life Satisfaction","2014","Chinese","All","All","High (7-8)","N/A","63.8","69.83","57.77","-"
"Life Satisfaction","2014","Chinese","All","All","Low (0-4)","N/A","?","?","?","-"
"Life Satisfaction","2014","Chinese","All","All","Medium (5-6)","N/A","16.21","21.72","10.7","-"
"Life Satisfaction","2014","Chinese","All","All","Very High (9-10)","N/A","19.03","23.35","14.71","-"
"Life Satisfaction","2015","Chinese","All","All","High (7-8)","N/A","60.19","65.61","54.77","-"
"Life Satisfaction","2015","Chinese","All","All","Low (0-4)","N/A","?","?","?","-"
"Life Satisfaction","2015","Chinese","All","All","Medium (5-6)","N/A","12.27","15.35","9.18","-"
"Life Satisfaction","2015","Chinese","All","All","Very High (9-10)","N/A","23.42","28.7","18.14","-"
"Life Satisfaction","2016","Chinese","All","All","High (7-8)","N/A","59.55","64.79","54.3","-"
"Life Satisfaction","2016","Chinese","All","All","Low (0-4)","N/A","?","?","?","-"
"Life Satisfaction","2016","Chinese","All","All","Medium (5-6)","N/A","12.34","15.68","9","-"
"Life Satisfaction","2016","Chinese","All","All","Very High (9-10)","N/A","25.59","30.81","20.38","-"
"Life Satisfaction","2012","Gypsy / Traveller / Irish Traveller","All","All","High (7-8)","N/A","?","?","?","-"
"Life Satisfaction","2012","Gypsy / Traveller / Irish Traveller","All","All","Low (0-4)","N/A","?","?","?","-"
"Life Satisfaction","2012","Gypsy / Traveller / Irish Traveller","All","All","Medium (5-6)","N/A","?","?","?","-"
"Life Satisfaction","2012","Gypsy / Traveller / Irish Traveller","All","All","Very High (9-10)","N/A","?","?","?","-"
"Life Satisfaction","2013","Gypsy / Traveller / Irish Traveller","All","All","High (7-8)","N/A","?","?","?","-"
"Life Satisfaction","2013","Gypsy / Traveller / Irish Traveller","All","All","Low (0-4)","N/A","?","?","?","-"
"Life Satisfaction","2013","Gypsy / Traveller / Irish Traveller","All","All","Medium (5-6)","N/A","?","?","?","-"
"Life Satisfaction","2013","Gypsy / Traveller / Irish Traveller","All","All","Very High (9-10)","N/A","?","?","?","-"
"Life Satisfaction","2014","Gypsy / Traveller / Irish Traveller","All","All","High (7-8)","N/A","?","?","?","-"
"Life Satisfaction","2014","Gypsy / Traveller / Irish Traveller","All","All","Low (0-4)","N/A","?","?","?","-"
"Life Satisfaction","2014","Gypsy / Traveller / Irish Traveller","All","All","Medium (5-6)","N/A","?","?","?","-"
"Life Satisfaction","2014","Gypsy / Traveller / Irish Traveller","All","All","Very High (9-10)","N/A","?","?","?","-"
"Life Satisfaction","2015","Gypsy / Traveller / Irish Traveller","All","All","High (7-8)","N/A","?","?","?","-"
"Life Satisfaction","2015","Gypsy / Traveller / Irish Traveller","All","All","Low (0-4)","N/A","?","?","?","-"
"Life Satisfaction","2015","Gypsy / Traveller / Irish Traveller","All","All","Medium (5-6)","N/A","?","?","?","-"
"Life Satisfaction","2015","Gypsy / Traveller / Irish Traveller","All","All","Very High (9-10)","N/A","?","?","?","-"
"Life Satisfaction","2016","Gypsy / Traveller / Irish Traveller","All","All","High (7-8)","N/A","?","?","?","-"
"Life Satisfaction","2016","Gypsy / Traveller / Irish Traveller","All","All","Low (0-4)","N/A","?","?","?","-"
"Life Satisfaction","2016","Gypsy / Traveller / Irish Traveller","All","All","Medium (5-6)","N/A","?","?","?","-"
"Life Satisfaction","2016","Gypsy / Traveller / Irish Traveller","All","All","Very High (9-10)","N/A","?","?","?","-"
"Life Satisfaction","2012","Indian","All","All","High (7-8)","N/A","48.25","50.56","45.95","-"
"Life Satisfaction","2012","Indian","All","All","Low (0-4)","N/A","4.88","5.79","3.97","-"
"Life Satisfaction","2012","Indian","All","All","Medium (5-6)","N/A","18.11","19.91","16.31","-"
"Life Satisfaction","2012","Indian","All","All","Very High (9-10)","N/A","28.76","31.02","26.5","-"
"Life Satisfaction","2013","Indian","All","All","High (7-8)","N/A","49.98","52.39","47.57","-"
"Life Satisfaction","2013","Indian","All","All","Low (0-4)","N/A","4.71","5.63","3.8","-"
"Life Satisfaction","2013","Indian","All","All","Medium (5-6)","N/A","18.74","20.75","16.73","-"
"Life Satisfaction","2013","Indian","All","All","Very High (9-10)","N/A","26.57","28.7","24.44","-"
"Life Satisfaction","2014","Indian","All","All","High (7-8)","N/A","51.1","53.4","48.8","-"
"Life Satisfaction","2014","Indian","All","All","Low (0-4)","N/A","3.66","4.5","2.83","-"
"Life Satisfaction","2014","Indian","All","All","Medium (5-6)","N/A","14.87","16.46","13.27","-"
"Life Satisfaction","2014","Indian","All","All","Very High (9-10)","N/A","30.37","32.67","28.06","-"
"Life Satisfaction","2015","Indian","All","All","High (7-8)","N/A","53.28","55.7","50.85","-"
"Life Satisfaction","2015","Indian","All","All","Low (0-4)","N/A","2.9","3.62","2.17","-"
"Life Satisfaction","2015","Indian","All","All","Medium (5-6)","N/A","15.06","16.71","13.41","-"
"Life Satisfaction","2015","Indian","All","All","Very High (9-10)","N/A","28.77","31.06","26.47","-"
"Life Satisfaction","2016","Indian","All","All","High (7-8)","N/A","49.71","52.17","47.25","-"
"Life Satisfaction","2016","Indian","All","All","Low (0-4)","N/A","2.52","3.18","1.86","-"
"Life Satisfaction","2016","Indian","All","All","Medium (5-6)","N/A","14.84","16.6","13.08","-"
"Life Satisfaction","2016","Indian","All","All","Very High (9-10)","N/A","32.93","35.34","30.52","-"
"Life Satisfaction","2012","Mixed / Multiple ethnic groups","All","All","High (7-8)","N/A","50.4","54.4","46.4","-"
"Life Satisfaction","2012","Mixed / Multiple ethnic groups","All","All","Low (0-4)","N/A","7.05","8.92","5.17","-"
"Life Satisfaction","2012","Mixed / Multiple ethnic groups","All","All","Medium (5-6)","N/A","23.8","27.34","20.26","-"
"Life Satisfaction","2012","Mixed / Multiple ethnic groups","All","All","Very High (9-10)","N/A","18.76","21.88","15.63","-"
"Life Satisfaction","2013","Mixed / Multiple ethnic groups","All","All","High (7-8)","N/A","49.08","53.36","44.79","-"
"Life Satisfaction","2013","Mixed / Multiple ethnic groups","All","All","Low (0-4)","N/A","6.29","8.35","4.24","-"
"Life Satisfaction","2013","Mixed / Multiple ethnic groups","All","All","Medium (5-6)","N/A","19.73","22.94","16.52","-"
"Life Satisfaction","2013","Mixed / Multiple ethnic groups","All","All","Very High (9-10)","N/A","24.9","28.99","20.8","-"
"Life Satisfaction","2014","Mixed / Multiple ethnic groups","All","All","High (7-8)","N/A","46.31","50.2","42.42","-"
"Life Satisfaction","2014","Mixed / Multiple ethnic groups","All","All","Low (0-4)","N/A","7.42","9.27","5.58","-"
"Life Satisfaction","2014","Mixed / Multiple ethnic groups","All","All","Medium (5-6)","N/A","24.08","27.6","20.56","-"
"Life Satisfaction","2014","Mixed / Multiple ethnic groups","All","All","Very High (9-10)","N/A","22.19","25.38","19","-"
"Life Satisfaction","2015","Mixed / Multiple ethnic groups","All","All","High (7-8)","N/A","51.72","55.68","47.77","-"
"Life Satisfaction","2015","Mixed / Multiple ethnic groups","All","All","Low (0-4)","N/A","5.11","6.77","3.45","-"
"Life Satisfaction","2015","Mixed / Multiple ethnic groups","All","All","Medium (5-6)","N/A","19.21","22.32","16.1","-"
"Life Satisfaction","2015","Mixed / Multiple ethnic groups","All","All","Very High (9-10)","N/A","23.96","27.43","20.5","-"
"Life Satisfaction","2016","Mixed / Multiple ethnic groups","All","All","High (7-8)","N/A","58.11","62.24","53.97","-"
"Life Satisfaction","2016","Mixed / Multiple ethnic groups","All","All","Low (0-4)","N/A","4.04","5.42","2.67","-"
"Life Satisfaction","2016","Mixed / Multiple ethnic groups","All","All","Medium (5-6)","N/A","17.15","20.73","13.58","-"
"Life Satisfaction","2016","Mixed / Multiple ethnic groups","All","All","Very High (9-10)","N/A","20.7","23.92","17.47","-"
"Life Satisfaction","2012","Other Asian background","All","All","High (7-8)","N/A","46.71","50.24","43.18","-"
"Life Satisfaction","2012","Other Asian background","All","All","Low (0-4)","N/A","4.89","6.49","3.3","-"
"Life Satisfaction","2012","Other Asian background","All","All","Medium (5-6)","N/A","21.47","24.47","18.47","-"
"Life Satisfaction","2012","Other Asian background","All","All","Very High (9-10)","N/A","26.93","30.23","23.63","-"
"Life Satisfaction","2013","Other Asian background","All","All","High (7-8)","N/A","48.62","52.69","44.56","-"
"Life Satisfaction","2013","Other Asian background","All","All","Low (0-4)","N/A","5.49","7.38","3.6","-"
"Life Satisfaction","2013","Other Asian background","All","All","Medium (5-6)","N/A","17.73","20.61","14.85","-"
"Life Satisfaction","2013","Other Asian background","All","All","Very High (9-10)","N/A","28.16","31.71","24.62","-"
"Life Satisfaction","2014","Other Asian background","All","All","High (7-8)","N/A","48.78","52.77","44.8","-"
"Life Satisfaction","2014","Other Asian background","All","All","Low (0-4)","N/A","4.64","6.28","2.99","-"
"Life Satisfaction","2014","Other Asian background","All","All","Medium (5-6)","N/A","17.64","20.43","14.86","-"
"Life Satisfaction","2014","Other Asian background","All","All","Very High (9-10)","N/A","28.94","32.7","25.17","-"
"Life Satisfaction","2015","Other Asian background","All","All","High (7-8)","N/A","51.56","55.44","47.67","-"
"Life Satisfaction","2015","Other Asian background","All","All","Low (0-4)","N/A","4.19","5.61","2.77","-"
"Life Satisfaction","2015","Other Asian background","All","All","Medium (5-6)","N/A","15.93","18.63","13.24","-"
"Life Satisfaction","2015","Other Asian background","All","All","Very High (9-10)","N/A","28.32","31.86","24.78","-"
"Life Satisfaction","2016","Other Asian background","All","All","High (7-8)","N/A","51.7","55.49","47.91","-"
"Life Satisfaction","2016","Other Asian background","All","All","Low (0-4)","N/A","?","?","?","-"
"Life Satisfaction","2016","Other Asian background","All","All","Medium (5-6)","N/A","17.08","19.88","14.28","-"
"Life Satisfaction","2016","Other Asian background","All","All","Very High (9-10)","N/A","28.16","31.59","24.74","-"
"Life Satisfaction","2012","Other ethnic group","All","All","High (7-8)","N/A","46.49","49.9","43.09","-"
"Life Satisfaction","2012","Other ethnic group","All","All","Low (0-4)","N/A","8.21","10.05","6.36","-"
"Life Satisfaction","2012","Other ethnic group","All","All","Medium (5-6)","N/A","23.88","26.8","20.96","-"
"Life Satisfaction","2012","Other ethnic group","All","All","Very High (9-10)","N/A","21.42","24.3","18.54","-"
"Life Satisfaction","2013","Other ethnic group","All","All","High (7-8)","N/A","48.73","52.06","45.4","-"
"Life Satisfaction","2013","Other ethnic group","All","All","Low (0-4)","N/A","7.33","9.09","5.58","-"
"Life Satisfaction","2013","Other ethnic group","All","All","Medium (5-6)","N/A","18.28","20.75","15.8","-"
"Life Satisfaction","2013","Other ethnic group","All","All","Very High (9-10)","N/A","25.66","28.64","22.67","-"
"Life Satisfaction","2014","Other ethnic group","All","All","High (7-8)","N/A","52.97","56.43","49.51","-"
"Life Satisfaction","2014","Other ethnic group","All","All","Low (0-4)","N/A","3.88","5.02","2.75","-"
"Life Satisfaction","2014","Other ethnic group","All","All","Medium (5-6)","N/A","17.83","20.22","15.43","-"
"Life Satisfaction","2014","Other ethnic group","All","All","Very High (9-10)","N/A","25.32","28.36","22.29","-"
"Life Satisfaction","2015","Other ethnic group","All","All","High (7-8)","N/A","51.43","54.82","48.03","-"
"Life Satisfaction","2015","Other ethnic group","All","All","Low (0-4)","N/A","5.89","7.42","4.35","-"
"Life Satisfaction","2015","Other ethnic group","All","All","Medium (5-6)","N/A","16.05","18.47","13.63","-"
"Life Satisfaction","2015","Other ethnic group","All","All","Very High (9-10)","N/A","26.64","29.66","23.61","-"
"Life Satisfaction","2016","Other ethnic group","All","All","High (7-8)","N/A","53.38","56.86","49.9","-"
"Life Satisfaction","2016","Other ethnic group","All","All","Low (0-4)","N/A","?","?","?","-"
"Life Satisfaction","2016","Other ethnic group","All","All","Medium (5-6)","N/A","16.09","18.42","13.76","-"
"Life Satisfaction","2016","Other ethnic group","All","All","Very High (9-10)","N/A","27.3","30.48","24.12","-"
"Life Satisfaction","2012","Pakistani","All","All","High (7-8)","N/A","41.85","45.03","38.67","-"
"Life Satisfaction","2012","Pakistani","All","All","Low (0-4)","N/A","6.95","8.71","5.18","-"
"Life Satisfaction","2012","Pakistani","All","All","Medium (5-6)","N/A","23.75","26.42","21.07","-"
"Life Satisfaction","2012","Pakistani","All","All","Very High (9-10)","N/A","27.45","30.26","24.64","-"
"Life Satisfaction","2013","Pakistani","All","All","High (7-8)","N/A","41.79","44.91","38.68","-"
"Life Satisfaction","2013","Pakistani","All","All","Low (0-4)","N/A","6.57","8.09","5.06","-"
"Life Satisfaction","2013","Pakistani","All","All","Medium (5-6)","N/A","21.91","24.59","19.24","-"
"Life Satisfaction","2013","Pakistani","All","All","Very High (9-10)","N/A","29.72","32.71","26.73","-"
"Life Satisfaction","2014","Pakistani","All","All","High (7-8)","N/A","44.57","47.75","41.4","-"
"Life Satisfaction","2014","Pakistani","All","All","Low (0-4)","N/A","5.24","6.5","3.99","-"
"Life Satisfaction","2014","Pakistani","All","All","Medium (5-6)","N/A","20.75","23.24","18.27","-"
"Life Satisfaction","2014","Pakistani","All","All","Very High (9-10)","N/A","29.43","32.49","26.38","-"
"Life Satisfaction","2015","Pakistani","All","All","High (7-8)","N/A","46.88","50.1","43.65","-"
"Life Satisfaction","2015","Pakistani","All","All","Low (0-4)","N/A","4.01","5.22","2.81","-"
"Life Satisfaction","2015","Pakistani","All","All","Medium (5-6)","N/A","18.1","20.51","15.7","-"
"Life Satisfaction","2015","Pakistani","All","All","Very High (9-10)","N/A","31","34.15","27.86","-"
"Life Satisfaction","2016","Pakistani","All","All","High (7-8)","N/A","45.3","48.57","42.03","-"
"Life Satisfaction","2016","Pakistani","All","All","Low (0-4)","N/A","5.24","6.64","3.83","-"
"Life Satisfaction","2016","Pakistani","All","All","Medium (5-6)","N/A","15.25","17.44","13.07","-"
"Life Satisfaction","2016","Pakistani","All","All","Very High (9-10)","N/A","34.21","37.41","31.02","-"
"Life Satisfaction","2012","All","All","All","High (7-8)","N/A","50.74","51.07","50.42","-"
"Life Satisfaction","2012","All","All","All","Low (0-4)","N/A","5.85","6","5.7","-"
"Life Satisfaction","2012","All","All","All","Medium (5-6)","N/A","17.24","17.49","17","-"
"Life Satisfaction","2012","All","All","All","Very High (9-10)","N/A","26.17","26.46","25.87","-"
"Life Satisfaction","2013","All","All","All","High (7-8)","N/A","51.34","51.67","51.01","-"
"Life Satisfaction","2013","All","All","All","Low (0-4)","N/A","5.65","5.8","5.51","-"
