"Title","EBacc achievement by ethnicity and type of school"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","School Type","Value","Denominator"
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","All state-funded schools","52","2026"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","25","530580"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Local authority maintained mainstream schools","23","191701"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Academies and free schools","26","337452"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Sponsored academies","15","85080"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Converter academies","31","247551"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Free schools","26","1838"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","University technical colleges","3","1864"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Studio schools","2","1119"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds","1","885"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","State-funded special schools","!","10109"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","All state-funded schools","25","540689  "
